osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,ref,width,tunnel,junction,access
"[143586317, 991669262]",Heidi-Kabel-Platz,unclassified,50,False,True,71.229,"LINESTRING (10.0069912 53.5543374, 10.0069072 53.5543567, 10.0066199 53.5545233, 10.0065044 53.5546013, 10.0063577 53.554698, 10.0063366 53.5547398, 10.0063504 53.5548102)",,,,,,,
"[186821026, 143586276, 186821028, 189775478, 189775479, 142944318]",Ernst-Merck-Straße,tertiary,50,False,True,132.632,"LINESTRING (10.0063504 53.5548102, 10.0062622 53.5547957, 10.0061027 53.5547597, 10.0059584 53.5547197, 10.0056641 53.5546251, 10.0052459 53.5544783, 10.0049219 53.5543645, 10.0048773 53.5543506, 10.0048016 53.5543269, 10.004577 53.5542567)","['4', '5']",yes,,,,,
"[143586317, 991669262]",Heidi-Kabel-Platz,unclassified,50,False,False,71.229,"LINESTRING (10.0063504 53.5548102, 10.0063366 53.5547398, 10.0063577 53.554698, 10.0065044 53.5546013, 10.0066199 53.5545233, 10.0069072 53.5543567, 10.0069912 53.5543374)",,,,,,,
186821031,Glockengießerwall,secondary,50,True,False,10.702,"LINESTRING (10.00355 53.5539655, 10.0036849 53.5539122)",3,,Ring 1,,,,
"[43305966, 551303415]",Georgsplatz,unclassified,50,True,False,88.397,"LINESTRING (10.00355 53.5539655, 10.0034154 53.5539019, 10.0031409 53.5537718, 10.0026398 53.553538, 10.0024791 53.5534927)","['2', '1']",,,3.5,,,
26623877,Georgsplatz,unclassified,50,False,True,20.477,"LINESTRING (10.002711 53.5533705, 10.0024791 53.5534927)",,,,6.9,,,
2956270,Kurze Mühren,unclassified,50,False,False,118.44600000000001,"LINESTRING (10.002711 53.5533705, 10.0037457 53.5526965, 10.0038636 53.5526916, 10.0039708 53.5526387)",,,,,,,
2963460,Georgsplatz,unclassified,50,True,False,88.897,"LINESTRING (10.002711 53.5533705, 10.002743 53.5534033, 10.0027964 53.5534409, 10.0029183 53.5535363, 10.0030993 53.5536443, 10.0032817 53.5537437, 10.0033908 53.553794, 10.0034613 53.553825, 10.0035488 53.5538622, 10.0036849 53.5539122)",2,,,,,,
142944471,Steintordamm,unclassified,50,True,False,14.515999999999998,"LINESTRING (10.0057477 53.5517505, 10.0057702 53.5517481, 10.0058413 53.5517406, 10.0059051 53.5517386, 10.0059658 53.5517367)",1,,,5,,,
"[609039943, 188376941, 187761805, 188376942, 885196689]",Steintorwall,secondary,50,True,False,156.50699999999998,"LINESTRING (10.0057477 53.5517505, 10.0057554 53.5516976, 10.005764 53.5516408, 10.0057772 53.5515658, 10.0058778 53.5512915, 10.0059452 53.5511079, 10.0060094 53.5509366, 10.0060608 53.5507669, 10.0060828 53.5506502, 10.0060952 53.5504503, 10.0060993 53.5503624)","['4', '5', '3']",,Ring 1,,,,
142944324,Ernst-Merck-Straße,tertiary,50,True,False,24.961,"LINESTRING (10.0038483 53.5541033, 10.00355 53.5539655)",2,,,,,,
"[142944473, 607493309]",Steintorwall,secondary,50,True,False,31.87,"LINESTRING (10.0059658 53.5517367, 10.005956 53.5517663, 10.0059481 53.5517902, 10.0059303 53.5518437, 10.0058716 53.5520178)",2,,Ring 1,,,,
1197493996,Rosenstraße,residential,,True,False,26.686,"LINESTRING (9.9990878 53.5519971, 9.9993929 53.5521544)",,,,,,,
24408627,Rosenstraße,residential,,False,False,46.048,"LINESTRING (9.9993929 53.5521544, 9.9996799 53.5523034, 9.9999217 53.5524242)",,,,8.6,,,
"[550902720, 24409236, 550902719]",Hinter der Markthalle,residential,,False,True,58.508,"LINESTRING (9.9993929 53.5521544, 9.9992493 53.5522462, 9.9988773 53.5524884, 9.9987925 53.5525412)",,,,,building_passage,,
26623877,Georgsplatz,unclassified,50,False,False,20.477,"LINESTRING (10.0024791 53.5534927, 10.002711 53.5533705)",,,,6.9,,,
543550501,Brandsende,unclassified,50,True,False,86.489,"LINESTRING (10.0024791 53.5534927, 10.0015284 53.5540275)",2,,,,,,
"[1106127834, 5216788]",Rosenstraße,unclassified,50,False,False,136.534,"LINESTRING (10.0024791 53.5534927, 10.0015154 53.5531154, 10.0010637 53.5529355, 10.0009572 53.5528916, 10.0007977 53.5528257, 10.0007805 53.552801)",,,,"['5.6', '5.9']",,,
"[1106127834, 5216788]",Rosenstraße,unclassified,50,False,True,136.534,"LINESTRING (10.0007805 53.552801, 10.0007977 53.5528257, 10.0009572 53.5528916, 10.0010637 53.5529355, 10.0015154 53.5531154, 10.0024791 53.5534927)",,,,"['5.9', '5.6']",,,
"[5216819, 19409045]","['Gertrudenkirchhof', 'Lilienstraße']",unclassified,50,True,False,232.957,"LINESTRING (10.0007805 53.552801, 10.0007865 53.5527735, 10.0015081 53.5522123, 10.0017367 53.5524496, 10.002711 53.5533705)",,,,4,,,
51256361,Steinstraße,secondary,50,True,False,45.976,"LINESTRING (10.0060965 53.5502179, 10.0058797 53.5502014, 10.005626 53.5501941, 10.0054028 53.5501887)",4,,,,,,
"[142944388, 1041989582]",Klosterwall,secondary,50,True,False,15.859,"LINESTRING (10.0060965 53.5502179, 10.0060985 53.5501525, 10.0061008 53.5500753)",3,,Ring 1,,,,
458320758,Willy-Brandt-Straße,primary,50,True,False,27.395,"LINESTRING (9.9938062 53.5473532, 9.9933957 53.5473184)",3,,B 4,,,,
"[1245323681, 45519020]",Domstraße,secondary,50,True,False,54.291999999999994,"LINESTRING (9.9938062 53.5473532, 9.993975 53.5474623, 9.9941039 53.5476453, 9.9941842 53.5477787)",1,,,,,,
"[1231414275, 43145613]",Dovenfleet,secondary,50,True,False,80.88499999999999,"LINESTRING (9.9999455 53.5470821, 10.0002915 53.5471659, 10.0006749 53.5472928, 10.0007618 53.5473212, 10.0010534 53.5473881)",3,,,,,,
"[1202316240, 1111806336, 228186366]",Dovenfleet,secondary,50,False,"[False, True]",169.964,"LINESTRING (9.9999455 53.5470821, 9.9998799 53.5470615, 9.9995974 53.5469753, 9.9994174 53.5469282, 9.9992478 53.5468928, 9.9990695 53.5468597, 9.9988485 53.5468298, 9.9983994 53.5467892, 9.9982197 53.5467727, 9.9981133 53.5467558, 9.9980079 53.5467348, 9.9979005 53.5467086, 9.9977765 53.5466719, 9.9975383 53.5465858)","['4', '5']",,,,,,
"[699240002, 606439164, 228186365]",Brandstwiete,tertiary,50,True,False,38.53399999999999,"LINESTRING (9.9970343 53.5463809, 9.9970831 53.546524, 9.9971044 53.546573, 9.9971503 53.5466682, 9.9971556 53.546719)","['4', '1']",,,,,,
"[688091185, 23165590, 1027809198]",Dovenfleet,secondary,50,False,True,40.353,"LINESTRING (9.9970343 53.5463809, 9.9971911 53.5464457, 9.9972439 53.5464675, 9.9972532 53.5464713, 9.9974498 53.5465526, 9.9975383 53.5465858)","['4', '5']",,,,,,
"[22700416, 688986423]",Zippelhaus,secondary,50,False,False,62.266999999999996,"LINESTRING (9.9970343 53.5463809, 9.9968561 53.5463165, 9.9967519 53.546283, 9.9966366 53.5462436, 9.996217 53.5461022)",4,,,,,,
711946383,Alter Fischmarkt,tertiary,50,True,False,10.335,"LINESTRING (9.9965527 53.5493935, 9.9965217 53.5494846)",1,,,,,,
1012876904,Domstraße,secondary,50,True,False,21.349,"LINESTRING (9.9965527 53.5493935, 9.9966886 53.5494374, 9.9968355 53.5494864)",2,,,18,,,
"[46239724, 23138733, 23138735, 450274067, 152176404, 957130872, 957130876, 957130877]",Oberbaumbrücke,secondary,50,False,True,166.76500000000001,"LINESTRING (10.0030688 53.545959, 10.0031446 53.5460106, 10.0032721 53.5460975, 10.0034178 53.5461967, 10.0034461 53.5462189, 10.0039806 53.5465649, 10.004071 53.5466234, 10.0040966 53.5466396, 10.0041323 53.5466586, 10.0043 53.5467684, 10.004429 53.54685, 10.0047704 53.5470662)","['4', '2', '3']",yes,,,,,
43145245,Neue Gröningerstraße,unclassified,,True,False,18.793,"LINESTRING (9.9951228 53.5474434, 9.9950322 53.5473905, 9.9949856 53.5473531, 9.9949544 53.5473099)",1,,,,,,
458320760,Willy-Brandt-Straße,primary,50,True,False,87.562,"LINESTRING (9.9951228 53.5474434, 9.9942971 53.5473884, 9.9941915 53.5473814, 9.9938062 53.5473532)",3,,B 4,,,,
"[756934409, 188015329, 374053651, 711952925]",Willy-Brandt-Straße,secondary,50,True,False,150.14100000000002,"LINESTRING (10.0021389 53.5473284, 10.0024411 53.5472864, 10.0027635 53.547268, 10.0029658 53.5472623, 10.003107 53.547267, 10.0033063 53.5472861, 10.0037113 53.5473414, 10.0043713 53.5474308)","['4', '2', '3']",,B 4,,,,
142944295,Deichtorplatz,secondary,50,True,False,25.387,"LINESTRING (10.0057337 53.5484834, 10.0057126 53.5483638, 10.0057065 53.5483113, 10.0057091 53.5482559)",2,,,,,,
