osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width,junction,access
"[615844105, 137961827]",2,L 48,Georgenstraße,secondary,50,False,False,350.05300000000005,"LINESTRING (14.3813857 51.575473, 14.3811397 51.5754534, 14.3808564 51.5754404, 14.380128 51.5754175, 14.3797939 51.5754, 14.3794345 51.5753541, 14.3792038 51.5752933, 14.3788802 51.5752009, 14.378587 51.5751055, 14.378335 51.5749585, 14.3781407 51.5747594, 14.3780849 51.574658, 14.3780006 51.574485, 14.3779589 51.574324, 14.3779876 51.5740701, 14.3780105 51.5738788)",,,,
151909260,,,Kirschallee,residential,,False,False,307.576,"LINESTRING (14.3813857 51.575473, 14.3814495 51.5753996, 14.381497 51.5753637, 14.3816541 51.575338, 14.382889 51.5752326, 14.3835566 51.5751735, 14.3837281 51.5751568, 14.3839564 51.575126, 14.385636 51.5748178)",,,,
"[615844105, 151909257, 151909258]",2,L 48,Georgenstraße,secondary,50,False,False,139.257,"LINESTRING (14.3780105 51.5738788, 14.3782236 51.5735038, 14.3784077 51.5732317, 14.378504 51.5730893, 14.3785439 51.5730304, 14.3787698 51.5727788, 14.3787955 51.5727504, 14.3788132 51.5727332)",yes,,,
"[615844105, 137961827]",2,L 48,Georgenstraße,secondary,50,False,True,350.053,"LINESTRING (14.3780105 51.5738788, 14.3779876 51.5740701, 14.3779589 51.574324, 14.3780006 51.574485, 14.3780849 51.574658, 14.3781407 51.5747594, 14.378335 51.5749585, 14.378587 51.5751055, 14.3788802 51.5752009, 14.3792038 51.5752933, 14.3794345 51.5753541, 14.3797939 51.5754, 14.380128 51.5754175, 14.3808564 51.5754404, 14.3811397 51.5754534, 14.3813857 51.575473)",,,,
257254619,2,B 156,Muskauer Straße,primary,50,False,False,83.25,"LINESTRING (14.3865087 51.5679063, 14.386692 51.5677086, 14.3868811 51.5675557, 14.3871082 51.5674278, 14.3872946 51.5673544)",,,,
257254619,2,B 156,Muskauer Straße,primary,50,False,True,48.096000000000004,"LINESTRING (14.3865087 51.5679063, 14.3863112 51.5681461, 14.3861414 51.5682705)",,,,
257254619,2,B 156,Muskauer Straße,primary,50,False,True,83.25,"LINESTRING (14.3872946 51.5673544, 14.3871082 51.5674278, 14.3868811 51.5675557, 14.386692 51.5677086, 14.3865087 51.5679063)",,,,
137381801,,,Mozartstraße,residential,,False,False,94.278,"LINESTRING (14.3865566 51.5758955, 14.3851941 51.5759387)",,,,
137381801,,,Mozartstraße,residential,,False,True,34.322,"LINESTRING (14.3865566 51.5758955, 14.3870521 51.5758744)",,,,
109229777,,,Johann-Strauß-Straße,residential,,False,False,155.816,"LINESTRING (14.3865566 51.5758955, 14.3870356 51.5745859, 14.3870309 51.5745277)",,,,
122260555,,,Johannesgasse,living_street,,False,True,93.904,"LINESTRING (14.377016 51.5699939, 14.3761217 51.5702536, 14.3758347 51.5704003)",,,,
122260559,,,,living_street,,False,True,52.861999999999995,"LINESTRING (14.377016 51.5699939, 14.377562 51.5701159, 14.3777413 51.5701433)",,,,
"[122260561, 143912850, 163401412, 163401414]",,,Johannesgasse,"['living_street', 'residential']",30,False,False,91.16600000000001,"LINESTRING (14.377016 51.5699939, 14.3773803 51.5698951, 14.3775886 51.56988, 14.378151 51.5698637, 14.378299 51.5698537)",,,,
643013546,,,Mühlenplatz,residential,30,False,True,30.649,"LINESTRING (14.3784046 51.5701214, 14.378299 51.5698537)",,6,,
39357742,,,Mühlenstraße,residential,30,False,False,60.961000000000006,"LINESTRING (14.3784046 51.5701214, 14.3785739 51.5701083, 14.3788753 51.5700665, 14.379117 51.5699788, 14.379189 51.569917)",,4,,
"[715442704, 122260554]",,,Mühlenstraße,"['residential', 'living_street']",30,False,False,46.141999999999996,"LINESTRING (14.3784046 51.5701214, 14.3779077 51.5701559, 14.3777413 51.5701433)",,6,,
151900069,,,Lange Straße,living_street,30,True,False,21.538,"LINESTRING (14.3765399 51.5707466, 14.3768505 51.5707624)",,,,
26360099,,,Burgstraße,living_street,,True,False,78.709,"LINESTRING (14.3765399 51.5707466, 14.3765281 51.5707924, 14.3764755 51.5709974, 14.3764059 51.5714492)",,,,
1178284200,,,Kirchgasse,living_street,,False,True,40.899,"LINESTRING (14.3764059 51.5714492, 14.376973 51.5715543)",,,,
"[1178284200, 28260565]",,,Kirchgasse,living_street,,False,False,85.856,"LINESTRING (14.3764059 51.5714492, 14.3761241 51.5714349, 14.3759721 51.5714272, 14.375854 51.5714263, 14.3757109 51.5714489, 14.3752514 51.5716267)",,,,
26360127,,,Badergasse,tertiary,50,False,False,25.953,"LINESTRING (14.3778651 51.5722909, 14.3781143 51.5721163)",,,,
52923985,,,Pfortenstraße,tertiary,50,False,False,166.06099999999998,"LINESTRING (14.3778651 51.5722909, 14.3776918 51.572329, 14.3771981 51.5724071, 14.3769558 51.5724271, 14.3768017 51.5724305, 14.376667 51.5724243, 14.3765135 51.5724043, 14.3764062 51.5723774, 14.376349 51.5723642, 14.3761887 51.5723199, 14.3760172 51.5722483, 14.3757195 51.5721099, 14.3756401 51.5720856)",,,,
1017378712,,,Badergasse,residential,50,False,True,9.648,"LINESTRING (14.3785211 51.5716918, 14.3784246 51.5717545)",,,,
