osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,tunnel,maxspeed,bridge
570070857,2,L 153,Saaleplatz,secondary,False,False,16.762999999999998,"LINESTRING (11.6805867 51.7021732, 11.680597 51.7021975, 11.6806344 51.7022313, 11.6807062 51.7022551, 11.6807613 51.7022566)",,,
570070857,2,L 153,Saaleplatz,secondary,False,True,24.993000000000002,"LINESTRING (11.6805867 51.7021732, 11.6805999 51.7021379, 11.6807244 51.7020306, 11.6807794 51.7019857)",,,
"[1151351595, 1151351596, 159810277]",,,Burgstraße,residential,True,False,48.233,"LINESTRING (11.6805867 51.7021732, 11.6804398 51.7022705, 11.6801968 51.7023844, 11.6801359 51.7024171, 11.6800597 51.7024569)",yes,,
25826574,2,L 153,Schaperallee,secondary,False,False,248.565,"LINESTRING (11.6825777 51.7000883, 11.6829783 51.6996112, 11.683166 51.6993851, 11.6833685 51.6991789, 11.6835174 51.6990568, 11.6838272 51.6988406, 11.6847042 51.6983099)",,50,
41994979,2,K 2111,,tertiary,False,False,135.157,"LINESTRING (11.6825777 51.7000883, 11.6824588 51.6999772, 11.6822849 51.6998339, 11.682179 51.6997749, 11.6820315 51.6997358, 11.6819362 51.6997358, 11.6817646 51.6997724, 11.6815007 51.6998214, 11.6813287 51.6997857, 11.6809841 51.6996366)",,,
"[160912257, 160912258, 25826599]",2,L 153,"['Schaperallee', 'Saaleplatz']",secondary,False,True,274.41300000000007,"LINESTRING (11.6825777 51.7000883, 11.682565 51.7001062, 11.6823465 51.700437, 11.6820079 51.7010232, 11.6819117 51.7011899, 11.6818408 51.7012821, 11.6812524 51.7018412, 11.6812048 51.7018848, 11.6809835 51.7020873, 11.6809625 51.7021065, 11.6809381 51.7021323, 11.6808844 51.702189, 11.6808278 51.702238, 11.6807613 51.7022566)",,,
41994979,2,K 2111,,tertiary,False,True,135.157,"LINESTRING (11.6809841 51.6996366, 11.6813287 51.6997857, 11.6815007 51.6998214, 11.6817646 51.6997724, 11.6819362 51.6997358, 11.6820315 51.6997358, 11.682179 51.6997749, 11.6822849 51.6998339, 11.6824588 51.6999772, 11.6825777 51.7000883)",,,
136116599,,,Breite,residential,False,True,74.286,"LINESTRING (11.6809841 51.6996366, 11.6800778 51.6994832, 11.6799527 51.6994465)",,,
159823014,2,K 2111,Naundorfer Straße,tertiary,False,False,34.679,"LINESTRING (11.6809841 51.6996366, 11.6809473 51.6995426, 11.6809339 51.6994623, 11.6809251 51.699328)",,,
187873275,,,Schäferberg,residential,False,False,166.11,"LINESTRING (11.6809841 51.6996366, 11.6809627 51.6997011, 11.6810429 51.6997767, 11.6816091 51.6999849, 11.6816485 51.7000257, 11.6816749 51.7001397, 11.6816588 51.7002196, 11.6816091 51.7002476, 11.6814112 51.7003035, 11.6811839 51.7003268, 11.6811497 51.700341, 11.6811235 51.7003692, 11.681067 51.7005709, 11.6810738 51.7006751)",,,
