osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,access,width,bridge
28366040,Otto-Heintze-Straße,residential,False,True,141.835,"LINESTRING (13.0451184 51.7328573, 13.0444676 51.7330122, 13.0439029 51.7331645, 13.0432519 51.7333907)",,,,,,
442854916,Torgauer Straße,secondary,False,False,111.12400000000001,"LINESTRING (13.0451184 51.7328573, 13.0454089 51.7334266, 13.0454631 51.733643, 13.0454581 51.7338263)",2,L 113,50,,,
442854916,Torgauer Straße,secondary,False,True,76.375,"LINESTRING (13.0451184 51.7328573, 13.0448553 51.732483, 13.0446866 51.7322676, 13.0446495 51.7322358)",2,L 113,50,,,
54369563,Mittelstraße,residential,False,False,237.191,"LINESTRING (13.0454581 51.7338263, 13.0457527 51.7338722, 13.0459133 51.7338689, 13.0460996 51.7338289, 13.0467498 51.7336499, 13.0473704 51.73348, 13.048648 51.7331369)",,,,,,
442854916,Torgauer Straße,secondary,False,True,111.124,"LINESTRING (13.0454581 51.7338263, 13.0454631 51.733643, 13.0454089 51.7334266, 13.0451184 51.7328573)",2,L 113,50,,,
943540699,Mühlenstraße,secondary,False,False,83.906,"LINESTRING (13.0454581 51.7338263, 13.045373 51.733952, 13.0452742 51.734054, 13.0451256 51.7341597, 13.0447256 51.7344198)",2,L 113,50,,,
28365762,Hinterstraße,residential,False,False,323.127,"LINESTRING (13.0447256 51.7344198, 13.0448493 51.7344961, 13.0449365 51.7345439, 13.0450831 51.7345841, 13.0452131 51.7345861, 13.0453516 51.7345675, 13.0454994 51.7345477, 13.046469 51.7343431, 13.0471353 51.7341696, 13.0483559 51.7338307, 13.0487446 51.7337409, 13.0490575 51.733705)",,,,,,
943540699,Mühlenstraße,secondary,False,False,129.78500000000003,"LINESTRING (13.0447256 51.7344198, 13.0441257 51.7347713, 13.0437441 51.7350393, 13.0434749 51.7352868)",2,L 113,50,,,
943540699,Mühlenstraße,secondary,False,True,83.906,"LINESTRING (13.0447256 51.7344198, 13.0451256 51.7341597, 13.0452742 51.734054, 13.045373 51.733952, 13.0454581 51.7338263)",2,L 113,50,,,
442854916,Torgauer Straße,secondary,False,False,76.375,"LINESTRING (13.0446495 51.7322358, 13.0446866 51.7322676, 13.0448553 51.732483, 13.0451184 51.7328573)",2,L 113,50,,,
442854916,Torgauer Straße,secondary,False,True,105.865,"LINESTRING (13.0446495 51.7322358, 13.044538 51.7321401, 13.0444346 51.7320771, 13.0440413 51.7318385, 13.0439743 51.731787, 13.0438013 51.7316441, 13.043706 51.731497)",2,L 113,50,,,
