osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,access,bridge,width
5112651,1,Kurpfalzkreisel,secondary,50,roundabout,True,False,10.197,"LINESTRING (8.6461869 49.591915, 8.6461978 49.5919358, 8.6462025 49.5919648, 8.6461903 49.5920046)",,,,
164821762,1,Beethovenstraße,secondary,50,,True,False,31.676000000000002,"LINESTRING (8.6461869 49.591915, 8.6463394 49.5919272, 8.6464833 49.5919367, 8.6466128 49.5919731)",L 3110,,,
5112651,1,Kurpfalzkreisel,secondary,50,roundabout,True,False,11.939,"LINESTRING (8.6459939 49.5920767, 8.6459408 49.592065, 8.6459091 49.5920513, 8.6458836 49.5920343, 8.6458647 49.5920153)",,,,
5112651,1,Kurpfalzkreisel,secondary,50,roundabout,True,False,12.442999999999998,"LINESTRING (8.6460562 49.5918484, 8.6460999 49.5918575, 8.6461352 49.5918717, 8.6461549 49.5918836, 8.6461695 49.5918952, 8.6461869 49.591915)",,,,
5112651,1,Kurpfalzkreisel,secondary,50,roundabout,True,False,8.413,"LINESTRING (8.645853 49.5919281, 8.6458676 49.591906, 8.6458923 49.5918838, 8.6459204 49.5918678)",,,,
35012233,,Danziger Straße,residential,30,,True,False,82.80199999999999,"LINESTRING (8.6429327 49.5919734, 8.642914 49.5915061, 8.6429028 49.591229)",,,,
35012234,,Danziger Straße,residential,30,,False,False,71.94500000000001,"LINESTRING (8.6429327 49.5919734, 8.6429875 49.5923467, 8.6430457 49.5926161)",,,,
165356630,,Hüttenfelder Straße,secondary,30,,False,False,181.723,"LINESTRING (8.6429327 49.5919734, 8.6432003 49.5919607, 8.6448902 49.5919505, 8.6453664 49.5919488, 8.6454431 49.5919525, 8.6454528 49.591953)",L 3110,,,
"[504149269, 165356630, 383591679]",2,Hüttenfelder Straße,secondary,30,,False,True,229.673,"LINESTRING (8.6429327 49.5919734, 8.6424731 49.5920262, 8.6415348 49.59218, 8.6412505 49.5922375, 8.6410523 49.5922873, 8.6407989 49.5923546, 8.6405096 49.5924314, 8.6399035 49.5925923)",L 3110,,,
28422251,,Königsberger Straße,residential,30,,False,False,208.75,"LINESTRING (8.6457986 49.5912036, 8.6429028 49.591229)",,,,
