osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,ref,name,bridge,width
"[43157339, 43157340]",residential,,,False,False,79.275,"LINESTRING (6.5617648 50.5412504, 6.5616874 50.5412491, 6.5615704 50.5412788, 6.5613815 50.5413343, 6.5610358 50.5413263, 6.5606772 50.5412853)",,,,,
43157337,residential,,,False,False,92.90199999999999,"LINESTRING (6.5603419 50.5392449, 6.5602607 50.5391331, 6.5601073 50.538933, 6.5600864 50.5388678, 6.560152 50.5385422, 6.5601806 50.538449)",,,Kropelspfad,,
43157337,residential,,,False,True,70.719,"LINESTRING (6.5603419 50.5392449, 6.5606812 50.5397158, 6.5607277 50.5398301)",,,Kropelspfad,,
111788115,residential,50,,False,True,181.51899999999998,"LINESTRING (6.5559259 50.541181, 6.5558746 50.5413427, 6.5558433 50.5413827, 6.5557907 50.5414312, 6.5556508 50.5415397, 6.5552997 50.5418568, 6.5547777 50.5421943, 6.5544238 50.5424788)",,,Auelstraße,,
118154997,residential,50,,False,False,41.016999999999996,"LINESTRING (6.5559259 50.541181, 6.5558239 50.5411495, 6.5554459 50.5409752)",,,Aachener Straße,,
"[1239129561, 111788091, 26125311]",residential,50,,False,"[False, True]",86.83200000000001,"LINESTRING (6.5559259 50.541181, 6.5560246 50.5411944, 6.5560879 50.5411958, 6.5563628 50.5411526, 6.5566264 50.5411132, 6.556867 50.5410747, 6.5569369 50.5410604, 6.5569938 50.5410421, 6.5571067 50.5410077)",,,"['Aachener Straße', 'Auelstraße']",yes,
111788115,residential,50,,False,True,53.445,"LINESTRING (6.5544238 50.5424788, 6.5539613 50.5428591)",,,Auelstraße,,
111788115,residential,50,,False,False,181.51900000000006,"LINESTRING (6.5544238 50.5424788, 6.5547777 50.5421943, 6.5552997 50.5418568, 6.5556508 50.5415397, 6.5557907 50.5414312, 6.5558433 50.5413827, 6.5558746 50.5413427, 6.5559259 50.541181)",,,Auelstraße,,
118155008,residential,30,,False,True,75.163,"LINESTRING (6.5544238 50.5424788, 6.5540411 50.5423028, 6.5539593 50.5422586, 6.5538374 50.5421744, 6.5536819 50.5420085)",,,Eisenauerstraße,,
111788115,residential,50,,False,False,218.355,"LINESTRING (6.5520196 50.5443867, 6.5526262 50.543913, 6.5534701 50.5432468, 6.5539613 50.5428591)",,,Auelstraße,,
118154989,residential,,,False,True,137.41899999999998,"LINESTRING (6.5520196 50.5443867, 6.5514124 50.5440654, 6.5512706 50.5439731, 6.5510444 50.5438009, 6.5506757 50.5435012)",,,Auelstraße,,
41162505,residential,,,False,False,55.089000000000006,"LINESTRING (6.5534678 50.5383922, 6.5530146 50.5383014, 6.5529423 50.5382802, 6.5528904 50.5382494, 6.5527867 50.5381773)",,,Loshardt,,
111788102,secondary,50,,False,True,66.815,"LINESTRING (6.5534678 50.5383922, 6.5537997 50.5382387, 6.5542307 50.5380373)",2,L 105,Hindenburgstraße,,
"[242630292, 537973652, 132410590]",secondary,50,,False,False,199.58200000000005,"LINESTRING (6.5534678 50.5383922, 6.5533822 50.5384312, 6.5532828 50.5384798, 6.5529256 50.5386428, 6.5526668 50.538764, 6.5526426 50.5387772, 6.5525029 50.5388539, 6.5524841 50.5388642, 6.5523534 50.5389609, 6.5523176 50.5389963, 6.5522706 50.5390426, 6.5522123 50.539114, 6.5521737 50.5391613, 6.5521483 50.5392055, 6.5521023 50.5392856, 6.5520074 50.5394861, 6.5519285 50.5396527, 6.5518638 50.5397834)",,L 105,Hindenburgstraße,yes,
132410591,residential,,,False,False,34.748,"LINESTRING (6.5497976 50.5369414, 6.5493688 50.5367885)",,,Loshardt,,
