osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,est_width,ref
26637222,2,Arneburger Straße,tertiary,50,False,True,180.99699999999999,"LINESTRING (11.9786083 52.547118, 11.9777454 52.5467267, 11.9776481 52.5466808, 11.9775633 52.5466346, 11.9774838 52.5465862, 11.9774116 52.5465355, 11.9768865 52.5461438, 11.9767658 52.5460581, 11.9767311 52.54604, 11.9767003 52.5460296, 11.9766785 52.5460272, 11.9766577 52.546028)",,,,
26637222,2,Arneburger Straße,tertiary,50,False,False,180.997,"LINESTRING (11.9766577 52.546028, 11.9766785 52.5460272, 11.9767003 52.5460296, 11.9767311 52.54604, 11.9767658 52.5460581, 11.9768865 52.5461438, 11.9774116 52.5465355, 11.9774838 52.5465862, 11.9775633 52.5466346, 11.9776481 52.5466808, 11.9777454 52.5467267, 11.9786083 52.547118)",,,,
"[1187358066, 27424941]",,Fritz-Schulenburg-Straße,residential,20,True,False,75.292,"LINESTRING (11.9766577 52.546028, 11.9766808 52.5460057, 11.9767155 52.5459861, 11.976789 52.5459415, 11.9774503 52.5456505, 11.9775393 52.5456194)",,,,
49169300,2,Fritz-Schulenburg-Straße,tertiary,50,False,False,26.287,"LINESTRING (11.9766577 52.546028, 11.9766077 52.5460355, 11.9765374 52.5460457, 11.9764401 52.5460525, 11.9763443 52.546048, 11.9762741 52.5460417)",,,,
632902047,,Lange Straße,residential,20,False,False,19.7,"LINESTRING (11.9739782 52.5426659, 11.9741763 52.5427958)",,,,
26573129,,Lange Straße,residential,20,True,False,65.388,"LINESTRING (11.9739782 52.5426659, 11.9736506 52.5424632, 11.9734655 52.5423597, 11.9732764 52.542262)",,,,
38889490,,Lange Straße,residential,20,True,False,65.13499999999999,"LINESTRING (11.9749958 52.5432449, 11.9752466 52.5433596, 11.9752893 52.5433986, 11.975454 52.5436137, 11.9755177 52.5437175)",,,,
38890816,,Lange Straße,residential,20,False,True,74.822,"LINESTRING (11.9749958 52.5432449, 11.9745923 52.5430528, 11.9745572 52.5430357, 11.9744063 52.5429522, 11.9742945 52.5428767, 11.9741763 52.5427958)",,,,
38889489,,Hünerdorfer Straße,residential,20,False,True,161.713,"LINESTRING (11.9769478 52.5449707, 11.9767793 52.5448399, 11.9766383 52.5447199, 11.9765119 52.5446189, 11.9763035 52.5444692, 11.9761223 52.5443374, 11.9759861 52.5442335, 11.9758921 52.5441491, 11.9757789 52.5440325, 11.975573 52.543787)",,,,
49205818,2,Zollensteig,residential,20,False,True,42.832,"LINESTRING (11.9769478 52.5449707, 11.977007 52.5449467, 11.9773882 52.5448681, 11.9775453 52.5448505)",6,,,
