osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,name
8045504,True,1,motorway_link,60,False,197.58700000000002,"LINESTRING (10.3580303 52.1492392, 10.3582029 52.1493135, 10.3583292 52.1493671, 10.3584587 52.1494168, 10.3585954 52.1494447, 10.3587725 52.1494559, 10.3589861 52.1494547, 10.3591986 52.1494422, 10.359394 52.1494397, 10.3596076 52.1494491, 10.3598211 52.1494708, 10.3599871 52.1494944, 10.3601207 52.1495174, 10.3602938 52.1495553, 10.3604062 52.1495894, 10.3604973 52.149631, 10.3605863 52.1496944, 10.3606616 52.1497634)",,
33378298,True,2,motorway,none,False,140.619,"LINESTRING (10.3580303 52.1492392, 10.3585289 52.149623, 10.3591471 52.1501337, 10.3592777 52.1502456)",A 39,
"[254676473, 33414686, 254676471]",True,"['2', '3']",trunk,100,False,304.88800000000003,"LINESTRING (10.3613194 52.1497892, 10.3621641 52.1496046, 10.3628121 52.1494819, 10.3634183 52.1493825, 10.3642373 52.1492542, 10.364724 52.149183, 10.3656123 52.1490346)",K 30,Industriestraße Mitte
254676445,True,2,primary,60,False,39.508,"LINESTRING (10.3601416 52.1501049, 10.3606681 52.149957)",K 30,Industriestraße Mitte
4748405,True,1,motorway_link,,False,45.882,"LINESTRING (10.3601416 52.1501049, 10.3604269 52.1499616, 10.3604879 52.1499281, 10.3605285 52.1498923, 10.3605597 52.1498443, 10.3605741 52.1498044)",,
24213370,True,1,motorway_link,,False,200.368,"LINESTRING (10.3605741 52.1498044, 10.3605401 52.1497346, 10.3604993 52.1496849, 10.3604349 52.1496388, 10.3603611 52.1496103, 10.3602674 52.1495835, 10.3601829 52.1495646, 10.3600412 52.1495383, 10.3598701 52.1495119, 10.3597019 52.1494939, 10.3595466 52.1494873, 10.359394 52.1494907, 10.3592476 52.1495117, 10.3591498 52.1495473, 10.3590654 52.149596, 10.3589894 52.1496627, 10.3589514 52.1497455, 10.3589508 52.1498238, 10.3589894 52.149909, 10.3592777 52.1502456)",,
292605492,True,4,primary,60,False,10.157,"LINESTRING (10.3563213 52.1511699, 10.3564577 52.1511333)",K 30,Industriestraße Mitte
234235846,True,2,primary,60,False,49.637,"LINESTRING (10.3563855 52.1512594, 10.3557228 52.1514436)",K 30,Industriestraße Mitte
234235849,True,1,motorway_link,,False,10.873,"LINESTRING (10.3563855 52.1512594, 10.3563213 52.1511699)",,
108007791,True,1,motorway_link,,False,18.601,"LINESTRING (10.3565042 52.15141, 10.3563855 52.1512594)",,
24213372,True,1,motorway_link,,False,54.97500000000001,"LINESTRING (10.3565042 52.15141, 10.3564067 52.1513849, 10.3563419 52.1513724, 10.3562377 52.1513731, 10.3560998 52.1513868, 10.3557228 52.1514436)",,
8045533,True,1,motorway_link,60,False,288.324,"LINESTRING (10.3603926 52.1514649, 10.3602409 52.1513768, 10.3601046 52.1513174, 10.3599963 52.1512789, 10.3598819 52.1512528, 10.3597503 52.1512385, 10.3595661 52.1512485, 10.3593515 52.1512932, 10.3590701 52.1513746, 10.3586824 52.151477, 10.3583838 52.1515385, 10.3580822 52.1515814, 10.3577634 52.1516099, 10.3573878 52.1516217, 10.3571247 52.1516155, 10.356907 52.1515981, 10.356736 52.1515559, 10.3566044 52.1514901, 10.3565042 52.15141)",,
31430661,True,2,motorway,none,False,128.707,"LINESTRING (10.3603926 52.1514649, 10.3598304 52.1509085, 10.3593708 52.1504922)",A 39,
32757053,True,1,motorway_link,60,False,20.06,"LINESTRING (10.3606616 52.1497634, 10.3608044 52.1499211)",,
8045505,True,1,motorway_link,100,False,46.650000000000006,"LINESTRING (10.3606616 52.1497634, 10.3607182 52.1497884, 10.3607698 52.1498029, 10.3608392 52.1498161, 10.3609578 52.1498222, 10.3613194 52.1497892)",,
33415490,True,2,trunk,100,False,38.076,"LINESTRING (10.3608044 52.1499211, 10.3613194 52.1497892)",K 30,Industriestraße Mitte
234235848,True,1,motorway_link,60,False,11.123,"LINESTRING (10.3608044 52.1499211, 10.3608769 52.1500107)",,
234235847,True,2,primary,60,False,10.145,"LINESTRING (10.3565209 52.1512217, 10.3563855 52.1512594)",K 30,Industriestraße Mitte
311373474,True,1,motorway_link,,False,24.449,"LINESTRING (10.3565209 52.1512217, 10.3566542 52.1514258)",,
8045510,True,1,motorway_link,,False,10.734,"LINESTRING (10.3564577 52.1511333, 10.3565209 52.1512217)",,
