osmid,highway,junction,oneway,reversed,length,geometry,lanes,name,maxspeed,ref,bridge,access
8040786,secondary,roundabout,True,False,11.216999999999999,"LINESTRING (10.2461684 51.7250361, 10.2462044 51.725011, 10.2462521 51.7249949, 10.2463058 51.7249898)",,,,,,
"[25297328, 216818182]",secondary,,True,False,40.498999999999995,"LINESTRING (10.2461684 51.7250361, 10.2460855 51.7249269, 10.2458432 51.7247351)","['2', '1']",Northeimer Straße,,,,
8040786,secondary,roundabout,True,False,13.704,"LINESTRING (10.2464306 51.7251441, 10.2464035 51.7251622, 10.2463701 51.7251755, 10.2463323 51.7251832, 10.2462926 51.7251848, 10.2462535 51.7251801)",,,,,,
"[514569003, 609456580]",unclassified,,False,True,71.918,"LINESTRING (10.2464306 51.7251441, 10.2468578 51.7253384, 10.2470293 51.725409, 10.2471274 51.7254581, 10.2472528 51.7255399)",2,Northeimer Straße,"['50', '30']",,,
8352230,residential,,False,False,144.22500000000002,"LINESTRING (10.2556883 51.7266019, 10.2560606 51.7264991, 10.2561002 51.7264881, 10.2561156 51.7264839, 10.256641 51.726341, 10.2571971 51.7261767, 10.2575997 51.7260727)",,Berliner Straße,30,,,
8494012,living_street,,False,False,55.72,"LINESTRING (10.2556883 51.7266019, 10.2552975 51.7267256, 10.2549575 51.7268162)",,Brauhausstraße,30,,,
45869596,unclassified,,True,False,86.79199999999999,"LINESTRING (10.2556883 51.7266019, 10.2557689 51.7267047, 10.2559143 51.7268969, 10.2560484 51.7270464, 10.2561074 51.7271328, 10.2561315 51.7272358, 10.256102 51.7273189)",,Im Badegarten,30,,,
"[269849594, 25297125]",trunk_link,,True,False,154.618,"LINESTRING (10.2465829 51.7237224, 10.2467577 51.7236005, 10.2468088 51.7235488, 10.2468436 51.7234412, 10.2468277 51.7233984, 10.2467909 51.7233462, 10.2467211 51.7233034, 10.2466017 51.7232636, 10.2464838 51.7232572, 10.2464037 51.72327, 10.2462405 51.7233153, 10.2457889 51.7235292, 10.2455072 51.7236695)","['2', '1']",,,,,
192256836,trunk,,True,False,94.368,"LINESTRING (10.2465829 51.7237224, 10.2470868 51.7235969, 10.2478672 51.7234275)",2,,100,B 243,,
"[609825216, 609825215, 42785455]",unclassified,,True,False,200.03699999999998,"LINESTRING (10.2558513 51.7249905, 10.2559167 51.7251133, 10.2559378 51.7251848, 10.2559468 51.725262, 10.2559458 51.7253011, 10.2559364 51.7253435, 10.2559206 51.7253866, 10.2558749 51.7254463, 10.2558044 51.7255129, 10.2556348 51.7256276, 10.2554785 51.7257302, 10.2553865 51.7258125, 10.2553255 51.7258815, 10.2552946 51.7259641, 10.2553048 51.7260444, 10.2553531 51.7261426, 10.2554037 51.7262263, 10.2555549 51.7264355, 10.2556883 51.7266019)",2,Im Badegarten,30,,,
8352227,unclassified,,True,False,76.28399999999999,"LINESTRING (10.2508598 51.7254629, 10.2508882 51.725359, 10.2509543 51.7252843, 10.2517042 51.7251119)",,Obere Neustadt,30,,,
609297611,residential,,False,False,12.8,"LINESTRING (10.2487236 51.7291424, 10.2488366 51.729167, 10.2488984 51.7291815)",2,Eisensteinstraße,30,,,
27741463,residential,,True,False,45.293,"LINESTRING (10.2481354 51.7291805, 10.2481575 51.7291402, 10.2482469 51.7291119, 10.248394 51.7290998, 10.2485871 51.7291097, 10.2487236 51.7291424)",1,Dielenplan,30,,,
