osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,lanes,ref,tunnel
26544360,Breite Straße,residential,20,8,False,True,89.34400000000001,"LINESTRING (11.8602781 52.6060606, 11.8601382 52.6061389, 11.8600262 52.6062163, 11.8596768 52.6064634, 11.8594011 52.6066613)",,,
"[562285928, 26478877]",Bruchstraße,residential,"['20', '30']",,False,True,211.166,"LINESTRING (11.8602781 52.6060606, 11.860342 52.6061002, 11.8604071 52.6061344, 11.8604915 52.6061643, 11.8610071 52.6063061, 11.8612164 52.6063636, 11.8613413 52.6064023, 11.8614726 52.606462, 11.8615748 52.6065148, 11.8624961 52.606991, 11.8628095 52.6071497)",,,
620129955,Breite Straße,residential,20,8,False,False,26.584,"LINESTRING (11.8602781 52.6060606, 11.860391 52.6059959, 11.8605513 52.6058887)",,,
363024483,Ostwall,secondary,50,,False,False,121.856,"LINESTRING (11.8641936 52.6068751, 11.8642599 52.6067891, 11.8649541 52.6058813)",2,L 32,
"[1187667738, 26635558]",Ostwall,secondary,50,,False,True,88.48100000000001,"LINESTRING (11.8641936 52.6068751, 11.864134 52.606959, 11.8640893 52.6070306, 11.8640408 52.6071166, 11.8640012 52.6071968, 11.8639666 52.6072824, 11.8639258 52.6073878, 11.8638819 52.6075193, 11.8638519 52.6076405)","['2', '3']",L 32,
"[363129088, 363129089, 27431971, 1187667729, 1187667679]",Altes Dorf,secondary,50,,False,False,232.43200000000002,"LINESTRING (11.8566738 52.6088003, 11.8564602 52.6087274, 11.8563984 52.6087085, 11.8562718 52.6086737, 11.8561476 52.6086471, 11.8547211 52.608378, 11.8545038 52.6083356, 11.8540722 52.6082493, 11.8538124 52.6081966, 11.8537046 52.6081681, 11.8536036 52.6081423, 11.8534972 52.6081166, 11.8534367 52.6081016)","['2', '3']",L 15,
1187715820,Breite Straße,residential,50,8,False,False,18.389,"LINESTRING (11.8566738 52.6088003, 11.8567342 52.6087559, 11.856767 52.6087317, 11.8567961 52.6087061, 11.8568378 52.6086685)",,,
26544360,Breite Straße,residential,20,8,False,False,46.283,"LINESTRING (11.8571276 52.6084198, 11.8573775 52.6082201, 11.8575161 52.6080777)",,,
"[26544360, 1187715820]",Breite Straße,residential,"['20', '50']",8,False,True,33.879000000000005,"LINESTRING (11.8571276 52.6084198, 11.8570664 52.6084713, 11.8568914 52.6086232, 11.8568378 52.6086685)",,,
26557756,Jacobikirchhof,residential,20,,False,False,91.564,"LINESTRING (11.8571276 52.6084198, 11.8572414 52.6084661, 11.8582869 52.6088468)",,,
26495335,Brüderstraße,residential,30,,False,False,52.525,"LINESTRING (11.8574607 52.603922, 11.8568282 52.6036471)",,,
26495333,Wüste Worth,residential,30,4,False,False,76.97200000000001,"LINESTRING (11.8574607 52.603922, 11.8570955 52.6043167, 11.8569024 52.6045255)",,,
26495329,Kornmarkt,residential,20,4,True,False,135.49599999999998,"LINESTRING (11.8605513 52.6058887, 11.8603543 52.6057833, 11.8600221 52.6056274, 11.8598069 52.6055425, 11.8595796 52.6054551, 11.8593845 52.6053901, 11.8590909 52.6053058, 11.8589601 52.6052694, 11.8589077 52.605256, 11.8588586 52.6052489)",,,
620129955,Breite Straße,residential,20,8,False,True,26.584,"LINESTRING (11.8605513 52.6058887, 11.860391 52.6059959, 11.8602781 52.6060606)",,,
26495335,Brüderstraße,residential,30,,False,True,52.525,"LINESTRING (11.8568282 52.6036471, 11.8574607 52.603922)",,,
26495336,Weberstraße,residential,30,,False,False,106.458,"LINESTRING (11.8568282 52.6036471, 11.8568725 52.6033275, 11.8568978 52.6032448, 11.8569343 52.603164, 11.8569941 52.6030841, 11.8573062 52.6027536)",,,
26721587,Brüderstraße,residential,30,,False,False,46.531000000000006,"LINESTRING (11.8568282 52.6036471, 11.8565708 52.6035619, 11.8562193 52.6034513)",,,
