osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,access,width,tunnel
463118560,True,3,L 631,Friedrich-Ebert-Straße,primary,50,False,12.82,"LINESTRING (6.9316426 51.519487, 6.9316944 51.5193763)",,,
"[463323944, 22369937]",True,"['2', '3']",L 641,Prosperstraße,secondary,,False,137.287,"LINESTRING (6.9316426 51.519487, 6.9314159 51.5194056, 6.9311801 51.5193208, 6.9309783 51.5192656, 6.9307322 51.5191984, 6.9304438 51.5191401, 6.9297958 51.5190702)",,,
32718619,False,,,Paßstraße,residential,,True,15.667,"LINESTRING (6.930422 51.5225516, 6.9306329 51.5226029)",,,
"[66320717, 32718615]",True,2,L 631,Friedrich-Ebert-Straße,primary,50,False,212.52800000000002,"LINESTRING (6.930422 51.5225516, 6.9304702 51.5224401, 6.9305679 51.5222142, 6.9306217 51.522082, 6.9307186 51.5218437, 6.9308742 51.5214494, 6.9310574 51.5209727, 6.9311673 51.5206975)",,,
32718617,False,,,Paßstraße,residential,30,False,84.049,"LINESTRING (6.930422 51.5225516, 6.9302825 51.5225188, 6.9302232 51.5225049, 6.9295443 51.5223453, 6.9292817 51.5222913)",,,
32597632,True,3,L 511,Horster Straße,secondary,,False,15.695,"LINESTRING (6.9300686 51.523483, 6.9302877 51.5235196)",,,
"[463118920, 32687735]",True,"['4', '2']",L 631,Friedrich-Ebert-Straße,primary,50,False,106.43799999999999,"LINESTRING (6.9300686 51.523483, 6.9301274 51.5233392, 6.9301765 51.5232189, 6.9302586 51.522963, 6.9303439 51.5227487, 6.9303628 51.5227005, 6.930422 51.5225516)",,,
"[463119628, 22561247]",True,2,L 511,Gladbecker Straße,primary,50,False,99.06800000000001,"LINESTRING (6.9284365 51.5259297, 6.9285516 51.5258251, 6.9286048 51.5257744, 6.9286542 51.5257191, 6.9287086 51.5256416, 6.928734 51.5255635, 6.928748 51.5254667, 6.9287494 51.5253758, 6.9287534 51.525261, 6.9287954 51.5250898)",,,
133550518,True,1,L 511,Gladbecker Straße,secondary,,False,11.195,"LINESTRING (6.9284365 51.5259297, 6.9285202 51.525935, 6.9285925 51.5259527)",,,
24987854,False,,,Kastanienweg,residential,10,True,116.03999999999999,"LINESTRING (6.9235779 51.5192597, 6.9234728 51.5192205, 6.9233292 51.5192244, 6.9231214 51.5192572, 6.9227419 51.5194087, 6.9227248 51.5194228, 6.9227211 51.5194335, 6.9227207 51.5194456, 6.9227241 51.5197563, 6.9227983 51.5198589)",,,
"[81155411, 653126900, 653126899]",True,"['4', '2', '3']",L 633,Horster Straße,secondary,,False,99.87400000000001,"LINESTRING (6.9316225 51.5238978, 6.9314453 51.5238706, 6.9311204 51.5238114, 6.9308629 51.5237672, 6.9305225 51.5237136, 6.9304763 51.5237064, 6.9302275 51.5236672)",,,
702689519,False,2,L 633,Horster Straße,secondary,50,True,206.42800000000003,"LINESTRING (6.9316225 51.5238978, 6.9320198 51.5240228, 6.9323263 51.5241192, 6.9324676 51.5241661, 6.9324973 51.524176, 6.932789 51.5242726, 6.9329882 51.5243386, 6.9330593 51.5243624, 6.9334728 51.5245073, 6.9339049 51.5246568, 6.9342612 51.5247635)",,,
21915724,True,2,L 641,Peterstraße,secondary,,False,5.378,"LINESTRING (6.9252977 51.5190658, 6.9252236 51.5190804)",,,
22370015,False,2,,Essener Straße,residential,,False,9.518,"LINESTRING (6.9269966 51.51891, 6.9270222 51.5188259)",,,
"[463331033, 463331030]",True,"['2', '3']",L 641,Essener Straße,secondary,,False,119.218,"LINESTRING (6.9269966 51.51891, 6.9268483 51.5189102, 6.9267406 51.5189122, 6.9265895 51.5189184, 6.9264425 51.5189269, 6.9262683 51.5189376, 6.9260906 51.5189563, 6.9257469 51.5189992, 6.9256572 51.5190099, 6.9255739 51.5190215, 6.9254187 51.5190435, 6.9252977 51.5190658)",,,
45509771,False,,,Hünefeldstraße,residential,30,False,190.608,"LINESTRING (6.9225383 51.5173345, 6.9225736 51.5173528, 6.9237028 51.5179393, 6.9240595 51.5180816, 6.9244334 51.5182106, 6.9247955 51.518295)",,,
22329190,False,,,Ernst-Wilczok-Platz,residential,,True,69.363,"LINESTRING (6.9256584 51.5245471, 6.9248966 51.5242802, 6.9247848 51.524241)",,,
22428779,False,,,Droste-Hülshoff-Platz,residential,,True,124.80900000000001,"LINESTRING (6.9256584 51.5245471, 6.9257179 51.5245672, 6.9260091 51.5246633, 6.9260362 51.5246722, 6.9261331 51.5247079, 6.926701 51.5249291, 6.9271936 51.525135)",,,
190036996,True,,,Ernst-Wilczok-Platz,residential,,False,95.149,"LINESTRING (6.9256584 51.5245471, 6.9256118 51.5245958, 6.9254832 51.5247303, 6.9253721 51.5247556, 6.9248354 51.5245725, 6.9246233 51.5245001, 6.9245704 51.524482)",,,
281891154,False,,,Essener Straße,residential,40,False,154.664,"LINESTRING (6.9282239 51.5182745, 6.9287643 51.5178886, 6.9291989 51.5175908, 6.9295009 51.5174048, 6.9297344 51.5172499)",,,
281891154,False,,,Essener Straße,residential,40,True,71.159,"LINESTRING (6.9282239 51.5182745, 6.928107 51.5183446, 6.9280042 51.5183782, 6.9276631 51.5184656, 6.9274613 51.5185132, 6.9273121 51.5185574)",,,
702691686,False,,,Essener Straße,residential,40,False,12.575,"LINESTRING (6.9297344 51.5172499, 6.9298669 51.5171725)",,,
281891154,False,,,Essener Straße,residential,40,True,154.664,"LINESTRING (6.9297344 51.5172499, 6.9295009 51.5174048, 6.9291989 51.5175908, 6.9287643 51.5178886, 6.9282239 51.5182745)",,,
22370872,True,2,,Adolf-Kolping-Straße,residential,30,False,24.23,"LINESTRING (6.9270461 51.5191215, 6.9269992 51.5190573, 6.9269955 51.5190244, 6.9269953 51.5189547, 6.9269966 51.51891)",,,
"[296089192, 463331032]",False,3,,Adolf-Kolping-Straße,residential,30,False,51.362,"LINESTRING (6.9270461 51.5191215, 6.9270382 51.5193284, 6.9270521 51.5195832)",,,
702691686,False,,,Essener Straße,residential,40,True,12.575,"LINESTRING (6.9298669 51.5171725, 6.9297344 51.5172499)",,,
22370017,True,,,Brauerstraße,residential,30,False,117.141,"LINESTRING (6.9298669 51.5171725, 6.9299617 51.5172376, 6.9300364 51.5173078, 6.9298579 51.5181822)",,,
24776051,False,,,Karl-Englert-Straße,residential,30,False,61.049,"LINESTRING (6.9298579 51.5181822, 6.9307398 51.5181658)",,,
22370018,True,,,Karl-Englert-Straße,residential,30,False,113.93299999999999,"LINESTRING (6.9298579 51.5181822, 6.9285254 51.5182829, 6.9283229 51.5182887, 6.9282239 51.5182745)",,,
24776056,False,,,Brauerstraße,residential,30,False,89.765,"LINESTRING (6.9298579 51.5181822, 6.9298188 51.5184375, 6.9298113 51.5189883)",,,
463323946,False,,,Brauerstraße,residential,30,False,19.509,"LINESTRING (6.9291379 51.5199266, 6.9290043 51.5200811)",,,
"[463331024, 463323946]",False,3,,Brauerstraße,residential,30,True,105.55199999999999,"LINESTRING (6.9291379 51.5199266, 6.9295071 51.5194366, 6.9297958 51.5190702)",,,
22370871,False,,,Ehrenplatz,living_street,,False,164.613,"LINESTRING (6.9311673 51.5206975, 6.9308437 51.5206062, 6.9304671 51.5205018, 6.9300284 51.5203802, 6.9298692 51.5203338, 6.929779 51.5203075, 6.9293447 51.5201806, 6.9291383 51.5201203, 6.9290043 51.5200811)",,,
"[463118560, 36084374]",True,"['2', '3']",L 631,Friedrich-Ebert-Straße,primary,50,False,138.565,"LINESTRING (6.9311673 51.5206975, 6.9313025 51.5203707, 6.9315753 51.5196546, 6.9316426 51.519487)",,,
22370873,False,,,Bothenstraße,residential,30,True,58.101,"LINESTRING (6.9270521 51.5195832, 6.9263595 51.5195927, 6.9262164 51.5196135)",,,
22780657,True,,,Bothenstraße,residential,30,False,151.383,"LINESTRING (6.9270521 51.5195832, 6.9275838 51.5195919, 6.9278057 51.5196109, 6.9280195 51.5196368, 6.9282948 51.519689, 6.9285515 51.5197487, 6.9291379 51.5199266)",,,
463331032,False,,,Adolf-Kolping-Straße,residential,30,False,108.694,"LINESTRING (6.9270521 51.5195832, 6.9270555 51.5197938, 6.9270363 51.5200332, 6.9269502 51.5202674, 6.9267464 51.5205248)",,,
"[463331032, 296089192]",False,3,,Adolf-Kolping-Straße,residential,30,True,51.362,"LINESTRING (6.9270521 51.5195832, 6.9270382 51.5193284, 6.9270461 51.5191215)",,,
22370873,False,,,Bothenstraße,residential,30,False,58.101,"LINESTRING (6.9262164 51.5196135, 6.9263595 51.5195927, 6.9270521 51.5195832)",,,
"[123185196, 123291526]",False,,,"['Poststraße', 'Adolf-Kolping-Straße']",residential,20,False,104.57400000000001,"LINESTRING (6.9267464 51.5205248, 6.9267351 51.5205347, 6.9266734 51.5205884, 6.9265936 51.5206541, 6.9264104 51.5208051, 6.9263826 51.5208536, 6.9263987 51.5209138, 6.9268907 51.5212812)",,,
463331032,False,,,Adolf-Kolping-Straße,residential,30,True,108.694,"LINESTRING (6.9267464 51.5205248, 6.9269502 51.5202674, 6.9270363 51.5200332, 6.9270555 51.5197938, 6.9270521 51.5195832)",,,
22529784,False,,,Auf der Bette,residential,30,False,149.313,"LINESTRING (6.9338681 51.5230886, 6.9344527 51.521796)",,,
702689521,False,,,Paßstraße,residential,30,True,129.375,"LINESTRING (6.9338681 51.5230886, 6.9342314 51.5230486, 6.9357127 51.5228977)",,,
"[702689522, 318374165]",False,,,Paßstraße,residential,30,False,232.342,"LINESTRING (6.9338681 51.5230886, 6.9336664 51.5231109, 6.9335636 51.5231159, 6.9334591 51.5231135, 6.9331746 51.5230776, 6.9320399 51.5228756, 6.9317599 51.5228312, 6.9314194 51.5227723, 6.931223 51.5227383, 6.9308903 51.522662, 6.9308128 51.5226442, 6.9306329 51.5226029)",,,
122748511,False,,,Gerichtsstraße,residential,,True,37.235,"LINESTRING (6.9271936 51.525135, 6.9268388 51.5253868)",,,
22428779,False,,,Droste-Hülshoff-Platz,residential,,False,124.809,"LINESTRING (6.9271936 51.525135, 6.926701 51.5249291, 6.9261331 51.5247079, 6.9260362 51.5246722, 6.9260091 51.5246633, 6.9257179 51.5245672, 6.9256584 51.5245471)",,,
24575715,False,,,Gerichtsstraße,residential,30,False,110.17399999999999,"LINESTRING (6.9271936 51.525135, 6.9277073 51.5247563, 6.928084 51.524474, 6.9281761 51.5244425, 6.9282757 51.5244313)",yes,,
"[702689520, 42359282, 653126898]",False,"['2', '3']",L 633,Horster Straße,secondary,50,False,164.95700000000002,"LINESTRING (6.9358017 51.5258698, 6.9355356 51.5256392, 6.9352456 51.5253484, 6.9351043 51.5252186, 6.9346407 51.5249084, 6.9342612 51.5247635)",,,
"[463119624, 119446148]",True,"['4', '3']",L 511,Friedrich-Ebert-Straße,primary,50,False,129.749,"LINESTRING (6.9291126 51.5246478, 6.9292617 51.5244884, 6.9294289 51.5243355, 6.9296174 51.5241585, 6.9298718 51.5238861, 6.9299285 51.5237753, 6.9299476 51.5237378, 6.9300034 51.5236287)",,,
