osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,ref,lanes,junction,width
4223408,Frankfurter Straße,residential,50,False,False,39.522999999999996,"LINESTRING (9.687669 50.0581284, 9.6876285 50.0582019, 9.6875419 50.058347, 9.6874362 50.0584485)",,,,,
"[8352139, 700572804]",Saalebrücke,secondary,50,False,False,124.63000000000001,"LINESTRING (9.687669 50.0581284, 9.6877602 50.0581348, 9.6878659 50.0581094, 9.6881321 50.057963, 9.6885195 50.0577374, 9.6890033 50.057442)",yes,St 2302,,,
"[8352146, 615634741, 700572805]",,secondary,50,False,True,135.621,"LINESTRING (9.687669 50.0581284, 9.6875518 50.058078, 9.6873073 50.0579385, 9.6870846 50.0577883, 9.6869003 50.0576547, 9.6864425 50.0573251, 9.6863507 50.0572549)",,St 2302,,,
"[790311437, 340590671]",,primary,"['50', '70']",False,True,193.318,"LINESTRING (9.6844359 50.0601856, 9.6844673 50.0599723, 9.6844869 50.0598456, 9.6846191 50.0594015, 9.6848275 50.058833, 9.6848369 50.058756, 9.6848219 50.0586587, 9.6847449 50.0584796)",,B 26,2,,
"[827930697, 24607164, 28999500]",Fischmarkt,secondary,50,False,False,100.428,"LINESTRING (9.6890033 50.057442, 9.6893389 50.057242, 9.6897378 50.057018, 9.6899368 50.0568907, 9.6900423 50.0568336)",yes,St 2302,,,
"[8352139, 700572804]",Saalebrücke,secondary,50,False,True,124.63000000000001,"LINESTRING (9.6890033 50.057442, 9.6885195 50.0577374, 9.6881321 50.057963, 9.6878659 50.0581094, 9.6877602 50.0581348, 9.687669 50.0581284)",yes,St 2302,,,
39690923,Frankfurter Straße,residential,50,False,True,11.526,"LINESTRING (9.6849289 50.0598664, 9.6850458 50.0597949)",,,,,
57862735,Frankfurter Straße,residential,50,True,False,49.985,"LINESTRING (9.6849289 50.0598664, 9.684757 50.0599803, 9.6844359 50.0601856)",,,,,
"[15510968, 19548225, 731787538, 522249326]",,tertiary,50,False,False,653.228,"LINESTRING (9.6843766 50.0528868, 9.6843807 50.0529969, 9.6844067 50.0537647, 9.684412 50.0539882, 9.6844254 50.0541122, 9.6844864 50.0544059, 9.6845287 50.0546142, 9.6846219 50.0549727, 9.6847352 50.0552875, 9.6848637 50.0555849, 9.6849954 50.0558197, 9.6852091 50.056142, 9.6853401 50.0563191, 9.6857143 50.0567628, 9.6858229 50.0569166, 9.6858765 50.0570062, 9.6859127 50.0570785, 9.6859422 50.057187, 9.685955 50.0572695, 9.685954 50.0573467, 9.6859382 50.0574638, 9.6859107 50.0575463, 9.6858669 50.0576289, 9.6857745 50.057767, 9.6857263 50.0578192, 9.6856563 50.0578906, 9.6855487 50.0580005, 9.6854664 50.0580656, 9.6852875 50.0581849, 9.685129 50.0582521, 9.6849102 50.0583044)",yes,,2,,
27892790,,primary,50,True,False,24.839,"LINESTRING (9.6849102 50.0583044, 9.6849136 50.0583416, 9.6849031 50.0583782, 9.6848793 50.0584121, 9.6848434 50.0584414, 9.6847978 50.0584644, 9.6847449 50.0584796)",,B 26,1,roundabout,
"[15510968, 19548225, 731787538, 522249326]",,tertiary,50,False,True,653.2280000000001,"LINESTRING (9.6849102 50.0583044, 9.685129 50.0582521, 9.6852875 50.0581849, 9.6854664 50.0580656, 9.6855487 50.0580005, 9.6856563 50.0578906, 9.6857263 50.0578192, 9.6857745 50.057767, 9.6858669 50.0576289, 9.6859107 50.0575463, 9.6859382 50.0574638, 9.685954 50.0573467, 9.685955 50.0572695, 9.6859422 50.057187, 9.6859127 50.0570785, 9.6858765 50.0570062, 9.6858229 50.0569166, 9.6857143 50.0567628, 9.6853401 50.0563191, 9.6852091 50.056142, 9.6849954 50.0558197, 9.6848637 50.0555849, 9.6847352 50.0552875, 9.6846219 50.0549727, 9.6845287 50.0546142, 9.6844864 50.0544059, 9.6844254 50.0541122, 9.684412 50.0539882, 9.6844067 50.0537647, 9.6843807 50.0529969, 9.6843766 50.0528868)",yes,,2,,
"[827930697, 24607164, 28999500]",Fischmarkt,secondary,50,False,True,100.428,"LINESTRING (9.6900423 50.0568336, 9.6899368 50.0568907, 9.6897378 50.057018, 9.6893389 50.057242, 9.6890033 50.057442)",yes,St 2302,,,
26121352,Mühltorstraße,secondary,50,False,False,47.524,"LINESTRING (9.6900423 50.0568336, 9.6901341 50.0568506, 9.6902283 50.0568905, 9.6903221 50.0570047, 9.6903936 50.0571044, 9.690422 50.057156)",,St 2302,,,
527081401,Plattnergasse,residential,,True,False,19.378999999999998,"LINESTRING (9.6900423 50.0568336, 9.6901498 50.0567681, 9.6902717 50.0567564)",,,,,5
26121352,Mühltorstraße,secondary,50,False,False,6.973,"LINESTRING (9.690422 50.057156, 9.6904459 50.0572168)",,St 2302,,,
26121352,Mühltorstraße,secondary,50,False,True,47.524,"LINESTRING (9.690422 50.057156, 9.6903936 50.0571044, 9.6903221 50.0570047, 9.6902283 50.0568905, 9.6901341 50.0568506, 9.6900423 50.0568336)",,St 2302,,,
39690923,Frankfurter Straße,residential,50,False,False,11.526,"LINESTRING (9.6850458 50.0597949, 9.6849289 50.0598664)",,,,,
39690923,Frankfurter Straße,residential,50,False,True,138.53,"LINESTRING (9.6850458 50.0597949, 9.6854762 50.0595802, 9.6859677 50.0593653, 9.6862587 50.0592577, 9.686657 50.0591036)",,,,,
24864591,Häfnergasse,residential,30,False,True,86.358,"LINESTRING (9.6866236 50.0598799, 9.6866356 50.0594876, 9.6866477 50.0592301, 9.686657 50.0591036)",,,,,
89810796,,residential,,False,True,33.228,"LINESTRING (9.686657 50.0591036, 9.6870728 50.0592379)",,,,,
24864591,Häfnergasse,residential,30,False,False,86.358,"LINESTRING (9.686657 50.0591036, 9.6866477 50.0592301, 9.6866356 50.0594876, 9.6866236 50.0598799)",,,,,
39690923,Frankfurter Straße,residential,50,False,False,138.53,"LINESTRING (9.686657 50.0591036, 9.6862587 50.0592577, 9.6859677 50.0593653, 9.6854762 50.0595802, 9.6850458 50.0597949)",,,,,
223412811,Frankfurter Straße,residential,50,False,True,75.694,"LINESTRING (9.686657 50.0591036, 9.6868153 50.0590158, 9.6869601 50.0589099, 9.6873142 50.0585741)",,,,,
26121352,Mühltorstraße,secondary,50,False,True,6.973,"LINESTRING (9.6904459 50.0572168, 9.690422 50.057156)",,St 2302,,,
"[25200904, 26121355, 26121359]","['Mühltorstraße', 'Max-Josef-Straße']",residential,,False,True,106.048,"LINESTRING (9.6904459 50.0572168, 9.6902479 50.0572898, 9.6900345 50.0573612, 9.6899563 50.0573938, 9.6902989 50.0577395, 9.69047 50.0578859)",,,,,"['2', '3']"
26121352,Mühltorstraße,secondary,50,False,False,12.384,"LINESTRING (9.6904459 50.0572168, 9.6904813 50.0572908, 9.6904981 50.057323)",,St 2302,,,
"[23090024, 615644936, 26120131]",Bahnhofstraße,primary,50,False,"[False, True]",238.504,"LINESTRING (9.6888786 50.0558626, 9.6885549 50.0560023, 9.6883738 50.0560782, 9.6877082 50.0564128, 9.687428 50.0565635, 9.6869609 50.0568539, 9.6866305 50.0570719, 9.6864652 50.0571863, 9.6863507 50.0572549)",yes,B 26,2,,
48295855,Scherenbergstraße,residential,,False,True,52.926,"LINESTRING (9.6888786 50.0558626, 9.6889043 50.055884, 9.6889375 50.0559074, 9.6889998 50.0559644, 9.6893321 50.0562389)",,,,,
"[1193565224, 1193565225, 30745269, 577419935]",Bahnhofstraße,primary,50,False,False,200.381,"LINESTRING (9.6888786 50.0558626, 9.6899147 50.0554411, 9.6904351 50.0552294, 9.6909244 50.0550396, 9.6912603 50.0549093)",,B 26,2,,
30745269,Bahnhofstraße,primary,50,False,False,53.952,"LINESTRING (9.6912603 50.0549093, 9.691909 50.0546604)",,B 26,,,
26119259,Mainstraße,residential,,True,False,67.945,"LINESTRING (9.6912603 50.0549093, 9.6911601 50.0550067, 9.6911135 50.0550414, 9.6905141 50.0552717)",,,,,3
"[1193565224, 1193565225, 30745269, 577419935]",Bahnhofstraße,primary,50,False,True,200.381,"LINESTRING (9.6912603 50.0549093, 9.6909244 50.0550396, 9.6904351 50.0552294, 9.6899147 50.0554411, 9.6888786 50.0558626)",,B 26,2,,
