osmid,oneway,name,highway,reversed,length,geometry,width,maxspeed,ref,lanes,tunnel
159956681,True,Marktstraße,residential,False,54.214,"LINESTRING (13.0921309 48.4441772, 13.0916436 48.4445422)",,,,,
598192177,True,Hofmark,residential,False,15.213,"LINESTRING (13.0921309 48.4441772, 13.0922613 48.4440712)",,,,,
159956664,False,Hofmark,residential,False,17.706,"LINESTRING (13.0936561 48.4426913, 13.0938005 48.4425641)",,,,,
159956655,False,Bruder-Konrad-Straße,residential,False,164.806,"LINESTRING (13.0936561 48.4426913, 13.0944041 48.4429657, 13.0952038 48.443256, 13.0955019 48.4433304, 13.0955802 48.4434148)",,,,,
159956664,False,Hofmark,residential,True,94.65100000000001,"LINESTRING (13.0936561 48.4426913, 13.0933159 48.4431455, 13.0930407 48.4434371)",,,,,
78391915,False,Josef-Voglsamer-Straße,residential,False,56.314,"LINESTRING (13.0960894 48.442926, 13.0957409 48.4433766)",5,,,,
83545320,False,Raiffeisenweg,residential,True,162.301,"LINESTRING (13.0849488 48.4427833, 13.085043 48.4428627, 13.0870664 48.4426528)",,30,,,
83545315,False,Brunnenhöhe,residential,True,44.252,"LINESTRING (13.0849637 48.4424554, 13.0850328 48.4423434, 13.0851546 48.4422662, 13.0853337 48.4422127, 13.0853769 48.4421928)",,,,,
83545315,False,Brunnenhöhe,residential,False,53.645,"LINESTRING (13.0858089 48.4418427, 13.0857595 48.4419754, 13.0856478 48.4420801, 13.085549 48.4421493, 13.0853769 48.4421928)",,,,,
"[129692344, 603449368]",False,Professor-Drexel-Straße,residential,True,77.036,"LINESTRING (13.0858089 48.4418427, 13.0860677 48.4419068, 13.0865595 48.4420465, 13.0866457 48.442092, 13.0867419 48.4421428)",4,30,,,
83545315,False,Brunnenhöhe,residential,False,44.252,"LINESTRING (13.0853769 48.4421928, 13.0853337 48.4422127, 13.0851546 48.4422662, 13.0850328 48.4423434, 13.0849637 48.4424554)",,,,,
83545315,False,Brunnenhöhe,residential,True,53.644999999999996,"LINESTRING (13.0853769 48.4421928, 13.085549 48.4421493, 13.0856478 48.4420801, 13.0857595 48.4419754, 13.0858089 48.4418427)",,,,,
83545318,False,Brunnenhöhe,residential,False,54.123999999999995,"LINESTRING (13.0853769 48.4421928, 13.0852985 48.442119, 13.0852234 48.4420613, 13.0850725 48.4420018, 13.0847696 48.4419679)",,,,,
83545318,False,Brunnenhöhe,residential,True,54.123999999999995,"LINESTRING (13.0847696 48.4419679, 13.0850725 48.4420018, 13.0852234 48.4420613, 13.0852985 48.442119, 13.0853769 48.4421928)",,,,,
127292684,False,Hoftstraße,secondary,False,77.412,"LINESTRING (13.0899767 48.4440492, 13.0899768 48.4442581, 13.0900027 48.444359, 13.0900836 48.4444942, 13.0901998 48.4446189, 13.0903011 48.444683)",,,St 2324,,
"[159956685, 598192175]",False,Pfarrkirchner Straße,secondary,False,184.734,"LINESTRING (13.0899767 48.4440492, 13.0895216 48.4440244, 13.0891003 48.443997, 13.0887042 48.4439372, 13.0882927 48.443875, 13.0874973 48.4438992)",,50,St 2324,,
"[598192176, 129748025]",False,Hofmark,tertiary,False,94.027,"LINESTRING (13.0899767 48.4440492, 13.090877 48.4438302, 13.0910231 48.4437941, 13.0910728 48.4437594, 13.0911262 48.4437132)",6,,PAN 11,,
127292684,False,Hoftstraße,secondary,False,45.26,"LINESTRING (13.0903011 48.444683, 13.0904013 48.4447446, 13.0905378 48.4448378, 13.0905909 48.4448967, 13.090653 48.4450071)",,,St 2324,,
127292684,False,Hoftstraße,secondary,True,77.412,"LINESTRING (13.0903011 48.444683, 13.0901998 48.4446189, 13.0900836 48.4444942, 13.0900027 48.444359, 13.0899768 48.4442581, 13.0899767 48.4440492)",,,St 2324,,
129822437,False,Lindhuberstraße,residential,True,127.725,"LINESTRING (13.0903011 48.444683, 13.090151 48.4447363, 13.0896893 48.4448538, 13.0886495 48.4450122)",6,,,,
128911499,False,Florian-Fischer-Straße,residential,False,64.254,"LINESTRING (13.0866944 48.4475288, 13.0861081 48.4471014)",4,,,,
129748021,False,Auf der Schrann,tertiary,False,165.666,"LINESTRING (13.0924471 48.4422793, 13.0927528 48.4418613, 13.0932873 48.4410401, 13.0933243 48.4409714, 13.0933391 48.4409144)",6,,PAN 11,,
159956645,False,Aichner-Schmied-Straße,residential,False,104.775,"LINESTRING (13.0924471 48.4422793, 13.0931423 48.4424392, 13.0938005 48.4425641)",,,,,
598192180,False,Auf der Schrann,tertiary,True,30.883,"LINESTRING (13.0924471 48.4422793, 13.0923622 48.4423852, 13.0922287 48.4425158)",6,,PAN 11,,
"[598192168, 129692341, 129692334]",False,"['Kreuzsäulenstraße', 'Auf der Schrann']",residential,True,419.18,"LINESTRING (13.0922287 48.4425158, 13.0913421 48.4423272, 13.091165 48.4422203, 13.0911093 48.4422517, 13.0909267 48.4422758, 13.090692 48.4422855, 13.0905885 48.4422806, 13.0897753 48.4421733, 13.0896878 48.4421794, 13.0893905 48.4422149, 13.088966 48.4422244, 13.0870271 48.4420836, 13.0868417 48.4420876, 13.0867748 48.4421104, 13.0867419 48.4421428)",,,,,
