osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,ref,bridge,access,width,junction
"[309064289, 371955226, 371955171]",Westtangente,secondary,50,False,True,141.67199999999997,2,"LINESTRING (9.5677946 49.9938183, 9.5678513 49.9937793, 9.5678959 49.9937537, 9.567952 49.9937194, 9.568135 49.9936474, 9.5685535 49.9935386, 9.5687092 49.9935036, 9.5693064 49.9933784, 9.5693562 49.9933674, 9.5695911 49.9933126)",,,,,
"[756604432, 371955190, 371955144]",Rechtenbacher Straße,primary,50,False,False,118.03899999999999,3,"LINESTRING (9.5677946 49.9938183, 9.5679409 49.9939011, 9.5679733 49.9939207, 9.5680591 49.9939726, 9.5681968 49.9940764, 9.5683134 49.9941832, 9.5684086 49.9942905, 9.5685248 49.9944384, 9.5686548 49.9945957, 9.5687184 49.9946844)",B 26,,,,
542225607,Fischergasse,living_street,,False,True,3.24,,"LINESTRING (9.5789377 49.9936805, 9.5789017 49.9936628)",,,,,
28955453,Mainkai,living_street,,False,False,73.891,,"LINESTRING (9.5789377 49.9936805, 9.5790646 49.9935218, 9.579156 49.9934037, 9.5792599 49.993244, 9.5793154 49.9931161, 9.5793355 49.9930696)",,,,,
"[71025097, 28955461]",Fischergasse,residential,,False,True,50.36,,"LINESTRING (9.5789377 49.9936805, 9.579136 49.9937738, 9.5793491 49.9938517, 9.5793927 49.9938615, 9.579557 49.9938822)",,,,,
60823503,Untere Brückenstraße,tertiary,50,False,True,58.068,,"LINESTRING (9.5773059 49.9929555, 9.5764945 49.9929802)",,,,,
4054563,Obere Brückenstraße,living_street,,True,False,107.29800000000002,,"LINESTRING (9.5773059 49.9929555, 9.5772587 49.9930241, 9.5768086 49.9932409, 9.5764314 49.9934593, 9.5762593 49.9935378, 9.5761603 49.9935566)",,,,,
15789158,Turmstraße,living_street,,False,False,46.378,,"LINESTRING (9.5761603 49.9935566, 9.5759797 49.9939572)",,,,,
"[28954721, 587199573, 15784589]","['Grabenstraße', 'Anlagestraße']","['living_street', 'residential']",20,True,False,175.80800000000002,,"LINESTRING (9.5761603 49.9935566, 9.5755987 49.9935332, 9.5748587 49.9936085, 9.574659 49.9936276, 9.5746237 49.993631, 9.5745313 49.9936398, 9.5745024 49.9936426, 9.573995 49.9936912, 9.5737627 49.9937134, 9.5737238 49.9937171)",,,,,
15789598,Vorstadtstraße,living_street,,True,False,48.658,,"LINESTRING (9.5761603 49.9935566, 9.5761128 49.9935005, 9.5760709 49.9933732, 9.5760402 49.9931304)",,,,,
72287777,Fischergasse,living_street,,False,False,34.25,,"LINESTRING (9.5761603 49.9935566, 9.576401 49.9936309, 9.5766058 49.9936664)",,,,,
"[27043121, 442948563, 442948545]",Osttangente,secondary,50,False,False,261.58199999999994,,"LINESTRING (9.579557 49.9938822, 9.5795344 49.9940434, 9.5794742 49.9942645, 9.5794377 49.994369, 9.5793738 49.99451, 9.5791847 49.9948296, 9.5789995 49.9950423, 9.5788124 49.9952233, 9.5786541 49.9953339, 9.5785303 49.9954136, 9.5783516 49.9955042, 9.5781713 49.9955807, 9.5780666 49.9956148, 9.5779599 49.995638, 9.5778865 49.9956457, 9.5778029 49.9956453, 9.5777253 49.9956372, 9.5776352 49.9956177)",St 2315,,,,
"[71025097, 28955461]",Fischergasse,residential,,False,False,50.36,,"LINESTRING (9.579557 49.9938822, 9.5793927 49.9938615, 9.5793491 49.9938517, 9.579136 49.9937738, 9.5789377 49.9936805)",,,,,
442948552,Osttangente,secondary,50,False,True,54.844,,"LINESTRING (9.579557 49.9938822, 9.5795848 49.9934924, 9.5795876 49.9933894)",St 2315,,,,
4054657,Hauptstraße,living_street,,False,True,46.332,,"LINESTRING (9.5716218 49.9949537, 9.5717586 49.9949425, 9.5719933 49.9949177, 9.5722614 49.9948867)",,,,,
8352259,Grafen-von-Rieneck-Straße,residential,30,False,False,110.069,,"LINESTRING (9.5716218 49.9949537, 9.5716406 49.9949903, 9.5716486 49.9950048, 9.5717079 49.9951252, 9.571754 49.9952084, 9.5718645 49.9953813, 9.5719521 49.995517, 9.571957 49.9955237, 9.5719604 49.9955302, 9.5720401 49.9956554, 9.5721852 49.9958743)",,,,,
15790795,Alfred-Stumpf-Straße,residential,,False,True,121.355,,"LINESTRING (9.5716218 49.9949537, 9.5715914 49.9948916, 9.5715863 49.994882, 9.5714369 49.9946093, 9.5712653 49.9942954, 9.5712412 49.9942262, 9.5712385 49.9941386, 9.5712313 49.9939029)",,,,,
371955186,Ludwigstraße,residential,,False,True,85.538,,"LINESTRING (9.5716218 49.9949537, 9.5712973 49.9949865, 9.5708352 49.9950416, 9.5704505 49.9951076)",,,,,
15788627,Anlagestraße,residential,30,False,True,129.238,,"LINESTRING (9.5712313 49.9939029, 9.5713976 49.9939062, 9.5716873 49.9939119, 9.5722361 49.9938594, 9.5729241 49.9937936, 9.5730243 49.993784)",,,,,
15790795,Alfred-Stumpf-Straße,residential,,False,False,121.355,,"LINESTRING (9.5712313 49.9939029, 9.5712385 49.9941386, 9.5712412 49.9942262, 9.5712653 49.9942954, 9.5714369 49.9946093, 9.5715863 49.994882, 9.5715914 49.9948916, 9.5716218 49.9949537)",,,,,
