osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,lanes,width,junction
31358897,True,Teichstraße,residential,30,False,333.673,"LINESTRING (6.4254861 50.2079462, 6.4256584 50.2083183, 6.4256767 50.20839, 6.4257131 50.2085274, 6.4257616 50.2086794, 6.4259347 50.2092219, 6.4260464 50.2094798, 6.4261639 50.2097501, 6.426355 50.2099652, 6.4265138 50.2101094, 6.427128 50.2105488, 6.4272798 50.2106356)",,,,
33804594,False,Spiegelstraße,tertiary,50,True,81.737,"LINESTRING (6.4254861 50.2079462, 6.4252927 50.2079887, 6.4249932 50.2080323, 6.4243682 50.2081108)",K 164,,,
45082150,False,Ritzstraße,primary,30,False,33.877,"LINESTRING (6.4254861 50.2079462, 6.4255509 50.2079688, 6.4256146 50.2079776, 6.4257974 50.2079752, 6.4259513 50.2079688)",B 265,2,,
"[399646967, 363566159, 548398359]",False,Hahnstraße,primary,30,True,87.801,"LINESTRING (6.4254861 50.2079462, 6.4253144 50.2077585, 6.424991 50.2074575, 6.4247571 50.2073148)",B 265,"['2', '3']",,
45082150,False,Ritzstraße,primary,30,True,111.61,"LINESTRING (6.4274281 50.2076879, 6.4267645 50.2078945, 6.4264899 50.2079569, 6.4262596 50.2079643, 6.4259513 50.2079688)",B 265,2,,
548398388,True,Ritzstraße,primary_link,50,False,22.024,"LINESTRING (6.4274281 50.2076879, 6.427521 50.2076289, 6.4275411 50.2076143, 6.4275508 50.2076026, 6.4275786 50.2075692, 6.4276007 50.2075278)",B 265,1,,
"[767336690, 31410050]",False,Heldstraße,primary,50,True,157.877,"LINESTRING (6.4283732 50.205825, 6.428461 50.2062233, 6.4284881 50.2063408, 6.4285149 50.2064519, 6.4285313 50.2065969, 6.4285137 50.2066751, 6.4284803 50.206773, 6.42836 50.2069639, 6.4281798 50.2071924)",B 265,"['2', '3']",,
26495548,True,Unterbergstraße,residential,,False,18.254,"LINESTRING (6.4237401 50.2082654, 6.4234914 50.2083056)",,,,
33804594,False,Spiegelstraße,tertiary,50,False,48.272000000000006,"LINESTRING (6.4237401 50.2082654, 6.4240941 50.2081495, 6.4243682 50.2081108)",K 164,,,
"[734943981, 1110006791]",False,Oberbergstraße,tertiary,,True,170.892,"LINESTRING (6.4237401 50.2082654, 6.4237649 50.2083088, 6.4238935 50.2085343, 6.4240546 50.208962, 6.4241817 50.2092994, 6.4243357 50.2097524)",K 164,,,
"[45077026, 416701005]",True,Altenmarkt,residential,,False,96.466,"LINESTRING (6.4224363 50.2084034, 6.4223721 50.2083912, 6.4222477 50.2083596, 6.4220784 50.2082789, 6.4219316 50.2081883, 6.4218681 50.2081112, 6.4218388 50.2079756, 6.4217855 50.2077286)",,,,
930586578,False,Hahnstraße,primary,50,False,45.069,"LINESTRING (6.4217855 50.2077286, 6.4223739 50.2075787)",B 265,2,,
542956908,False,Tiergartenstraße,primary,50,True,94.298,"LINESTRING (6.4217855 50.2077286, 6.420781 50.207934, 6.4205205 50.2079807)",B 265,2,,
930586578,False,Hahnstraße,primary,50,True,1.15,"LINESTRING (6.4223886 50.2075744, 6.4223739 50.2075787)",B 265,2,,
27042601,True,Hillstraße,residential,30,False,43.694,"LINESTRING (6.4223886 50.2075744, 6.4223707 50.2075467, 6.422299 50.2074512, 6.4221651 50.2072726, 6.4221258 50.2072193)",,,,
45082391,False,Hahnstraße,primary,50,False,32.754,"LINESTRING (6.4223886 50.2075744, 6.4226575 50.2075044, 6.4228086 50.2074546)",B 265,2,,
27042601,True,Hillstraße,residential,30,False,141.05200000000002,"LINESTRING (6.4221258 50.2072193, 6.4220869 50.2071305, 6.4220663 50.2070368, 6.4220869 50.20614, 6.4220667 50.2060922, 6.4220371 50.2060541, 6.4219948 50.2060118, 6.4219586 50.2059762)",,,,
"[31358963, 1188426175]",False,Enggasse,residential,,False,288.53499999999997,"LINESTRING (6.4221258 50.2072193, 6.4220547 50.2072229, 6.4217635 50.2072375, 6.4214946 50.207238, 6.4212056 50.2072684, 6.4209555 50.2072981, 6.4203491 50.2073, 6.4197918 50.2072557, 6.4193382 50.2072004, 6.4190099 50.2071367, 6.4184269 50.2071165, 6.4182311 50.206956)",,,3,
38455111,False,Kreuzerweg,residential,,False,37.229,"LINESTRING (6.4219586 50.2059762, 6.4220718 50.2059235, 6.4222006 50.2057941, 6.4222357 50.2057051)",,,,
"[1188305386, 31358850]",False,Kalvarienbergstraße,residential,,False,190.27100000000002,"LINESTRING (6.4219586 50.2059762, 6.4215165 50.2060857, 6.4213921 50.206113, 6.4212656 50.2061407, 6.4210373 50.2061919, 6.4205329 50.2063137, 6.4200686 50.2064237, 6.4194592 50.2065829)",,2,,
38455111,False,Kreuzerweg,residential,,True,37.229,"LINESTRING (6.4222357 50.2057051, 6.4222006 50.2057941, 6.4220718 50.2059235, 6.4219586 50.2059762)",,,,
48738141,True,Fuhrweg,residential,,False,67.298,"LINESTRING (6.4222357 50.2057051, 6.4223446 50.2056927, 6.4225051 50.2057133, 6.4228426 50.2058996, 6.423021 50.205988)",,,,
548398379,False,Prümtalstraße,residential,,False,8.211,"LINESTRING (6.4276962 50.2078638, 6.427761 50.2078027)",,2,,
175887555,False,Prümtalstraße,unclassified,50,True,98.077,"LINESTRING (6.4276962 50.2078638, 6.4276662 50.2079134, 6.4276437 50.2079658, 6.4276209 50.2080688, 6.4276091 50.208158, 6.4276041 50.2083018, 6.4276332 50.2084542, 6.4276859 50.2085868, 6.4277635 50.2087249)",,2,,
175887570,True,Prümtalstraße,residential,30,False,32.105,"LINESTRING (6.4276962 50.2078638, 6.4276826 50.2078031, 6.4276689 50.2077658, 6.427649 50.2077426, 6.4276256 50.2077237, 6.4275977 50.2077056, 6.4275658 50.2076944, 6.427529 50.2076855, 6.4274948 50.207686, 6.4274281 50.2076879)",,1,,
455760029,True,Ritzstraße,primary,50,False,6.925999999999999,"LINESTRING (6.4278184 50.2075444, 6.4278031 50.2075521, 6.4277863 50.2075584, 6.4277684 50.2075633, 6.4277496 50.2075665, 6.4277303 50.2075682)",B 265,1,,roundabout
548398381,True,Prümtalstraße,residential,,False,30.0,"LINESTRING (6.4278184 50.2075444, 6.4278328 50.2076194, 6.4278332 50.2076375, 6.4278341 50.2076787, 6.4278234 50.2077319, 6.427761 50.2078027)",,1,,
930586579,False,Kalvarienbergstraße 1,residential,,False,65.41,"LINESTRING (6.4194592 50.2065829, 6.4186146 50.2068149)",,2,,
"[1188305386, 31358850]",False,Kalvarienbergstraße,residential,,True,190.27100000000002,"LINESTRING (6.4194592 50.2065829, 6.4200686 50.2064237, 6.4205329 50.2063137, 6.4210373 50.2061919, 6.4212656 50.2061407, 6.4213921 50.206113, 6.4215165 50.2060857, 6.4219586 50.2059762)",,2,,
