osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,junction,bridge,access
"[206903427, 206903428, 1075600612, 1077477726]","['2', '3']",L 30,Brückenstraße,secondary,50,False,True,273.782,"LINESTRING (13.6288613 52.2984911, 13.6289344 52.2985452, 13.6289587 52.2985627, 13.628994 52.2985881, 13.6290526 52.2986284, 13.6291167 52.2986693, 13.6293123 52.298791, 13.6297473 52.2990616, 13.6299203 52.2991767, 13.6300539 52.2992852, 13.6301206 52.2993587, 13.6301734 52.2994462, 13.6302448 52.2995723, 13.6302921 52.2996699, 13.6303226 52.2997659, 13.6303302 52.2998212, 13.6303256 52.3000105, 13.6303301 52.3001489, 13.6303497 52.300638)",,,,
"[1078153497, 111605094]",3,L 40,Gerichtsstraße,secondary,50,False,True,108.666,"LINESTRING (13.6288613 52.2984911, 13.6287157 52.2985617, 13.6286797 52.2985774, 13.6286446 52.2985929, 13.6285795 52.2986215, 13.6282498 52.2987666, 13.6278914 52.2989193, 13.6277064 52.2989841, 13.6275412 52.2990394)",,,,
311298673,1,L 40,,secondary,50,True,False,23.883000000000003,"LINESTRING (13.6305576 52.2979086, 13.6305421 52.2978794, 13.6305396 52.2978487, 13.6305506 52.2978189, 13.6305742 52.2977918, 13.6306087 52.2977695, 13.6306515 52.2977535, 13.6306998 52.2977451)",7,roundabout,,
"[23446562, 23446563, 1056403492, 1078278535, 107560872, 876057375]","['2', '1']",L 40,Gerichtsstraße,secondary,50,True,False,132.965,"LINESTRING (13.6305576 52.2979086, 13.6304652 52.2979338, 13.6304491 52.2979378, 13.6303474 52.2979669, 13.6301823 52.2980112, 13.6298825 52.2980945, 13.629671 52.2981522, 13.6295474 52.2981927, 13.6292968 52.2982865, 13.6291152 52.2983686, 13.6290621 52.2983931, 13.6290195 52.2984152, 13.6288613 52.2984911)",7.6,,yes,
8042963,,,Eichenallee,residential,50,False,False,181.92000000000002,"LINESTRING (13.624742 52.2959475, 13.6248763 52.2959636, 13.6249875 52.295977, 13.6250942 52.2959638, 13.6252782 52.295941, 13.6258812 52.2958492, 13.625913 52.2958442, 13.6259642 52.2958362, 13.6264388 52.2957618, 13.626741 52.2957171, 13.6267537 52.2957146, 13.6267795 52.2957098, 13.6271701 52.2956379, 13.6273346 52.2956069)",,,,
"[23054176, 23054178, 1064850760, 360414687, 4057583, 1070256721, 23054175]",2,,"['Schloßstraße', 'Cottbuser Straße']",secondary,50,False,True,241.41699999999997,"LINESTRING (13.624742 52.2959475, 13.6246764 52.2961244, 13.6245753 52.2964206, 13.6245483 52.2965235, 13.6245248 52.2966153, 13.6245101 52.2967055, 13.6245084 52.296728, 13.6245087 52.2968095, 13.6245558 52.2970393, 13.6246177 52.2972761, 13.6246541 52.2974217, 13.6246903 52.2976582, 13.6247006 52.2977776, 13.6246982 52.2978049, 13.624684 52.2978476, 13.6246628 52.2978774, 13.6245883 52.2979652, 13.6245015 52.2980697)",7.1,,yes,
"[27590661, 208123342]",,,Karl-Marx-Straße,residential,20,False,True,107.72800000000001,"LINESTRING (13.6276339 52.2965581, 13.6276232 52.2965283, 13.6275578 52.2962806, 13.6275356 52.2962145, 13.6274445 52.2959409, 13.627372 52.2957243, 13.6273653 52.2957045, 13.6273547 52.2956728, 13.6273444 52.295641, 13.6273346 52.2956069)",,,,
"[1070256715, 6217420]",,,Bahnhofstraße,residential,20,False,True,194.28599999999997,"LINESTRING (13.6276339 52.2965581, 13.627123 52.2964682, 13.6267836 52.2964589, 13.6266601 52.296461, 13.6262733 52.2964709, 13.6257366 52.2964813, 13.6254208 52.29649, 13.6247992 52.2965001)",,,,
27466497,,,Bahnhofstraße,residential,20,True,False,109.72300000000001,"LINESTRING (13.6292312 52.2966246, 13.6285116 52.2966203, 13.6284649 52.2966202, 13.6284129 52.2966201, 13.6283426 52.29662, 13.6278663 52.2966116, 13.6276854 52.2965706, 13.6276339 52.2965581)",,,,
"[27590664, 208123339, 1050947421]",,,Friedrich-Engels-Straße,residential,20,False,True,154.19599999999997,"LINESTRING (13.6292312 52.2966246, 13.6292231 52.2965827, 13.6290723 52.2960116, 13.629013 52.2958373, 13.6289748 52.295711, 13.6288621 52.2953592, 13.6288555 52.2953274, 13.6288542 52.2953139, 13.6288492 52.2952938, 13.6288303 52.2952606)",,,,
