osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,maxspeed,bridge,tunnel
30784443,True,L 175,Berneckstraße,secondary,False,55.266,"LINESTRING (8.3847763 48.2232874, 8.3848873 48.223244, 8.3849621 48.2232076, 8.3850791 48.2231133, 8.3852771 48.2229283)",,,,
"[155065843, 27704940]",True,,Am Mühlegraben,residential,False,69.106,"LINESTRING (8.3847763 48.2232874, 8.3848996 48.2233813, 8.3851985 48.2236873, 8.3852517 48.2237417, 8.3852794 48.2238058)",,,,
"[14191896, 1013029174]",False,,Weihergasse,secondary,False,131.97,"LINESTRING (8.3852771 48.2229283, 8.3853515 48.2229593, 8.3854631 48.222984, 8.3856081 48.2230051, 8.3861326 48.2230729, 8.3861968 48.223083, 8.3866081 48.2231193, 8.3870164 48.2231584)","['2', '3']",50,,
"[114200025, 114200014]",False,L 108,Leibbrandstraße,secondary,False,17.676,"LINESTRING (8.3852771 48.2229283, 8.3851924 48.2228978, 8.3850731 48.2228461)",,50,yes,
114200022,True,L 175,Berneckstraße,secondary,False,205.328,"LINESTRING (8.3852771 48.2229283, 8.3858607 48.2223315, 8.386207 48.2219712, 8.3866472 48.2215534, 8.3868066 48.2213887)",,50,,
14191902,True,B 462,Oberndorfer Straße,primary,False,38.147999999999996,"LINESTRING (8.3868557 48.2285145, 8.3869313 48.2285465, 8.3870565 48.2286108, 8.3871602 48.2286727, 8.3872543 48.2287306)",2,50,,
1119541838,True,L 175,Schillerstraße,secondary,False,29.537,"LINESTRING (8.3870164 48.2231584, 8.3869911 48.2234235)",1,50,,
"[14191896, 1013029174]",False,,Weihergasse,secondary,True,131.97,"LINESTRING (8.3870164 48.2231584, 8.3866081 48.2231193, 8.3861968 48.223083, 8.3861326 48.2230729, 8.3856081 48.2230051, 8.3854631 48.222984, 8.3853515 48.2229593, 8.3852771 48.2229283)","['2', '3']",50,,
"[39442443, 39442444, 23725302, 1013029175, 4798809]",True,L 175,"['Schlossbergtunnel', 'Geißhaldenstraße']",secondary,False,608.991,"LINESTRING (8.3844732 48.2281714, 8.3843012 48.2281041, 8.3840711 48.228035, 8.383945 48.2279998, 8.3836299 48.2279012, 8.3834671 48.2278422, 8.3832265 48.2277384, 8.383118 48.2276778, 8.3829826 48.2276109, 8.3828505 48.2275423, 8.3827288 48.2274543, 8.3826259 48.2273544, 8.3825218 48.227129, 8.3824648 48.2269913, 8.3824136 48.2268521, 8.3823598 48.2267031, 8.3823091 48.2264652, 8.3823394 48.2261794, 8.3824451 48.2257799, 8.3826076 48.2253489, 8.3828955 48.2246064, 8.3831663 48.2240825, 8.3833002 48.2238803, 8.3833635 48.2237847, 8.3834657 48.2236716, 8.3835152 48.22362, 8.3836157 48.2235636)",2,50,yes,yes
46844040,False,,Hauptstraße,residential,False,42.001000000000005,"LINESTRING (8.3844732 48.2281714, 8.3844352 48.2281231, 8.3844067 48.2280708, 8.3843813 48.2279444, 8.3844186 48.2278066)",,,,
