osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,ref,access,junction
"[31548354, 8583133]",Hospitalstraße,residential,30,False,False,145.307,"LINESTRING (13.7270331 51.2104765, 13.7267321 51.2105058, 13.7252949 51.2104958, 13.7250559 51.2105173, 13.7250083 51.2105274, 13.7249619 51.2105426)",,,,
"[452780576, 23373377, 1186934913, 24517180]",Bahnhofstraße,unclassified,50,False,"[False, True]",42.28999999999999,"LINESTRING (13.7270331 51.2104765, 13.7270515 51.2105885, 13.7270645 51.2106304, 13.7271137 51.21079, 13.7271219 51.2108147, 13.7271339 51.2108512)",yes,,,
"[886548453, 25827737, 25739317]",Hospitalstraße,residential,30,False,False,532.5260000000001,"LINESTRING (13.7249619 51.2105426, 13.7242614 51.2108009, 13.7239833 51.210959, 13.7236664 51.211125, 13.7235567 51.2111825, 13.7234961 51.2112321, 13.7233496 51.2113521, 13.7227585 51.2119471, 13.722589 51.2121091, 13.722364 51.2122896, 13.7222021 51.2123941, 13.722121 51.2124465, 13.7220365 51.2125269, 13.7219272 51.2126466, 13.721864 51.2127271, 13.721764 51.212829, 13.7215449 51.2129702, 13.7214969 51.2130018, 13.7213084 51.2130626, 13.7212478 51.2130822, 13.7208547 51.2132224, 13.7204853 51.2134033, 13.7204021 51.2134967, 13.7203618 51.2136187, 13.7203961 51.2137176, 13.7204776 51.2138314, 13.7205156 51.213912, 13.7205125 51.2139916, 13.7204434 51.2140622)",,,,
"[31548354, 8583133]",Hospitalstraße,residential,30,False,True,145.307,"LINESTRING (13.7249619 51.2105426, 13.7250083 51.2105274, 13.7250559 51.2105173, 13.7252949 51.2104958, 13.7267321 51.2105058, 13.7270331 51.2104765)",,,,
24517067,Am Meißner Berg,secondary,50,False,False,10.435,"LINESTRING (13.7204434 51.2140622, 13.7205204 51.2141427)",,S 100,,
"[25827737, 25739317, 886548453]",Hospitalstraße,residential,30,False,True,532.526,"LINESTRING (13.7204434 51.2140622, 13.7205125 51.2139916, 13.7205156 51.213912, 13.7204776 51.2138314, 13.7203961 51.2137176, 13.7203618 51.2136187, 13.7204021 51.2134967, 13.7204853 51.2134033, 13.7208547 51.2132224, 13.7212478 51.2130822, 13.7213084 51.2130626, 13.7214969 51.2130018, 13.7215449 51.2129702, 13.721764 51.212829, 13.721864 51.2127271, 13.7219272 51.2126466, 13.7220365 51.2125269, 13.722121 51.2124465, 13.7222021 51.2123941, 13.722364 51.2122896, 13.722589 51.2121091, 13.7227585 51.2119471, 13.7233496 51.2113521, 13.7234961 51.2112321, 13.7235567 51.2111825, 13.7236664 51.211125, 13.7239833 51.210959, 13.7242614 51.2108009, 13.7249619 51.2105426)",,,,
10969305,Am Meißner Berg,residential,,False,True,55.835,"LINESTRING (13.7208216 51.2145215, 13.7206594 51.2145116, 13.7205166 51.2145362, 13.7203039 51.2145909, 13.7200628 51.2146529)",,,,
"[886548445, 24517181, 24517069, 24517182]",Meißner Straße,residential,,False,False,101.955,"LINESTRING (13.7208216 51.2145215, 13.7210747 51.2145431, 13.7211625 51.2145462, 13.7215082 51.2145449, 13.7215906 51.2145437, 13.7219232 51.2145207, 13.722208 51.2145065, 13.7222797 51.2145029)",yes,,,
"[55819812, 55819805, 836242014, 47431991]",Am Busbahnhof,secondary,50,False,False,336.56399999999996,"LINESTRING (13.7208216 51.2145215, 13.7208265 51.2145754, 13.7208146 51.2146561, 13.7207851 51.2146937, 13.7206774 51.2148603, 13.7204716 51.2151379, 13.7203523 51.2152728, 13.7201987 51.2154343, 13.7201778 51.2154573, 13.7200458 51.2156023, 13.7199344 51.2157248, 13.7197628 51.215917, 13.7195227 51.2161859, 13.7193092 51.2165539, 13.719139 51.216899, 13.7190907 51.2173043)",,S 100,,
"[24517067, 836242015]",Am Meißner Berg,secondary,50,False,True,47.44199999999999,"LINESTRING (13.7208216 51.2145215, 13.720789 51.2144303, 13.7205204 51.2141427)",,S 100,,
