osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,junction,bridge,width
10270056,False,2,L 1081,Altenburger Straße,secondary,False,75.32900000000001,"LINESTRING (12.1848303 50.863249, 12.1847076 50.8632594, 12.1845839 50.8632609, 12.1843501 50.8632387, 12.183766 50.8631891)",,,,
157768241,False,2,L 1081,Friedrichstraße,secondary,False,70.439,"LINESTRING (12.1848303 50.863249, 12.1849072 50.8631876, 12.1849736 50.8631194, 12.1850318 50.8630292, 12.1850948 50.8629026, 12.1851472 50.8628024, 12.1851926 50.8627329, 12.1852514 50.8626803)",50,,,
23442128,False,2,L 1081,August-Bebel-Straße,secondary,False,11.767,"LINESTRING (12.1805806 50.8630426, 12.1805696 50.8630946, 12.180578 50.8631477)",,,,
180171535,True,,,Herrengasse,residential,False,110.702,"LINESTRING (12.1805806 50.8630426, 12.1804902 50.8630306, 12.1804157 50.8630131, 12.1803425 50.8629769, 12.1794535 50.8623675)",,,,
292600942,False,3,L 1081,Markt,secondary,True,26.326999999999998,"LINESTRING (12.1805806 50.8630426, 12.1806002 50.8630029, 12.180626 50.8629655, 12.1806682 50.8629299, 12.180733 50.8628949, 12.1808124 50.8628697)",,,,
25781349,True,1,L 1081,Paitzdorfer Straße,secondary,False,74.248,"LINESTRING (12.1852514 50.8626803, 12.185329 50.8626208, 12.1854283 50.8625722, 12.1856923 50.8624638, 12.1857778 50.8624355, 12.186014 50.8623573, 12.1861425 50.8623384)",,,,
157768241,False,2,L 1081,Friedrichstraße,secondary,True,70.43900000000001,"LINESTRING (12.1852514 50.8626803, 12.1851926 50.8627329, 12.1851472 50.8628024, 12.1850948 50.8629026, 12.1850318 50.8630292, 12.1849736 50.8631194, 12.1849072 50.8631876, 12.1848303 50.863249)",50,,,
248921355,False,2,,Friedrichstraße,tertiary,True,34.834,"LINESTRING (12.1852514 50.8626803, 12.1852256 50.8626195, 12.1852013 50.8625134, 12.1851652 50.8623721)",50,,,
14124326,True,1,,,secondary,False,12.244,"LINESTRING (12.1787313 50.8660034, 12.1787307 50.8659614, 12.1787514 50.8659214, 12.178776 50.8659005)",50,roundabout,,
17943561,True,,,Schloßstraße,residential,False,109.727,"LINESTRING (12.1784301 50.8614969, 12.1794052 50.8621628, 12.179523 50.8621924)",,,,
