osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,est_width
22997320,2,B 8,Hindenburgring West,primary,50,False,True,38.949999999999996,"LINESTRING (10.15549 49.737105, 10.155398 49.7371646, 10.1553246 49.7372245, 10.1552499 49.7373178, 10.1551968 49.737379, 10.1551834 49.7373906)",
"[297781337, 32203793, 297781339]",,B 8,Hindenburgring West,primary,50,False,False,200.32299999999998,"LINESTRING (10.15549 49.737105, 10.1555975 49.7370563, 10.1557254 49.737013, 10.1558808 49.7369737, 10.1564941 49.7368711, 10.1566825 49.7368349, 10.1570456 49.7367653, 10.1573687 49.7367006, 10.1575505 49.7366574, 10.1578152 49.7365834, 10.1580967 49.7364909)",
999952236,2,St 2272,Friedenstraße,tertiary,50,False,False,90.716,"LINESTRING (10.15549 49.737105, 10.155407 49.737036, 10.1553713 49.7369935, 10.1553456 49.7369301, 10.1553338 49.7368214, 10.1553126 49.7367494, 10.1552779 49.7366567, 10.1552352 49.7365707, 10.1550623 49.7363509)",
297781331,,B 8,Hindenburgring West,primary,50,False,True,38.263,"LINESTRING (10.1591032 49.7360534, 10.1586595 49.7362436)",
"[24879299, 297781316]",3,,Hindenburgring Süd,primary,50,False,False,162.99,"LINESTRING (10.1591032 49.7360534, 10.1593301 49.735971, 10.1594992 49.7359136, 10.1599621 49.7358014, 10.1605117 49.7357015, 10.1612389 49.7355793)",
25232562,,St 2270,Falterstraße,tertiary,50,False,True,27.763,"LINESTRING (10.1591032 49.7360534, 10.159189 49.7361661, 10.1592445 49.7362385, 10.1592845 49.7362732)",
"[818002977, 818002978]",,St 2270,Friedrich-Ebert-Straße,tertiary,50,False,False,99.938,"LINESTRING (10.1591032 49.7360534, 10.1591182 49.7354809, 10.1591184 49.7352111, 10.159107 49.7351552)",
25232628,,,Wörthstraße,residential,,False,True,83.522,"LINESTRING (10.161713 49.7355176, 10.162119 49.7348138)",
297781316,3,,Hindenburgring Süd,primary,50,False,True,21.393,"LINESTRING (10.161713 49.7355176, 10.1614211 49.7355553)",
25232646,,,Am Stadtgraben,residential,,False,True,32.855000000000004,"LINESTRING (10.161713 49.7355176, 10.1617422 49.7356888, 10.1617558 49.7357582, 10.1617744 49.7358101)",
"[297781314, 297781315]",3,,Hindenburgring Süd,primary,50,False,False,125.853,"LINESTRING (10.161713 49.7355176, 10.1626449 49.7353787, 10.1629393 49.7353375, 10.1631131 49.7353157, 10.1632533 49.7352985, 10.1634235 49.7352756)",
24780057,,,Krainberg,residential,,False,False,6.586,"LINESTRING (10.1584283 49.7377059, 10.158413 49.7376475)",
25203410,,,Würzburger Straße,residential,30,False,False,46.449,"LINESTRING (10.1584283 49.7377059, 10.1582936 49.7377311, 10.157806 49.7378188)",
643339632,,,Kaiserstraße,residential,50,False,True,99.554,"LINESTRING (10.1584283 49.7377059, 10.1585206 49.7376988, 10.1585886 49.7377041, 10.1586845 49.7377233, 10.1588429 49.7377671, 10.1592917 49.7379357, 10.1595622 49.7380117, 10.1596875 49.7380477)",
25203410,,,Würzburger Straße,residential,30,False,True,56.556,"LINESTRING (10.1558426 49.7377567, 10.1566295 49.737764)",
25203410,,,Würzburger Straße,residential,30,False,False,55.983,"LINESTRING (10.1558426 49.7377567, 10.1553888 49.7377907, 10.1551922 49.7377973, 10.1550688 49.7377832)",
25232564,,,Lindenstraße,residential,50,False,False,60.190999999999995,"LINESTRING (10.1558426 49.7377567, 10.1558066 49.737635, 10.1557776 49.7375163, 10.1557639 49.7374383, 10.1557675 49.7373942, 10.1557962 49.7373516, 10.1559091 49.7372463)",
"[297781340, 22997319]","['2', '1']",B 8,,primary,50,True,False,39.144,"LINESTRING (10.1551834 49.7373906, 10.1551346 49.7374926, 10.155055 49.7375785, 10.154983 49.7376305, 10.154893 49.7376784)",
22997320,2,B 8,Hindenburgring West,primary,50,False,False,38.95,"LINESTRING (10.1551834 49.7373906, 10.1551968 49.737379, 10.1552499 49.7373178, 10.1553246 49.7372245, 10.155398 49.7371646, 10.15549 49.737105)",
25232535,2,St 2270,Friedrich-Ebert-Straße,tertiary,50,False,True,133.316,"LINESTRING (10.1581244 49.7341502, 10.1581467 49.7342066, 10.1581761 49.7342757, 10.1582266 49.7343466, 10.1590186 49.7350389, 10.1590739 49.7350996, 10.159107 49.7351552)",
25232626,,St 2270,Innere Sulzfelder Straße,tertiary,,False,False,110.162,"LINESTRING (10.1581244 49.7341502, 10.1581093 49.7340837, 10.1581542 49.7337528, 10.1581701 49.7334203, 10.158156 49.7331618)",
25792866,,,Bismarckstraße,residential,30,False,True,33.01,"LINESTRING (10.1581244 49.7341502, 10.1582326 49.7341791, 10.1584321 49.7342139, 10.1585655 49.7342296)",
36952651,,,Friedrich-Ebert-Straße,residential,50,False,False,227.097,"LINESTRING (10.1581244 49.7341502, 10.1579894 49.7341087, 10.1578782 49.734027, 10.1576884 49.7338636, 10.1567872 49.7330878, 10.1567266 49.733034, 10.1563619 49.7327101, 10.1563015 49.7326699, 10.1562449 49.7326321, 10.1561823 49.7326059, 10.1561295 49.7325882)",
25792865,,,Paul-Eber-Straße,residential,30,False,True,44.448,"LINESTRING (10.158156 49.7331618, 10.1587744 49.7331567)",
25232626,,St 2270,Innere Sulzfelder Straße,tertiary,,False,False,195.477,"LINESTRING (10.158156 49.7331618, 10.1580865 49.7328106, 10.1580211 49.7326449, 10.157952 49.7324588, 10.157861 49.7322575, 10.157778 49.7320739, 10.1577668 49.7320457, 10.1576431 49.7317344, 10.1575546 49.7314501)",
25232626,,St 2270,Innere Sulzfelder Straße,tertiary,,False,True,110.16200000000002,"LINESTRING (10.158156 49.7331618, 10.1581701 49.7334203, 10.1581542 49.7337528, 10.1581093 49.7340837, 10.1581244 49.7341502)",
"[25232592, 666657570]",,,"['Bernbeckplatz', 'Thomas-Ehemann-Straße']",residential,30,False,False,210.378,"LINESTRING (10.1570236 49.7300042, 10.1574611 49.7299515, 10.1579026 49.7299758, 10.1585911 49.7300283, 10.1596212 49.7300822, 10.1599333 49.7300842)",
"[1105985202, 762500406]",,St 2270,Innere Sulzfelder Straße,tertiary,,False,False,82.542,"LINESTRING (10.1570236 49.7300042, 10.1569758 49.7299034, 10.1569119 49.7298231, 10.1568611 49.7297776, 10.1568299 49.7297647, 10.1564286 49.7296482, 10.1562015 49.7295403)",
1105985202,,St 2270,Innere Sulzfelder Straße,tertiary,,False,True,165.267,"LINESTRING (10.1570236 49.7300042, 10.157083 49.7301622, 10.157203 49.7305298, 10.1574585 49.7311814, 10.1575546 49.7314501)",
"[378410945, 378410942, 378410943]","['2', '3']",,Westtangente,secondary,60,False,True,313.05,"LINESTRING (10.1562015 49.7295403, 10.1560712 49.7297337, 10.1556737 49.7303975, 10.1551599 49.7313749, 10.1549585 49.7317394, 10.1547456 49.7321922)",
"[1105985202, 762500406]",,St 2270,Innere Sulzfelder Straße,tertiary,,False,True,82.54199999999999,"LINESTRING (10.1562015 49.7295403, 10.1564286 49.7296482, 10.1568299 49.7297647, 10.1568611 49.7297776, 10.1569119 49.7298231, 10.1569758 49.7299034, 10.1570236 49.7300042)",
26219793,,,Ritterstraße,residential,,True,False,94.76599999999999,"LINESTRING (10.1631303 49.737494, 10.1631887 49.7374826, 10.1632544 49.7374796, 10.1633296 49.7374819, 10.1640311 49.7375782, 10.1642567 49.7376056, 10.1644237 49.7376256)",
"[25232580, 36952455]",,,Ritterstraße,residential,30,False,"[False, True]",180.123,"LINESTRING (10.1631303 49.737494, 10.1630789 49.7375029, 10.1630124 49.7375051, 10.1629328 49.7374976, 10.162497 49.7374508, 10.1623465 49.7374301, 10.1620806 49.7373736, 10.1618847 49.7373233, 10.1618164 49.7373001, 10.1617633 49.7372661, 10.1614789 49.7370978, 10.1610743 49.7368514, 10.1609732 49.7368024)",
25232577,,,Schrannenstraße,residential,,False,False,7.29,"LINESTRING (10.1644064 49.7376902, 10.1644237 49.7376256)",
25791039,,,Unterer Mainkai,residential,,False,False,46.88,"LINESTRING (10.1644064 49.7376902, 10.1650502 49.7377582)",
297781337,,B 8,Hindenburgring West,primary,50,False,False,48.909,"LINESTRING (10.1580967 49.7364909, 10.1586595 49.7362436)",
