osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,ref,junction,access,tunnel
"[73079084, 847551695]",3,Lünener Straße,tertiary,50,False,False,105.952,"LINESTRING (7.6545906 51.5921566, 7.655239 51.5920566, 7.6555696 51.5919842, 7.6560571 51.5918808)",,,,,
62113911,2,Koppelstraße,tertiary,50,False,True,3.626,"LINESTRING (7.6575383 51.5900276, 7.6575225 51.5900587)",,,,,
25065026,,Bollwerk,residential,30,False,False,182.86900000000003,"LINESTRING (7.6575383 51.5900276, 7.6576162 51.590059, 7.6576395 51.5900684, 7.6581018 51.5902545, 7.658342 51.5903324, 7.6593283 51.5906101, 7.6593626 51.5906794, 7.6592529 51.5909857)",,,,,
"[673882155, 32446410, 32446411, 847551701]",2,Koppelstraße,tertiary,50,False,False,76.77,"LINESTRING (7.6575383 51.5900276, 7.6576821 51.5898115, 7.6576878 51.5898033, 7.6577224 51.5897559, 7.6577345 51.5897384, 7.6578288 51.5896095, 7.6578546 51.5895763, 7.6579299 51.5894888, 7.6580049 51.5894016)",yes,,,,
25051694,,Am Koppelteich,living_street,,False,False,192.189,"LINESTRING (7.6587155 51.5887991, 7.6585877 51.5887282, 7.6581411 51.5884807, 7.6576873 51.588219, 7.6573653 51.5880379, 7.6566771 51.5876233)",,,,,
217392076,3,Koppelstraße,tertiary,50,False,False,54.694,"LINESTRING (7.6587155 51.5887991, 7.6588732 51.5886845, 7.6592299 51.5884252)",,,,,
"[779092035, 217392076]","['2', '3']",Koppelstraße,tertiary,50,False,True,65.97399999999999,"LINESTRING (7.6587155 51.5887991, 7.658467 51.5889799, 7.6583079 51.5891004, 7.6581331 51.589268)",,,,,
62114222,,Nordstraße,tertiary,30,False,False,39.398,"LINESTRING (7.6643842 51.5951955, 7.6644556 51.5949549, 7.664495 51.594848)",,,,,
146386733,,Ängelholmer Straße,residential,30,False,False,128.691,"LINESTRING (7.6643842 51.5951955, 7.664805 51.5955476, 7.6654801 51.5961314)",,,,,
1053404608,,Westenmauer,tertiary,30,False,False,6.089,"LINESTRING (7.656631 51.5920618, 7.6566446 51.5921159)",,,,,
