osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,bridge,access
159000107,K 7178,Bahnhofstraße,tertiary,50,False,True,62.658,"LINESTRING (8.9695246 48.3562499, 8.9696909 48.3561367, 8.9700168 48.3559147, 8.9701207 48.3558492)",,,,
625265913,K 7178,Bahnhofstraße,tertiary,50,False,False,53.229,"LINESTRING (8.9695246 48.3562499, 8.969387 48.3563563, 8.9693069 48.3564195, 8.9691989 48.3565019, 8.9691171 48.3565737, 8.9690658 48.3566187)",2,,,
"[155263049, 625265915]",,Herrenackerstraße,residential,30,False,True,263.18600000000004,"LINESTRING (8.9695246 48.3562499, 8.9690717 48.355965, 8.9685082 48.3556301, 8.9676215 48.3550886, 8.9675127 48.3550261, 8.9672448 48.3549507, 8.9667309 48.3548338)",,,,
"[155263049, 625265915]",,Herrenackerstraße,residential,30,False,False,263.18600000000004,"LINESTRING (8.9667309 48.3548338, 8.9672448 48.3549507, 8.9675127 48.3550261, 8.9676215 48.3550886, 8.9685082 48.3556301, 8.9690717 48.355965, 8.9695246 48.3562499)",,,,
200980214,,Stutenhofstraße,residential,,True,False,110.149,"LINESTRING (8.9667309 48.3548338, 8.9666787 48.3549028, 8.966666 48.3549759, 8.9665205 48.3558101)",,,,
"[625265921, 625265850, 154256452, 870391151]",K 7109,Obertorplatz,tertiary,20,False,False,111.04599999999999,"LINESTRING (8.962777 48.3500724, 8.9627425 48.3502389, 8.9627399 48.3503641, 8.9627508 48.3505131, 8.9627393 48.3506926, 8.9627302 48.3507471, 8.9627182 48.3507974, 8.9627128 48.35082, 8.9626707 48.3509544, 8.962646 48.3510196, 8.9626354 48.3510624)",,7,,
"[154256444, 1028102406]",K 7109,Heiligkreuzstraße,tertiary,"['20', '50']",False,True,89.06400000000001,"LINESTRING (8.962777 48.3500724, 8.9629729 48.3500711, 8.9630208 48.3500574, 8.9630815 48.3500292, 8.9631039 48.3500045, 8.963144 48.3499143, 8.9631958 48.3498004, 8.9632436 48.3497203, 8.9632965 48.349671, 8.9634063 48.3496155, 8.9635587 48.3495822)",,,,
866033814,,Schloßstraße,residential,,True,False,79.743,"LINESTRING (8.9633235 48.3526914, 8.9633276 48.3529057, 8.9633739 48.3530702, 8.9634547 48.3532192, 8.9635825 48.3533746)",,,,
27410504,,Schloßplatz,residential,,False,False,50.405,"LINESTRING (8.9635825 48.3533746, 8.9636389 48.3534572, 8.9638686 48.3537861)",,,,
"[866033810, 155313011]",,Kanzleistraße,residential,,False,False,56.563,"LINESTRING (8.9635825 48.3533746, 8.9637657 48.3533095, 8.9642575 48.3531347)",,,,
155313034,,Schloßplatz,residential,,False,False,61.985,"LINESTRING (8.9635825 48.3533746, 8.9633646 48.353424, 8.9631701 48.3534373, 8.9630231 48.3534518, 8.9629186 48.3534776, 8.9627906 48.3535333)",,,,
"[159000105, 155313019]",,Marktstraße,residential,,True,False,55.278000000000006,"LINESTRING (8.9640003 48.3524826, 8.9638813 48.352524, 8.96363 48.352616, 8.9633235 48.3526914)",,,,
"[159000144, 27410638]",,"['Synagogenstraße', 'Marktplatz']",residential,20,True,False,15.767,"LINESTRING (8.9640003 48.3524826, 8.9640743 48.3525685, 8.9641385 48.3525721)",,,,
"[27417792, 27417756, 47110439, 866033815]",K 7107,Neustraße,tertiary,50,False,True,76.809,"LINESTRING (8.9631847 48.3557474, 8.9631635 48.3556983, 8.9631417 48.3556603, 8.9630215 48.3554894, 8.9628921 48.3553043, 8.9627611 48.3551173)",,,yes,
155263050,,Hospitalstraße,residential,30,False,False,68.227,"LINESTRING (8.9631847 48.3557474, 8.9633721 48.355751, 8.9635707 48.3557206, 8.9637693 48.3556901, 8.9639148 48.3556652, 8.9640844 48.3556293)",,,,
217830750,,Obere Mühlstraße,residential,,False,False,32.532,"LINESTRING (8.9660096 48.3537586, 8.9661968 48.3536848, 8.9664087 48.3536395)",,,,
217830750,,Obere Mühlstraße,residential,,False,True,78.85,"LINESTRING (8.9660096 48.3537586, 8.9659121 48.3539176, 8.9658368 48.3540014, 8.9657851 48.3540363, 8.965478 48.3542028, 8.9653616 48.3543041)",,,,
"[221378986, 849280807]",,Obere Mühlstraße,residential,,False,False,59.81,"LINESTRING (8.9660096 48.3537586, 8.9659085 48.3537234, 8.9657624 48.3536859, 8.9656094 48.3536825, 8.9654985 48.3537014, 8.9654055 48.3537172, 8.9652393 48.3537538)",,,,
26839275,,Staig,residential,,False,True,15.353,"LINESTRING (8.9664087 48.3536395, 8.9664454 48.3537754)",,,,
217830750,,Obere Mühlstraße,residential,,False,True,32.532,"LINESTRING (8.9664087 48.3536395, 8.9661968 48.3536848, 8.9660096 48.3537586)",,,,
217830751,,Staig,residential,,False,False,45.893,"LINESTRING (8.9664087 48.3536395, 8.9663095 48.3534257, 8.9661865 48.3532553)",,,,
30968890,,Herrenackerstraße,residential,30,True,False,29.84,"LINESTRING (8.9667225 48.3545655, 8.9667309 48.3548338)",,,,
155263048,,Gutleuthausstraße,residential,,False,False,136.393,"LINESTRING (8.9667225 48.3545655, 8.9668936 48.3545362, 8.9671396 48.3545377, 8.9675304 48.3545911, 8.9678326 48.35465, 8.9684199 48.3548283, 8.9684833 48.3548312)",,,,
"[155263065, 155263067, 26839275]",,Staig,residential,,False,False,91.114,"LINESTRING (8.9667225 48.3545655, 8.9667402 48.3544532, 8.9666931 48.354289, 8.9666729 48.3542467, 8.9666661 48.3542326, 8.9666458 48.3541899, 8.9664454 48.3537754)",,,yes,
"[866033816, 625265917]",,Hospitalstraße,residential,30,False,True,66.743,"LINESTRING (8.9667225 48.3545655, 8.966551 48.3545963, 8.9661346 48.3547003, 8.9658717 48.3547658)",,,,
200980214,,Stutenhofstraße,residential,,True,False,64.175,"LINESTRING (8.9665205 48.3558101, 8.9665502 48.3563869)",,,,
27357232,,Siebergasse,residential,,False,False,148.64600000000002,"LINESTRING (8.9665205 48.3558101, 8.9670565 48.3558242, 8.968163 48.3560722, 8.9684577 48.3561307)",,,,
907565730,,Löwenstraße,residential,,False,False,50.579,"LINESTRING (8.9665502 48.3563869, 8.9658657 48.3563916)",,,,
"[27624112, 27624110, 154250711]",K 7108,Schadenweilerstraße,tertiary,50,False,"[False, True]",174.459,"LINESTRING (8.9700903 48.3535814, 8.9697936 48.3540854, 8.9696997 48.3541816, 8.9695344 48.3542893, 8.9692775 48.3543916, 8.9690289 48.35446, 8.9687483 48.3545182, 8.9684689 48.3545308)",,,yes,yes
"[27624112, 27624113, 27426151]",K 7108,Schadenweilerstraße,tertiary,50,False,True,70.83000000000001,"LINESTRING (8.9700903 48.3535814, 8.9704731 48.3532494, 8.9706263 48.3531077, 8.9706646 48.3530715)",,,yes,yes
155313013,,Kapfgasse,residential,,False,False,16.356,"LINESTRING (8.9638973 48.3513781, 8.9641125 48.3513437)",,,,
401732394,,Stiftsgasse,residential,,False,True,18.592,"LINESTRING (8.9638973 48.3513781, 8.9638566 48.3512131)",,,,
155313013,,Kapfgasse,residential,,False,True,59.524,"LINESTRING (8.9638973 48.3513781, 8.9636649 48.351453, 8.9635802 48.3515046, 8.9635596 48.3515172, 8.9632134 48.351656)",,,,
155313006,,Firststraße,residential,,False,False,274.40599999999995,"LINESTRING (8.9636199 48.3506222, 8.9637347 48.3505471, 8.9637705 48.3504683, 8.9638271 48.3503091, 8.9639078 48.3502457, 8.9640335 48.3502078, 8.9643732 48.3501795, 8.9655819 48.350067, 8.965804 48.3500252, 8.9659379 48.3499738, 8.9667579 48.3496283)",,,,
155313006,,Firststraße,residential,,False,True,18.55,"LINESTRING (8.9636199 48.3506222, 8.9635046 48.3507087, 8.9634682 48.3507539)",,,,
155313014,,Katharinenstraße,residential,,False,True,41.556,"LINESTRING (8.9636199 48.3506222, 8.9638068 48.3508153, 8.9638921 48.3509257, 8.9639036 48.3509442)",,,,
155313006,,Firststraße,residential,,False,False,57.135000000000005,"LINESTRING (8.9667579 48.3496283, 8.9668804 48.3496024, 8.9672986 48.3493836, 8.9672936 48.349309)",,,,
155313006,,Firststraße,residential,,False,True,274.406,"LINESTRING (8.9667579 48.3496283, 8.9659379 48.3499738, 8.965804 48.3500252, 8.9655819 48.350067, 8.9643732 48.3501795, 8.9640335 48.3502078, 8.9639078 48.3502457, 8.9638271 48.3503091, 8.9637705 48.3504683, 8.9637347 48.3505471, 8.9636199 48.3506222)",,,,
625265829,,Stillfriedstraße,tertiary,50,False,False,82.906,"LINESTRING (8.9667579 48.3496283, 8.9663362 48.3494429, 8.9661834 48.3493779, 8.9660472 48.3493296, 8.9659141 48.3493025, 8.9657748 48.3492869)",2,,,
625265829,,Stillfriedstraße,tertiary,50,False,True,105.86399999999998,"LINESTRING (8.9667579 48.3496283, 8.9670199 48.3497713, 8.9671421 48.349838, 8.967166 48.349851, 8.9672828 48.3499147, 8.9673032 48.3499291, 8.9678 48.3502788)",2,,,
