osmid,lanes,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,width,tunnel,access
121686144,1,L 215,Concordiastraße,secondary,50,roundabout,True,False,39.632,"LINESTRING (6.8481833 51.4736879, 6.8482173 51.4736634, 6.848258 51.4736433, 6.848304 51.4736281, 6.8483537 51.4736185, 6.8484054 51.4736147, 6.8484573 51.473617, 6.8485076 51.4736252, 6.8485547 51.473639, 6.8485968 51.473658, 6.8486326 51.4736815, 6.8486609 51.4737087)",,,
160370226,2,,Am Förderturm,residential,50,,False,True,94.245,"LINESTRING (6.8481833 51.4736879, 6.8480975 51.4736036, 6.847962 51.4734783, 6.8478319 51.4733682, 6.8477532 51.4733119, 6.8476371 51.4732282, 6.8474183 51.473113, 6.8473805 51.4730957, 6.8472856 51.4730641)",,,
160918371,1,L 215,Hansastraße,secondary,50,roundabout,True,False,21.985,"LINESTRING (6.8484681 51.4739611, 6.8484231 51.4739645, 6.8483778 51.4739633, 6.8483334 51.4739576, 6.848291 51.4739476, 6.8482518 51.4739334, 6.8482167 51.4739155, 6.8481867 51.4738943)",,,
29064506,2,L 215,Danziger Straße,secondary,50,,True,False,58.708999999999996,"LINESTRING (6.8572814 51.4729516, 6.8572353 51.4729818, 6.85721 51.4729984, 6.8571373 51.4730568, 6.8571025 51.4730875, 6.8570681 51.4731218, 6.8569895 51.4732092, 6.8569666 51.4732426, 6.8569396 51.4732786, 6.8568485 51.4734014)",,,
198850873,2,L 215,Danziger Straße,secondary,30,,False,True,72.39400000000002,"LINESTRING (6.8572814 51.4729516, 6.8574738 51.4728665, 6.858024 51.4726521, 6.8580759 51.4726319, 6.858118 51.4726156, 6.85816 51.4725993)",,,
335047913,4,,Schwartzstraße,residential,50,,False,False,12.288,"LINESTRING (6.8563351 51.4734345, 6.8563787 51.4734289, 6.8564445 51.4734221, 6.8565103 51.4734176)",,,
24752868,,,Helmholtzstraße,residential,50,,False,False,68.255,"LINESTRING (6.855184 51.4700105, 6.8561649 51.4699519)",,,
24752843,,,Helmholtzstraße,residential,50,,True,False,191.915,"LINESTRING (6.855184 51.4700105, 6.8549815 51.4700286, 6.8545291 51.4700571, 6.854296 51.4700698, 6.8542256 51.470072, 6.8541831 51.470072, 6.8541435 51.4700684, 6.8541101 51.4700648, 6.8540753 51.4700639, 6.8539004 51.4700729, 6.853636 51.4700955, 6.8529469 51.4701353, 6.8528619 51.4701435, 6.8527843 51.4701489, 6.8525715 51.4701552, 6.8524281 51.4701641)",,,
"[334921418, 30741676, 334922125, 46257183]","['2', '3']",,"['Wörthstraße', 'Havensteinstraße']",residential,50,,False,"[False, True]",299.03399999999993,"LINESTRING (6.855184 51.4700105, 6.8551121 51.4695855, 6.8550751 51.4693882, 6.8550248 51.4690889, 6.85502 51.4689815, 6.8549946 51.4689132, 6.8549711 51.4688502, 6.8549154 51.4685522, 6.8548702 51.4682587, 6.8548702 51.4681883, 6.8548631 51.4681076, 6.854866 51.4680583, 6.8548658 51.4680231, 6.8548354 51.4678847, 6.85478 51.4676103, 6.8547117 51.4673404)",,,
"[334922126, 334922127]","['2', '3']",,Havensteinstraße,residential,50,,False,True,100.745,"LINESTRING (6.855184 51.4700105, 6.855261 51.4704883, 6.8553022 51.4707254, 6.8553338 51.4709117)",,,
