osmid,name,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,ref,bridge,width
9078588,Seestraße,residential,50,roundabout,True,False,33.931000000000004,"LINESTRING (12.3468077 47.8559926, 12.3468356 47.8559724, 12.346871 47.8559585, 12.3469108 47.8559521, 12.3469518 47.8559536, 12.3469903 47.8559631, 12.3470231 47.8559796, 12.3470477 47.8560022, 12.3470613 47.8560287, 12.3470627 47.8560567, 12.3470518 47.8560838, 12.3470295 47.8561074)",,,,
95028299,Seestraße,residential,50,,False,False,76.734,"LINESTRING (12.3468077 47.8559926, 12.3467093 47.8559596, 12.3466869 47.8559514, 12.3466265 47.8559294, 12.34642 47.8558749, 12.3461176 47.8558141, 12.3459738 47.8557481, 12.3458949 47.8556944)",2,,,
24623778,Marktplatz,secondary_link,50,,True,False,50.937,"LINESTRING (12.3439757 47.8555419, 12.3441902 47.8555177, 12.3443485 47.8554704, 12.3444355 47.85542, 12.3445283 47.8553189)",,,,
176785569,Alte Rathausstraße,secondary,50,,False,False,39.522000000000006,"LINESTRING (12.3439757 47.8555419, 12.3442992 47.855554, 12.3443573 47.8555581, 12.3445038 47.8555683)",2,St 2092,,
"[316216145, 1009365225]",Alte Rathausstraße,secondary,50,,False,True,44.402,"LINESTRING (12.3439757 47.8555419, 12.3437582 47.8555459, 12.3433808 47.8555526)",3,St 2092,,
"[9395013, 461941653]",Beilhackstraße,residential,50,,False,False,243.432,"LINESTRING (12.3409475 47.8552844, 12.3409856 47.8550348, 12.3410986 47.8548313, 12.3412163 47.8546192, 12.3412897 47.8544876, 12.3414043 47.8542673, 12.3416558 47.8538019, 12.3417592 47.8536105, 12.3418 47.8535305, 12.3419972 47.8532197)",,,,
"[461941649, 10376106, 176785571, 226126782]",Alte Rathausstraße,secondary,50,,False,False,33.777,"LINESTRING (12.3409475 47.8552844, 12.3408898 47.8553143, 12.3408385 47.8553444, 12.3406672 47.8554578, 12.340619 47.8554928)",2,St 2092,yes,
"[448976641, 313985917, 313985918]",Alte Rathausstraße,secondary,50,,False,True,186.75199999999998,"LINESTRING (12.3409475 47.8552844, 12.3410431 47.8552663, 12.3411905 47.8552538, 12.3413195 47.855254, 12.3414467 47.8552674, 12.3415556 47.8552828, 12.3416733 47.8553049, 12.3418005 47.8553287, 12.3421424 47.8554119, 12.3424489 47.8554868, 12.3426205 47.8555186, 12.3428231 47.85554, 12.34312 47.8555562, 12.3433808 47.8555526)",2,St 2092,,
173057404,Bernauer Straße,secondary,50,,False,False,98.768,"LINESTRING (12.3446713 47.8519107, 12.3446954 47.8516085, 12.3447007 47.8515471, 12.3447143 47.8514464, 12.344725 47.8513809, 12.3447389 47.8512854, 12.3447493 47.85117, 12.344764 47.8510248)",2,St 2092,,
173057404,Bernauer Straße,secondary,50,,False,True,88.306,"LINESTRING (12.3446713 47.8519107, 12.3446677 47.8519657, 12.3446515 47.8526266, 12.3446496 47.8527047)",2,St 2092,,
173057404,Bernauer Straße,secondary,50,,False,False,50.621,"LINESTRING (12.3447235 47.8533651, 12.3446695 47.8529113)",2,St 2092,,
173057404,Bernauer Straße,secondary,50,,False,True,66.5,"LINESTRING (12.3447235 47.8533651, 12.3448283 47.853959)",2,St 2092,,
"[56083683, 313985924]",Geigelsteinstraße,residential,50,,True,False,204.40200000000002,"LINESTRING (12.3447235 47.8533651, 12.3444465 47.8533728, 12.3434051 47.8533377, 12.3425656 47.8532624, 12.3424286 47.853249, 12.3423719 47.8532407, 12.3422617 47.8532357, 12.3419972 47.8532197)",,,,
173057404,Bernauer Straße,secondary,50,,False,False,66.5,"LINESTRING (12.3448283 47.853959, 12.3447235 47.8533651)",2,St 2092,,
9950084,Wendelsteinstraße,residential,50,,False,False,144.025,"LINESTRING (12.3448283 47.853959, 12.3450226 47.8539249, 12.3451566 47.8539007, 12.3453069 47.8538682, 12.3456789 47.8537918, 12.3460569 47.8537117, 12.3465589 47.8536105, 12.346673 47.8535794)",,,,
173057404,Bernauer Straße,secondary,50,,False,True,154.891,"LINESTRING (12.3448283 47.853959, 12.344842 47.8540476, 12.3448742 47.854239, 12.3448804 47.854373, 12.3448636 47.8544616, 12.3448427 47.8545198, 12.3448077 47.8545875, 12.3447997 47.8546024, 12.3447208 47.8547487, 12.3446816 47.8548573, 12.3445989 47.8550819, 12.3445526 47.8552136, 12.3445283 47.8553189)",2,St 2092,,
8113554,Bernauer Straße,secondary,50,,False,False,27.792,"LINESTRING (12.3445283 47.8553189, 12.3445038 47.8555683)",3,St 2092,,
173057404,Bernauer Straße,secondary,50,,False,False,154.891,"LINESTRING (12.3445283 47.8553189, 12.3445526 47.8552136, 12.3445989 47.8550819, 12.3446816 47.8548573, 12.3447208 47.8547487, 12.3447997 47.8546024, 12.3448077 47.8545875, 12.3448427 47.8545198, 12.3448636 47.8544616, 12.3448804 47.854373, 12.3448742 47.854239, 12.344842 47.8540476, 12.3448283 47.853959)",2,St 2092,,
8113554,Bernauer Straße,secondary,50,,False,True,27.792,"LINESTRING (12.3445038 47.8555683, 12.3445283 47.8553189)",3,St 2092,,
176785582,Seestraße,residential,50,,False,True,32.35,"LINESTRING (12.3445038 47.8555683, 12.3449323 47.8556127)",3,,,
176785569,Alte Rathausstraße,secondary,50,,False,True,39.522,"LINESTRING (12.3445038 47.8555683, 12.3443573 47.8555581, 12.3442992 47.855554, 12.3439757 47.8555419)",2,St 2092,,
"[176797516, 318277031]",Schulstraße,residential,50,,False,True,32.524,"LINESTRING (12.3445038 47.8555683, 12.3445566 47.8556824, 12.3445879 47.8557356, 12.3446877 47.8558301)",3,,,
462154315,Trautersdorfer Straße,residential,50,,False,False,39.554,"LINESTRING (12.3403437 47.8501539, 12.34041 47.8502236, 12.3404903 47.85028, 12.3405346 47.8503049, 12.3405807 47.8503335, 12.3406167 47.8503641, 12.3406772 47.8504273)",,,,
1152748849,Trautersdorf,residential,50,,False,True,45.042,"LINESTRING (12.3403437 47.8501539, 12.3403142 47.8500812, 12.3403064 47.8500597, 12.3402835 47.8499968, 12.3402645 47.8499263, 12.3402504 47.8498739, 12.3402064 47.8497597)",,,,
"[56419480, 1152748866]",Trautersdorf,residential,,,False,"[False, True]",83.58700000000002,"LINESTRING (12.3403437 47.8501539, 12.3402747 47.8502036, 12.3401812 47.8503151, 12.3401179 47.8503663, 12.3400621 47.8504069, 12.3399929 47.8504199, 12.3399054 47.8504163, 12.3397587 47.8503944, 12.3395876 47.8503741, 12.3394764 47.850374, 12.3394243 47.850374)",,,,
173057404,Bernauer Straße,secondary,50,,False,False,23.021,"LINESTRING (12.3446695 47.8529113, 12.3446496 47.8527047)",2,St 2092,,
