osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,width,bridge,junction,access
"[227225436, 33130598]",Ruhlaer Straße,residential,False,False,32.361000000000004,"LINESTRING (10.3502979 50.8223319, 10.3505242 50.8222147, 10.3505659 50.82217, 10.350594 50.8221187)",,,,,,,
"[295077893, 295077896, 24481930, 295077898, 295077901, 295077903, 39477338]",Melsunger Straße,secondary,False,True,589.2630000000001,"LINESTRING (10.3502979 50.8223319, 10.3502104 50.8222369, 10.3499223 50.8220108, 10.3495014 50.8217525, 10.3491327 50.8215918, 10.348742 50.8214967, 10.3482571 50.8213881, 10.3476681 50.8213221, 10.3470928 50.8212875, 10.3468263 50.8212588, 10.3466336 50.8212357, 10.346434 50.8211994, 10.3462234 50.8211566, 10.3459104 50.8210796, 10.3454675 50.8209411, 10.3451065 50.8207732, 10.3447734 50.8205629, 10.3445477 50.8203842, 10.3443301 50.8201882, 10.3440218 50.8198112, 10.3438968 50.819645, 10.3437865 50.8194945)","['2', '3']",L 1027,"['50', '100']",,,,
123221482,Höhenweg,residential,False,False,100.602,"LINESTRING (10.3432929 50.8198244, 10.3442544 50.8204949)",,,,,,,
33130626,Bahnhofstraße,secondary,False,False,50.548,"LINESTRING (10.3432929 50.8198244, 10.3435912 50.8196422, 10.3437865 50.8194945)",2,L 1126,,,,,
33130626,Bahnhofstraße,secondary,False,False,29.937,"LINESTRING (10.3437865 50.8194945, 10.3438689 50.8194327, 10.3439027 50.8194072, 10.3440514 50.8192837)",2,L 1126,,,,,
33130626,Bahnhofstraße,secondary,False,True,50.548,"LINESTRING (10.3437865 50.8194945, 10.3435912 50.8196422, 10.3432929 50.8198244)",2,L 1126,,,,,
"[295077893, 295077896, 295077898, 24481930, 295077901, 295077903, 39477338]",Melsunger Straße,secondary,False,False,589.2629999999999,"LINESTRING (10.3437865 50.8194945, 10.3438968 50.819645, 10.3440218 50.8198112, 10.3443301 50.8201882, 10.3445477 50.8203842, 10.3447734 50.8205629, 10.3451065 50.8207732, 10.3454675 50.8209411, 10.3459104 50.8210796, 10.3462234 50.8211566, 10.346434 50.8211994, 10.3466336 50.8212357, 10.3468263 50.8212588, 10.3470928 50.8212875, 10.3476681 50.8213221, 10.3482571 50.8213881, 10.348742 50.8214967, 10.3491327 50.8215918, 10.3495014 50.8217525, 10.3499223 50.8220108, 10.3502104 50.8222369, 10.3502979 50.8223319)","['2', '3']",L 1027,"['50', '100']",,,,
"[295077912, 295077913, 295077910, 295077911]",Treonstraße,secondary,False,True,360.361,"LINESTRING (10.3437865 50.8194945, 10.3435436 50.8191675, 10.3430185 50.8184743, 10.3427368 50.8180758, 10.342561 50.8178134, 10.3424362 50.8175471, 10.3423765 50.8172419, 10.3423609 50.8169628, 10.3423647 50.8167773, 10.3423982 50.8164383)","['2', '3']",L 1027,50,,,,
39371015,Poststraße,residential,False,False,43.650000000000006,"LINESTRING (10.3526612 50.8156103, 10.3527608 50.8157265, 10.3528938 50.8157832, 10.3531328 50.8158331)",,,30,,,,
130994088,Herzog-Georg-Straße,secondary,False,False,207.23700000000002,"LINESTRING (10.3526612 50.8156103, 10.3529167 50.8155194, 10.353551 50.8153177, 10.3538758 50.8152185, 10.354069 50.815158, 10.3545164 50.8150185, 10.354545 50.8150096, 10.3552974 50.8147747)",2,L 1126,50,4,,,
130994088,Herzog-Georg-Straße,secondary,False,True,48.109,"LINESTRING (10.3526612 50.8156103, 10.352284 50.8157061, 10.3521346 50.8157431, 10.3520227 50.8157663)",2,L 1126,50,4,,,
743271179,Ruhlaer Straße,residential,False,True,6.849,"LINESTRING (10.3491707 50.8165242, 10.3492227 50.8165763)",,,,,,,
39476859,Ruhlaer Straße,residential,False,False,65.156,"LINESTRING (10.3491707 50.8165242, 10.3491123 50.8164704, 10.3485614 50.8160831)",,,,4,,,
88363839,Rohstraße,residential,True,False,214.32299999999998,"LINESTRING (10.3491707 50.8165242, 10.3482257 50.8170913, 10.3477624 50.8173713, 10.3469631 50.8178545)",,,,,,,
