osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,bridge,access,junction
23031922,Zwergerweg,residential,False,True,59.799,,,,"LINESTRING (11.8382874 47.7874163, 11.8386179 47.7869265)",,,
48226391,Bayrischzeller Straße,primary,False,False,15.766,2,B 472,50,"LINESTRING (11.8382874 47.7874163, 11.8383434 47.787553)",,,
"[735174830, 48226391]",Bayrischzeller Straße,primary,False,True,147.918,2,B 472,50,"LINESTRING (11.8382874 47.7874163, 11.838141 47.7871772, 11.8379934 47.7869912, 11.8377783 47.7867767, 11.8377359 47.7867344, 11.8374651 47.7865128, 11.8373264 47.7863898, 11.837227 47.7863021)",,,
295264726,Franz-und-Johann-Wallach-Straße,residential,False,True,74.141,,,30,"LINESTRING (11.8384954 47.7921169, 11.8391824 47.7916357)",,,
53664415,Am Windfeld,residential,False,True,137.613,,,50,"LINESTRING (11.8384954 47.7921169, 11.8383499 47.7923507, 11.8383043 47.7924336, 11.83824 47.7925961, 11.838264 47.7927024, 11.8382984 47.7928178, 11.8383327 47.7929446, 11.8384196 47.7931997, 11.8384404 47.7933107)",,,
94544238,Münchner Straße,tertiary,False,False,93.06700000000001,,,30,"LINESTRING (11.8384954 47.7921169, 11.8382211 47.791924, 11.8377905 47.7916166, 11.837633 47.791513)",,,
11292419,Kolpingstraße,residential,True,False,280.934,,,,"LINESTRING (11.8327918 47.7933656, 11.8329149 47.7931177, 11.8329479 47.7930497, 11.8330843 47.7927225, 11.8333199 47.7917274, 11.8335272 47.7908927)",,,
30118334,Wallenburger Straße,residential,False,False,81.456,,,30,"LINESTRING (11.8327918 47.7933656, 11.8326921 47.7930885, 11.8325592 47.7928635, 11.8324301 47.7926773)",,,
303988004,Tölzer Straße,tertiary,False,False,17.394,,,50,"LINESTRING (11.8294009 47.7895088, 11.8295286 47.78953, 11.8296298 47.7895328)",,,
"[44601565, 44601564, 459818237, 15225222]",Schlierachweg,residential,False,False,219.467,,,,"LINESTRING (11.8294009 47.7895088, 11.8293606 47.7894526, 11.8292631 47.789352, 11.8291012 47.7891911, 11.8290533 47.7891405, 11.828985 47.7890684, 11.8288093 47.7889489, 11.8286737 47.7888227, 11.8285788 47.7887016, 11.8285207 47.7886195, 11.828507 47.7885466, 11.8285133 47.7885015, 11.8285459 47.78844, 11.8286647 47.7882864, 11.8288589 47.788091, 11.8290048 47.7879584, 11.829145 47.7878505)",yes,,
"[11166089, 44601575]",Ledererstraße,tertiary,False,False,121.49299999999997,,,50,"LINESTRING (11.8338624 47.790353, 11.8338852 47.7903449, 11.8339022 47.7903364, 11.8339322 47.7902908, 11.8339429 47.7902223, 11.8339451 47.7901288, 11.8339365 47.7900077, 11.8339193 47.7898463, 11.8338992 47.7897261, 11.8338866 47.7896693, 11.8338591 47.7896067, 11.8338301 47.7895574, 11.8337979 47.7895058, 11.8337722 47.7894763, 11.8337483 47.7894484, 11.8336666 47.7894034, 11.8335626 47.7893741)",,,
30118333,Frühlingstraße,tertiary,False,True,134.181,,,50,"LINESTRING (11.8338624 47.790353, 11.8338055 47.7903616, 11.8335486 47.79034, 11.8332864 47.7903005, 11.833113 47.7902716, 11.8329949 47.7902606, 11.8328492 47.790281, 11.8326903 47.7903412, 11.8325938 47.7903953, 11.8324972 47.7904332, 11.8323939 47.7904431, 11.8322987 47.7904365, 11.8321577 47.7904188)",,,
61723135,Münchner Straße,tertiary,False,True,36.746,,,50,"LINESTRING (11.8352346 47.7894683, 11.835309 47.7895222, 11.8353778 47.7895978, 11.8354359 47.7896863, 11.8354746 47.7897254, 11.8354948 47.789746)",,,
94544240,Rosenheimer Straße,tertiary,False,False,36.545,2,,50,"LINESTRING (11.8352346 47.7894683, 11.8353395 47.7894717, 11.8354423 47.7894606, 11.8357162 47.7894214)",,,
"[8009232, 373394309]",Rosenheimer Straße,tertiary,False,True,97.31,2,,50,"LINESTRING (11.8352346 47.7894683, 11.835149 47.7894526, 11.8348992 47.7893876, 11.8347093 47.7893408, 11.8345177 47.789271, 11.8343781 47.7891957, 11.8342537 47.7891102, 11.8341537 47.7890189)",,,
44522459,Rosenheimer Straße,secondary,False,False,28.44,3,St 2010,50,"LINESTRING (11.8388529 47.7888321, 11.83897 47.7888084, 11.8390674 47.7887915, 11.8392204 47.7887656)",,,
61723125,Bayrischzeller Straße,primary,False,False,17.967,4,B 472,50,"LINESTRING (11.8388529 47.7888321, 11.8388753 47.7888906, 11.8388851 47.7889164, 11.8389115 47.7889888)",,,
352618069,Rosenheimer Straße,tertiary,False,True,20.259,3,,50,"LINESTRING (11.8388529 47.7888321, 11.8387301 47.7888497, 11.838686 47.788862, 11.8385918 47.7888798)",,,
352618070,Bayrischzeller Straße,primary,False,True,19.130000000000003,4,B 472,50,"LINESTRING (11.8388529 47.7888321, 11.8388309 47.7887733, 11.8388062 47.7887076, 11.8387935 47.7886648)",,,
1244938114,Riezlerstraße,residential,False,False,52.238,,,30,"LINESTRING (11.8358553 47.7902481, 11.8364697 47.7900238)",,no,
61723130,Münchner Straße,tertiary,False,False,62.056,,,30,"LINESTRING (11.8358553 47.7902481, 11.8356715 47.7900222, 11.8354948 47.789746)",,,
"[61723130, 1159212122]",Münchner Straße,tertiary,False,True,76.807,,,30,"LINESTRING (11.8358553 47.7902481, 11.8360763 47.7904728, 11.836482 47.7907942)",,,
