osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,tunnel,width,access,bridge
4364456,True,1,Rechte Donaustraße,secondary,50,False,30.746000000000002,"LINESTRING (14.2891719 48.3080478, 14.2892827 48.3080327, 14.2893382 48.308011, 14.2893848 48.3079819, 14.2894136 48.3079384, 14.2894396 48.3078722)",,,,,
76359190,False,2,Untere Donaulände,primary,50,False,27.897,"LINESTRING (14.2891719 48.3080478, 14.289399 48.3081197, 14.28951 48.3081589)",,,,,
"[320881376, 312132722, 320881375]",False,"['4', '5']",Untere Donaulände,primary,50,True,104.14099999999999,"LINESTRING (14.2891719 48.3080478, 14.2887622 48.3079258, 14.2882132 48.3077629, 14.2878848 48.307668)",,,,,
229165448,True,2,Rechte Donaustraße,secondary,50,False,19.71,"LINESTRING (14.2894289 48.3071177, 14.2894307 48.3070358, 14.2894387 48.3069406)",,,,,
"[761823128, 19794713]",True,"['2', '3']",Dametzstraße,secondary,50,False,58.929,"LINESTRING (14.2905371 48.3048997, 14.2905819 48.3047936, 14.2906091 48.304731, 14.2907301 48.3044531, 14.2907574 48.3043904)",,,,,
"[1056166866, 95669668]",False,1,Harrachstraße,residential,30,True,69.702,"LINESTRING (14.2916464 48.3023856, 14.2915536 48.3023581, 14.2913052 48.3022881, 14.2909105 48.3021769, 14.2907794 48.30214)",,,,,
"[320881368, 49723100]",False,3,Kapuzinerstraße,primary,50,False,79.43,"LINESTRING (14.2826766 48.3024122, 14.2826393 48.3024649, 14.2825417 48.3025686, 14.282487 48.3026141, 14.2823876 48.3026968, 14.2822492 48.3027881, 14.281993 48.302957)",B139,,,,
1055804197,True,1,Klammstraße,residential,30,False,79.17800000000001,"LINESTRING (14.2826766 48.3024122, 14.282828 48.3024484, 14.282892 48.3024637, 14.2829635 48.3024848, 14.2830743 48.3025175, 14.2832401 48.3025665, 14.2835791 48.3026994, 14.283637 48.3027221)",,,,,
"[5579360, 5579361]",False,2,Römerbergtunnel,primary,50,"[False, True]",25.485,"LINESTRING (14.2796702 48.3054365, 14.2796202 48.3055094, 14.2795888 48.3055554, 14.2795278 48.3056452)",B139,yes,,,
"[5579360, 320881369, 50258366]",False,"['2', '3']","['Römerbergtunnel', 'Kapuzinerstraße']",primary,50,True,326.922,"LINESTRING (14.2796702 48.3054365, 14.2801486 48.3047497, 14.2803767 48.3044554, 14.2805849 48.3042103, 14.2807879 48.303987, 14.2810086 48.3037569, 14.2812354 48.3035387, 14.2814865 48.3033125, 14.2816873 48.3031587, 14.2817814 48.303094, 14.281993 48.302957)",B139,yes,,,
"[92730000, 25459125]",True,2,Römerbergtunnel,primary,50,False,31.351000000000006,"LINESTRING (14.2796702 48.3054365, 14.2796647 48.3054917, 14.2796666 48.3055364, 14.2796697 48.3055678, 14.2796718 48.3055847, 14.2796773 48.3056207, 14.2796827 48.3056447, 14.2796889 48.3056649, 14.2797111 48.3057152)",B139,yes,,,
5579359,False,3,Obere Donaulände,primary,50,False,15.633,"LINESTRING (14.2795278 48.3056452, 14.2797111 48.3057152)",B129,,,,
"[5579360, 5579361]",False,2,Römerbergtunnel,primary,50,"[False, True]",25.485000000000003,"LINESTRING (14.2795278 48.3056452, 14.2795888 48.3055554, 14.2796202 48.3055094, 14.2796702 48.3054365)",B139,yes,,,
"[79814709, 13957110]",False,2,,primary_link,50,False,103.24300000000001,"LINESTRING (14.2857548 48.3068526, 14.2856885 48.306828, 14.2856385 48.3068083, 14.2853744 48.3067227, 14.2852725 48.3066968, 14.285189 48.3066871, 14.285098 48.3066833, 14.285009 48.3066703, 14.2848866 48.3066415, 14.2847599 48.3066103, 14.2846767 48.3065899, 14.2845565 48.3065632, 14.284448 48.3065458)",B129,,,,
"[1177901089, 104883427, 26316080, 105926999, 13957119]",True,1,Hauptplatz,residential,"['20', '30']",False,125.16199999999998,"LINESTRING (14.2857548 48.3068526, 14.2857995 48.3067938, 14.2859427 48.3065998, 14.2859634 48.3065627, 14.2860421 48.3064219, 14.2861674 48.3061976, 14.2861845 48.3061509, 14.2861905 48.3061094, 14.2862049 48.3060737, 14.2862318 48.3060445, 14.2862709 48.3060275, 14.2862923 48.3060244, 14.2863226 48.3060199, 14.2863851 48.3060217, 14.2864368 48.3060358, 14.2864691 48.3060537, 14.2864878 48.3060741, 14.2864984 48.3060992, 14.2865031 48.3061296)",,,2,,
142992561,True,2,Untere Donaulände,primary,50,False,13.875,"LINESTRING (14.2857548 48.3068526, 14.2858165 48.3068769, 14.2858538 48.3068914, 14.2859175 48.3069147)",B129,,,,
747248534,True,1,Waltherstraße,living_street,30,False,158.165,"LINESTRING (14.284798 48.3015279, 14.2847786 48.3015536, 14.2847754 48.3015574, 14.2847566 48.3015799, 14.2843552 48.3019894, 14.2836768 48.3026815, 14.283668 48.3026905, 14.283637 48.3027221)",,,,,
"[24457913, 1106869094]",True,1,"['Herrenstraße', 'Steingasse']",living_street,20,False,174.995,"LINESTRING (14.284798 48.3015279, 14.2848479 48.3015501, 14.2853115 48.3017567, 14.2854525 48.3018183, 14.2858074 48.3019701, 14.285836 48.3019822, 14.2865456 48.3022615, 14.2866921 48.3020883)",,,,,
5108150,True,1,Klammstraße,residential,30,False,98.508,"LINESTRING (14.283637 48.3027221, 14.2837068 48.3027523, 14.2842863 48.3030034, 14.2845492 48.3030937, 14.2847041 48.3031483, 14.2847794 48.3031756)",,,,,
"[131252356, 56018430]",False,4,Obere Donaulände,primary,50,False,53.842,"LINESTRING (14.2836934 48.3066169, 14.2840706 48.306687, 14.284107 48.3066938, 14.2841377 48.3066994, 14.2841761 48.3067064, 14.284395 48.3067461)",B129,,,,
"[56018432, 124913971]",False,4,Obere Donaulände,primary,50,True,48.42100000000001,"LINESTRING (14.2836934 48.3066169, 14.2835617 48.3065924, 14.283063 48.3064994)",B129,,,,
56018428,True,1,,primary_link,50,False,23.800000000000004,"LINESTRING (14.2871601 48.3075733, 14.2872656 48.3075455, 14.2873253 48.3075365, 14.2874716 48.3075263)",,,,,
312132725,False,2,Untere Donaulände,primary,50,True,19.981,"LINESTRING (14.2871601 48.3075733, 14.287083 48.3075653, 14.2870017 48.3075521, 14.2869002 48.3075267)",,,,,
28287519,False,6,Untere Donaulände,primary,50,False,11.499,"LINESTRING (14.2877434 48.307625, 14.2878848 48.307668)",,,,,
56018434,True,1,Untere Donaulände,primary,50,False,43.865,"LINESTRING (14.2877434 48.307625, 14.2876109 48.3076257, 14.2874816 48.3076223, 14.2873673 48.3076139, 14.2872678 48.3075976, 14.2871601 48.3075733)",,,,,
70581832,False,5,Untere Donaulände,primary,50,True,22.906,"LINESTRING (14.2877434 48.307625, 14.2876097 48.3075783, 14.2874716 48.3075263)",,,,,
5579362,True,1,Hirschgasse,residential,30,False,25.743000000000002,"LINESTRING (14.281993 48.302957, 14.281814 48.3028455, 14.2817787 48.3028144, 14.2817661 48.3027862)",,,,,
"[5579360, 320881369, 50258366]",False,"['2', '3']","['Römerbergtunnel', 'Kapuzinerstraße']",primary,50,False,326.922,"LINESTRING (14.281993 48.302957, 14.2817814 48.303094, 14.2816873 48.3031587, 14.2814865 48.3033125, 14.2812354 48.3035387, 14.2810086 48.3037569, 14.2807879 48.303987, 14.2805849 48.3042103, 14.2803767 48.3044554, 14.2801486 48.3047497, 14.2796702 48.3054365)",B139,yes,,,
"[320881368, 49723100]",False,3,Kapuzinerstraße,primary,50,True,79.43,"LINESTRING (14.281993 48.302957, 14.2822492 48.3027881, 14.2823876 48.3026968, 14.282487 48.3026141, 14.2825417 48.3025686, 14.2826393 48.3024649, 14.2826766 48.3024122)",B139,,,,
13865138,False,1,Schlossergasse,residential,30,True,50.711,"LINESTRING (14.2814223 48.3027867, 14.2813875 48.3028365, 14.2810588 48.3031728)",,,,,
49723104,False,,Hirschgasse,residential,30,False,99.407,"LINESTRING (14.2814223 48.3027867, 14.2813522 48.3027516, 14.2811421 48.3025854, 14.2807761 48.3022925, 14.2806448 48.3021984, 14.2805266 48.3021226)",,,,,
49723105,False,,Hirschgasse,residential,30,True,25.555,"LINESTRING (14.2814223 48.3027867, 14.2815159 48.3027963, 14.281623 48.3027946, 14.2817661 48.3027862)",,,,,
8593394,True,1,Kollegiumgasse,residential,30,False,125.411,"LINESTRING (14.2898018 48.3050377, 14.2897707 48.3050836, 14.2897533 48.3051092, 14.2896701 48.3054102, 14.289469 48.3057756, 14.2893052 48.3060732, 14.2892853 48.3061081)",,,,,
70581819,False,1,Graben,tertiary,30,False,133.081,"LINESTRING (14.2898018 48.3050377, 14.289578 48.3049671, 14.2888693 48.3047015, 14.2887438 48.3046442, 14.2886627 48.3045939, 14.2884017 48.3043994, 14.2883463 48.3043582)",,,6,,
70581819,False,1,Graben,tertiary,30,True,22.909,"LINESTRING (14.2898018 48.3050377, 14.289941 48.3050738, 14.2900904 48.3051125)",,,6,,
"[70581819, 6272908]",False,"['2', '1']","['Promenade', 'Graben']",tertiary,30,False,296.415,"LINESTRING (14.2883463 48.3043582, 14.2882534 48.3042857, 14.2881267 48.304195, 14.2881147 48.304187, 14.2880825 48.3041657, 14.2880316 48.304132, 14.2880181 48.3041245, 14.288004 48.3041169, 14.2879404 48.304091, 14.2878741 48.3040786, 14.2871796 48.3040813, 14.2870836 48.3040743, 14.2869954 48.3040595, 14.2869033 48.3040302, 14.2868704 48.3040174, 14.2857511 48.30358, 14.2856568 48.303544, 14.284949 48.3032677, 14.2848948 48.3032568, 14.2848365 48.3032556)",,,6,,
