osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,width,junction,bridge,access
4743499,Dambachstraße,tertiary,30,False,False,199.81900000000002,"LINESTRING (10.8768325 49.5753714, 10.8767899 49.5751951, 10.8767115 49.574965, 10.8766321 49.5748029, 10.8764716 49.5744953, 10.8764047 49.5744217, 10.8763099 49.57436, 10.8761386 49.5742817, 10.8757344 49.5741361, 10.8755849 49.5740799, 10.8754606 49.5740249, 10.8753864 49.5739738)",,,,,,
25332488,Kleiststraße,residential,30,False,False,60.827999999999996,"LINESTRING (10.8768325 49.5753714, 10.8766486 49.5753299, 10.8765479 49.5752841, 10.8761301 49.575077)",,,,,,
314686768,Hans-Maier-Straße,tertiary,50,False,True,16.228,"LINESTRING (10.8787676 49.567651, 10.8785553 49.5676994)",3,,,,,
"[42805830, 105598406, 314686771, 28304885, 314686780]",Hans-Maier-Straße,tertiary,50,False,False,177.52199999999996,"LINESTRING (10.8787676 49.567651, 10.8788729 49.5676343, 10.8791036 49.5675902, 10.8792872 49.5675638, 10.8794651 49.5675335, 10.8798109 49.5674815, 10.87985 49.5674732, 10.8801953 49.5674111, 10.8804314 49.5673596, 10.8807967 49.5672536, 10.8810995 49.5671577)","['2', '3']",,,,,
"[1253551896, 432920438, 146456478, 146456519]","['Burgstaller Weg', 'Langenzenner Straße']",residential,30,False,False,213.878,"LINESTRING (10.8787676 49.567651, 10.8786722 49.5675052, 10.87861 49.5674103, 10.878601 49.5673739, 10.8785833 49.5673154, 10.8784529 49.5673359, 10.878383 49.5673348, 10.8783335 49.5673341, 10.8780704 49.5673474, 10.8778309 49.5673356, 10.877483 49.56728, 10.8773939 49.5671304, 10.8771357 49.5668513, 10.8769922 49.566734, 10.8767551 49.5665968)",,,,,,
"[314737931, 4743476]",Erlanger Straße,tertiary,50,False,False,50.63,"LINESTRING (10.8849332 49.5675792, 10.884897 49.5676491, 10.8847832 49.5677744, 10.8846337 49.5679104, 10.8845922 49.5679741)",2,ERH 14,,,,
27861535,,tertiary,,True,False,17.924,"LINESTRING (10.8849332 49.5675792, 10.884881 49.56757, 10.8848419 49.5675513, 10.8848147 49.5675251, 10.8848026 49.5674946, 10.8848069 49.5674632)",1,ERH 3,6,roundabout,,
"[4743474, 314737932]",Zum Flughafen,tertiary,50,False,False,74.641,"LINESTRING (10.8845922 49.5679741, 10.8845919 49.5680298, 10.8846166 49.5680893, 10.8846548 49.568148, 10.884725 49.5682361, 10.8847758 49.5683782, 10.8848411 49.5686197)",2,ERH 3,,,,
4743495,Erlanger Straße,living_street,7,False,False,51.833,"LINESTRING (10.8845922 49.5679741, 10.8845122 49.5680386, 10.8843576 49.5681292, 10.8842598 49.5681786, 10.8842358 49.568189, 10.8841446 49.5682285, 10.884035 49.5682606)",,ERH 14,,,,
"[314737931, 4743476]",Erlanger Straße,tertiary,50,False,True,50.629999999999995,"LINESTRING (10.8845922 49.5679741, 10.8846337 49.5679104, 10.8847832 49.5677744, 10.884897 49.5676491, 10.8849332 49.5675792)",2,ERH 14,,,,
314686768,Hans-Maier-Straße,tertiary,50,False,False,16.228,"LINESTRING (10.8785553 49.5676994, 10.8787676 49.567651)",3,,,,,
30094379,Hans-Maier-Straße,tertiary,50,False,True,38.774,"LINESTRING (10.8785553 49.5676994, 10.8782281 49.5677882, 10.878072 49.5678501)",3,,,,,
257612808,Steggasse,residential,50,True,False,39.474,"LINESTRING (10.8785553 49.5676994, 10.8784577 49.5678057, 10.878445 49.5678917, 10.8784639 49.5679493, 10.8784916 49.5680334)",,,,,,
105598410,Hans-Maier-Straße,tertiary,,False,True,29.63,"LINESTRING (10.8763096 49.5686185, 10.8759815 49.5687789)",2,,,,,
30185911,Schlaffhäusergasse,residential,30,False,False,37.981,"LINESTRING (10.8763096 49.5686185, 10.8761973 49.568567, 10.8758318 49.5684804)",,,,,,
"[314686769, 105598410, 314686773]",Hans-Maier-Straße,tertiary,,False,False,154.99,"LINESTRING (10.8763096 49.5686185, 10.8767936 49.5684875, 10.8770441 49.5684093, 10.8772168 49.5683401, 10.8773018 49.5683061, 10.8775264 49.5681859, 10.8776882 49.5680973, 10.8779674 49.5679174, 10.878072 49.5678501)","['2', '3']",St 2244,,,,
27861535,,tertiary,,True,False,11.23,"LINESTRING (10.8850665 49.5675365, 10.8850298 49.567562, 10.8849812 49.567577, 10.8849332 49.5675792)",1,ERH 3,6,roundabout,,
329597825,Erlanger Straße,residential,30,False,True,12.036,"LINESTRING (10.8850665 49.5675365, 10.8851289 49.5675608, 10.8852126 49.5675887)",,,,,,
"[105598406, 42805830, 314686771, 28304885, 314686780]",Hans-Maier-Straße,tertiary,50,False,True,177.52200000000005,"LINESTRING (10.8810995 49.5671577, 10.8807967 49.5672536, 10.8804314 49.5673596, 10.8801953 49.5674111, 10.87985 49.5674732, 10.8798109 49.5674815, 10.8794651 49.5675335, 10.8792872 49.5675638, 10.8791036 49.5675902, 10.8788729 49.5676343, 10.8787676 49.567651)","['2', '3']",,,,,
"[314686778, 146456507]",Hans-Maier-Straße,tertiary,50,False,False,118.14800000000001,"LINESTRING (10.8810995 49.5671577, 10.8817007 49.5668572, 10.8819637 49.5667471, 10.8822946 49.5666184, 10.8824584 49.5665694)","['2', '3']",,,,,
"[314686778, 146456507]",Hans-Maier-Straße,tertiary,50,False,True,118.148,"LINESTRING (10.8824584 49.5665694, 10.8822946 49.5666184, 10.8819637 49.5667471, 10.8817007 49.5668572, 10.8810995 49.5671577)","['2', '3']",,,,,
146456473,Bamberger Straße,tertiary,50,False,False,79.662,"LINESTRING (10.882148 49.571926, 10.8820759 49.5715836, 10.8820609 49.571471, 10.8820535 49.5714159, 10.8820508 49.5712134)",2,ERH 14,,,,
146456473,Bamberger Straße,tertiary,50,False,True,27.991,"LINESTRING (10.882148 49.571926, 10.8821961 49.5720681, 10.8822523 49.5721679)",2,ERH 14,,,,
146456505,Goethestraße,residential,30,False,False,107.978,"LINESTRING (10.882148 49.571926, 10.8820646 49.5719367, 10.8818905 49.5719463, 10.881692 49.5719593, 10.8806611 49.5720389)",,,6,,,
"[108576329, 29316517]",Hintere Gasse,tertiary,30,False,False,55.824,"LINESTRING (10.8821527 49.5704355, 10.8823843 49.5702686, 10.8827101 49.5700887)",2,ERH 14,,,,
42805932,Bamberger Straße,tertiary,30,False,True,58.155,"LINESTRING (10.8821527 49.5704355, 10.8821028 49.5705242, 10.8820749 49.5709524)",2,ERH 14,,,,
146456511,Hintere Gasse,residential,30,False,False,160.289,"LINESTRING (10.8821527 49.5704355, 10.8820173 49.5704791, 10.8819301 49.5704968, 10.8818141 49.5705203, 10.8809369 49.5706575, 10.8807191 49.5706793, 10.8804201 49.5707036, 10.8799862 49.5707202)",,,,,,
"[23077210, 146456555]","['Hauptstraße', 'Würzburger Straße']",residential,"['20', '30']",False,False,151.586,"LINESTRING (10.8798016 49.5695967, 10.8796358 49.5697197, 10.8794361 49.5698384, 10.8788858 49.57014, 10.8785687 49.570314, 10.8784814 49.5703619, 10.8782127 49.5704851)",,,4,,,
146456535,Steggasse,residential,30,True,False,104.678,"LINESTRING (10.8798016 49.5695967, 10.8796489 49.5694114, 10.8795793 49.5692796, 10.8795231 49.5690914, 10.8794975 49.568943, 10.879486 49.5687776, 10.8795475 49.5687021)",,,4,,,
"[146456536, 223122266]",Steggasse,residential,30,True,False,126.142,"LINESTRING (10.8798016 49.5695967, 10.8798682 49.56972, 10.8798807 49.5697713, 10.8799058 49.5698748, 10.8799514 49.5702679, 10.8799862 49.5707202)",,,,,,
330756797,Hauptstraße,living_street,7,False,True,178.89800000000002,"LINESTRING (10.8798016 49.5695967, 10.8800447 49.5694502, 10.8802822 49.5693329, 10.8803426 49.5693001, 10.8806234 49.5691478, 10.8808969 49.5689994, 10.8810077 49.5689393, 10.8812718 49.5688213, 10.8815176 49.5687244, 10.8815618 49.568707, 10.8816167 49.5686862, 10.8816687 49.5686664, 10.8817749 49.5686294)",,,,,,
