osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,ref,junction
60806986,2,Rudolf-Breitscheid-Straße,tertiary,50,False,False,25.421,"LINESTRING (7.7641114 49.4393602, 7.7639988 49.4394429, 7.7639745 49.4394607, 7.7638784 49.4395314)",,,
841682079,2,Pirmasenser Straße,tertiary,30,False,True,79.34400000000001,"LINESTRING (7.7641114 49.4393602, 7.7640047 49.439316, 7.7639446 49.439291, 7.7632869 49.4390181, 7.7631863 49.4389764)",,,
951654094,2,Rudolf-Breitscheid-Straße,tertiary,50,False,True,69.479,"LINESTRING (7.7641114 49.4393602, 7.7641858 49.4393036, 7.7642243 49.4392743, 7.7647359 49.4388853)",,,
168875591,,Humboldtstraße,residential,50,False,True,69.1,"LINESTRING (7.7654102 49.4399821, 7.765384 49.4400325, 7.7653357 49.4401255, 7.7652284 49.4405519, 7.765219 49.4405894)",6.6,,
"[162551440, 1157166249]",1,Pirmasenser Straße,residential,,True,False,48.298,"LINESTRING (7.7654102 49.4399821, 7.7653657 49.439951, 7.7651806 49.4398218, 7.7649715 49.4397121, 7.7649229 49.4396866)",10.25,,
24952625,,Humboldtstraße,living_street,,False,False,50.023,"LINESTRING (7.765219 49.4405894, 7.7652758 49.4405773, 7.7653634 49.4405586, 7.7657508 49.4403676, 7.7657936 49.4403465)",5,,
24952626,,Annastraße,residential,30,True,False,64.81,"LINESTRING (7.765219 49.4405894, 7.7651674 49.440579, 7.7643893 49.4404224, 7.7643627 49.4404171)",5.1,,
168875591,,Humboldtstraße,residential,50,False,False,69.1,"LINESTRING (7.765219 49.4405894, 7.7652284 49.4405519, 7.7653357 49.4401255, 7.765384 49.4400325, 7.7654102 49.4399821)",6.6,,
168875591,,Humboldtstraße,residential,50,False,True,92.558,"LINESTRING (7.765219 49.4405894, 7.7652118 49.4406152, 7.7651592 49.4408031, 7.7650023 49.4413774, 7.7649937 49.4414088)",6.6,,
24952632,,Ziegelstraße,living_street,,False,True,118.81500000000001,"LINESTRING (7.7649937 49.4414088, 7.7649452 49.4413913, 7.7635971 49.4409064, 7.7635558 49.4408915)",5.6,,
168875591,,Humboldtstraße,residential,50,False,False,92.55799999999999,"LINESTRING (7.7649937 49.4414088, 7.7650023 49.4413774, 7.7651592 49.4408031, 7.7652118 49.4406152, 7.765219 49.4405894)",6.6,,
