osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,width
741208922,3,B 51,Dellmannstraße,primary,70,False,False,5.493,"LINESTRING (7.2100005 51.1380694, 7.2100432 51.1381109)",,,
119039222,2,B 51,Dellmannstraße,primary,70,False,True,20.243000000000002,"LINESTRING (7.2100005 51.1380694, 7.2099416 51.1380159, 7.2098382 51.1379185)",,,
693048073,1,L 157,Dabringhauser Straße,secondary,100,True,False,16.111,"LINESTRING (7.2100005 51.1380694, 7.2100464 51.1380446, 7.2100883 51.1380065, 7.2101542 51.1379622)",,,
"[119046744, 35797683, 119046743]","['2', '3']",L 157,Dabringhauser Straße,secondary,50,False,"[False, True]",103.161,"LINESTRING (7.2110185 51.1373017, 7.2110469 51.1372624, 7.2110795 51.137215, 7.2110992 51.1371841, 7.2111733 51.1370317, 7.21119 51.1370014, 7.2112111 51.1369686, 7.2112329 51.1369362, 7.2112552 51.1369086, 7.211281 51.1368775, 7.2113438 51.1368042, 7.2114013 51.1367453, 7.2115579 51.1365834, 7.2116675 51.136473)",,,
"[220410594, 107441813, 505777559]","['2', '3']",,Eich,tertiary,30,False,True,105.984,"LINESTRING (7.2110185 51.1373017, 7.2111835 51.1374168, 7.2112333 51.1374526, 7.2115806 51.1376916, 7.2117473 51.1378068, 7.2118114 51.1378537, 7.2118558 51.1378847, 7.211927 51.1379272, 7.2120684 51.1379864)",,,
"[220410592, 35797678, 107441839]","['4', '3']",L 157,Dabringhauser Straße,secondary,"['50', '100']",False,True,79.406,"LINESTRING (7.2110185 51.1373017, 7.2109389 51.1373959, 7.210897 51.1374397, 7.210882 51.1374557, 7.2107051 51.1376446, 7.2106047 51.1377369, 7.2104785 51.1378368, 7.2103871 51.1378919)",,,
"[158659876, 37178440, 142487021, 33106355, 99701307, 99701309]","['2', '3']",B 51,Dellmannstraße,primary,70,False,"[False, True]",642.496,"LINESTRING (7.2131371 51.1422495, 7.2133427 51.1424039, 7.2136178 51.142598, 7.2138553 51.1427403, 7.2139764 51.1428097, 7.2141035 51.1428786, 7.2143016 51.1429791, 7.2144789 51.1430635, 7.2146756 51.1431507, 7.2148995 51.1432419, 7.215153 51.1433365, 7.2153558 51.1434066, 7.2155022 51.1434538, 7.2156482 51.1434964, 7.2159162 51.1435719, 7.2161242 51.1436238, 7.2163953 51.143684, 7.2167215 51.1437498, 7.217196 51.1438378, 7.2175681 51.143908, 7.2184163 51.144075, 7.219086 51.1442066, 7.2191827 51.1442266, 7.2195882 51.1443104, 7.2201049 51.1444162, 7.2206106 51.1445136, 7.2209861 51.1445827, 7.2213345 51.1446469)",yes,,
"[792523672, 220345569, 792523673]",3,L 409,Wolfhagener Straße,secondary,50,False,True,54.778000000000006,"LINESTRING (7.2131371 51.1422495, 7.2129793 51.1423392, 7.212957 51.1423563, 7.2129094 51.1423926, 7.2128791 51.142421, 7.2128536 51.1424449, 7.2128114 51.1424962, 7.212785 51.1425404, 7.2127685 51.1425835, 7.2127642 51.1426035, 7.21276 51.142661)",,,
"[220410593, 792523674, 792523675]","['2', '3']",B 51,Dellmannstraße,primary,70,False,False,510.151,"LINESTRING (7.2131371 51.1422495, 7.2130363 51.1421706, 7.2126925 51.1418621, 7.212454 51.1416116, 7.2123697 51.1415094, 7.2122823 51.1413979, 7.212164 51.141238, 7.2120851 51.1411258, 7.2118841 51.14082, 7.2115534 51.1402862, 7.2111186 51.1395855, 7.2108279 51.1391252, 7.2105235 51.1386594, 7.210488 51.1386115, 7.2102553 51.1383285, 7.2101671 51.1382368, 7.2100432 51.1381109)",,,
119046743,2,L 157,Dabringhauser Straße,secondary,50,False,False,11.422,"LINESTRING (7.2116675 51.136473, 7.2117558 51.1363865)",,,
