osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,junction,maxspeed,bridge
12554530,2,L 219,Friedhofspromenade,secondary,False,False,30.814999999999998,"LINESTRING (11.5929934 51.3810953, 11.5933208 51.3812253, 11.5933725 51.3812387)",,,
25020577,,,Rudolf-Breitscheid-Straße,residential,False,True,47.92699999999999,"LINESTRING (11.5929934 51.3810953, 11.5930559 51.3811792, 11.5932763 51.381379, 11.5933249 51.38147)",,,
25020579,2,L 219,Rudolf-Breitscheid-Straße,secondary,False,True,172.592,"LINESTRING (11.5929934 51.3810953, 11.5928435 51.3809679, 11.5926208 51.3807547, 11.5922533 51.380403, 11.5922035 51.3803553, 11.5917828 51.3799526, 11.5916613 51.3798374, 11.5916207 51.3798013)",,,
25020583,1,,Döcklitzer Tor,secondary,True,False,16.612000000000002,"LINESTRING (11.5998867 51.3827718, 11.5998812 51.3827261, 11.5999056 51.3826896, 11.5999533 51.3826626, 11.5999887 51.3826537)",roundabout,,
"[1028643953, 172510675, 1028443716]",2,,Friedhofspromenade,secondary,False,True,223.533,"LINESTRING (11.5998867 51.3827718, 11.5998111 51.3827818, 11.5995815 51.3827974, 11.5994931 51.3827875, 11.5983796 51.3825067, 11.5982496 51.3824732, 11.5981591 51.3824498, 11.5979481 51.3823954, 11.5975676 51.3822973, 11.5972339 51.3822189, 11.5972199 51.3822154, 11.596874 51.3821304)",,,
893170274,1,,Döcklitzer Tor,secondary,True,False,17.26,"LINESTRING (11.6001532 51.3827874, 11.6001102 51.3828181, 11.6000705 51.3828292, 11.6000246 51.3828337, 11.5999807 51.3828293, 11.5999372 51.3828153)",roundabout,,
22989655,1,,Nebraer Tor,tertiary,True,False,18.301,"LINESTRING (11.5987111 51.374909, 11.5986881 51.3748593, 11.5986899 51.374816, 11.5986984 51.3747862, 11.5987224 51.3747499)",roundabout,,
"[235201281, 22989661]",,,Burgring,residential,False,False,311.43199999999996,"LINESTRING (11.5987111 51.374909, 11.5986585 51.3749203, 11.5984444 51.3749677, 11.5981405 51.3750149, 11.5979248 51.3750465, 11.5978119 51.3750543, 11.5975555 51.3750613, 11.597272 51.3750543, 11.5970672 51.3750455, 11.5968025 51.3750245, 11.5964612 51.3749855, 11.5962847 51.3749803, 11.5960704 51.3749845, 11.5943039 51.3747526)",,,
326793285,,,An der Geistpromenade,residential,True,False,17.728,"LINESTRING (11.5993286 51.3749369, 11.5994182 51.3750862)",,,
893343889,1,,Nebraer Tor,tertiary,True,False,13.808999999999997,"LINESTRING (11.5993286 51.3749369, 11.5992782 51.374968, 11.5991988 51.3750041, 11.5991714 51.3750115)",roundabout,,
114331817,,,An der Geistpromenade,residential,False,False,23.055,"LINESTRING (11.5996671 51.3752235, 11.5994182 51.3750862)",,,
"[1028660883, 35065246]",,,Nemsdorfer Weg,residential,True,False,128.191,"LINESTRING (11.5996671 51.3752235, 11.5997232 51.3751932, 11.5998457 51.3751652, 11.6003138 51.3751642, 11.6009899 51.3751769, 11.6013955 51.3751768, 11.6014871 51.3751707)",,,
