osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,name,lanes,ref
8590065,secondary,50,roundabout,True,False,17.126,"LINESTRING (9.6526706 48.0089274, 9.6526852 48.0089566, 9.6526869 48.0089874, 9.6526758 48.0090173, 9.6526526 48.0090439, 9.6526192 48.0090651)",,,
"[24680230, 958614849, 943508206, 943508207]",tertiary,50,,False,False,107.571,"LINESTRING (9.6526706 48.0089274, 9.6527182 48.0089136, 9.652841 48.0088648, 9.6529529 48.0088261, 9.6531542 48.0087502, 9.6533637 48.0086647, 9.6534075 48.0086477, 9.6536063 48.0085706, 9.6536961 48.008536, 9.6539257 48.0084477)",Buchauer Straße,2,
8590065,secondary,50,roundabout,True,False,19.101,"LINESTRING (9.6526192 48.0090651, 9.6525731 48.0090803, 9.6525223 48.0090852, 9.6524717 48.0090793, 9.6524264 48.0090632, 9.6523908 48.0090384)",,,
19871990,tertiary,,,False,False,143.177,"LINESTRING (9.6576417 48.004859, 9.6577361 48.0049117, 9.6578442 48.0049714, 9.6579231 48.0049938, 9.6580054 48.0050036, 9.6581352 48.0049942, 9.6592911 48.0048281, 9.6594703 48.0048249)",Biberacher Straße,2,L 284
166880014,tertiary,20,,False,True,85.911,"LINESTRING (9.6576417 48.004859, 9.65731 48.005081, 9.657112 48.0052146, 9.6569826 48.0053118, 9.656902 48.0053682, 9.6568345 48.0054112)",Wilhelm-Schussen-Straße,,
166880015,tertiary,20,,False,False,32.662000000000006,"LINESTRING (9.6576417 48.004859, 9.6576968 48.0048028, 9.6577365 48.00473, 9.6578086 48.004589)",Wilhelm-Schussen-Straße,,L 284
25015473,tertiary,50,,True,False,29.79,"LINESTRING (9.6585174 48.0032525, 9.6584712 48.0031994, 9.6584157 48.0031398, 9.6583635 48.0030868, 9.6582978 48.0030288)",Aulendorfer Straße,,
166880015,tertiary,20,,False,True,42.216,"LINESTRING (9.6585174 48.0032525, 9.6585029 48.0032805, 9.6585003 48.0033082, 9.6585025 48.0033369, 9.6584983 48.0033733, 9.6584832 48.0034084, 9.6584518 48.00346, 9.6583549 48.0036115)",Wilhelm-Schussen-Straße,,L 284
329308612,tertiary,,,False,True,16.339,"LINESTRING (9.6585174 48.0032525, 9.6585417 48.0032127, 9.6585643 48.0031924, 9.6585732 48.0031844, 9.6585937 48.0031681, 9.6586306 48.0031277)",Bahnhofstraße,,
"[286300737, 958800276]",tertiary,50,,False,True,6.417999999999999,"LINESTRING (9.6549015 48.0002626, 9.6549179 48.0002853, 9.6549386 48.0003147)",Aulendorfer Straße,2,
183330272,tertiary,50,,False,False,51.56,"LINESTRING (9.6598593 48.0009723, 9.6597577 48.0011154, 9.6596633 48.0012556, 9.6595779 48.0013959)",Bahnhofstraße,,
25649265,residential,,,False,True,122.739,"LINESTRING (9.6595779 48.0013959, 9.6594339 48.0013796, 9.6591151 48.0013528, 9.6579406 48.001262)",Abt-Rohrer-Straße,,
183330272,tertiary,50,,False,False,145.846,"LINESTRING (9.6595779 48.0013959, 9.659467 48.0015999, 9.6593917 48.0017514, 9.6593081 48.0019015, 9.6592573 48.0019928, 9.6592025 48.002098, 9.6589062 48.002628)",Bahnhofstraße,,
183330272,tertiary,50,,False,True,51.56,"LINESTRING (9.6595779 48.0013959, 9.6596633 48.0012556, 9.6597577 48.0011154, 9.6598593 48.0009723)",Bahnhofstraße,,
25649264,residential,,,False,False,89.842,"LINESTRING (9.6589062 48.002628, 9.6578818 48.0024172, 9.657805 48.0024014, 9.657752 48.0023905)",Ludwigstraße,,
183330272,tertiary,50,,False,False,59.227999999999994,"LINESTRING (9.6589062 48.002628, 9.6588708 48.0026906, 9.6587414 48.0029308, 9.6586306 48.0031277)",Bahnhofstraße,,
183330272,tertiary,50,,False,True,145.846,"LINESTRING (9.6589062 48.002628, 9.6592025 48.002098, 9.6592573 48.0019928, 9.6593081 48.0019015, 9.6593917 48.0017514, 9.659467 48.0015999, 9.6595779 48.0013959)",Bahnhofstraße,,
790375839,residential,30,,False,True,33.807,"LINESTRING (9.6497682 48.0089874, 9.6496875 48.0086882)",Schillerstraße,,
