osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,name,width,est_width,access,bridge
24828525,1,tertiary,50,roundabout,True,False,21.391000000000002,"LINESTRING (7.8433514 51.0277197, 7.8433297 51.0277189, 7.8433017 51.0277147, 7.8432767 51.0277096, 7.8432559 51.0277015, 7.8432172 51.0276812, 7.8431886 51.0276552, 7.843172 51.0276253, 7.8431718 51.0275916)",,,,,,
"[625504449, 625504446, 24828526]",2,tertiary,50,,False,False,89.191,"LINESTRING (7.8433514 51.0277197, 7.8433347 51.0278081, 7.8433264 51.0278401, 7.8432991 51.0279478, 7.8431354 51.0284508, 7.8431169 51.0285078)",L 512,Franziskanerstraße,,,,
8509388,,residential,30,,True,False,50.367000000000004,"LINESTRING (7.8429067 51.0291972, 7.8429908 51.0292311, 7.8430983 51.0292793, 7.8434647 51.0294823)",,Westfälische Straße,,,,
43008382,3,tertiary,50,,False,False,65.92999999999999,"LINESTRING (7.8429067 51.0291972, 7.8428748 51.0297392, 7.8428711 51.0297897)",L 512,Franziskanerstraße,,,,
"[684263571, 1080716206]",2,tertiary,50,,False,True,78.055,"LINESTRING (7.8429067 51.0291972, 7.8430538 51.0287146, 7.8431169 51.0285078)",L 512,Franziskanerstraße,,,,
46512865,2,tertiary,50,,False,False,114.06099999999999,"LINESTRING (7.8428183 51.0300196, 7.8427697 51.0302063, 7.8427442 51.0303122, 7.8427191 51.0305627, 7.8426703 51.0310402)",L 512,In der Wüste,,,,
146545712,2,tertiary,50,,False,True,25.829,"LINESTRING (7.8428183 51.0300196, 7.842851 51.0298773, 7.8428711 51.0297897)",L 512,Franziskanerstraße,,,,
46512865,2,tertiary,50,,False,True,114.06099999999999,"LINESTRING (7.8426703 51.0310402, 7.8427191 51.0305627, 7.8427442 51.0303122, 7.8427697 51.0302063, 7.8428183 51.0300196)",L 512,In der Wüste,,,,
"[625504448, 384819855]",1,tertiary,50,,True,False,47.486,"LINESTRING (7.8426703 51.0310402, 7.8426695 51.0311816, 7.8426609 51.0312181, 7.842645 51.0312546, 7.8425941 51.0313153, 7.8424986 51.0313789, 7.842446 51.0314226)",L 512,In der Wüste,,,,
8509398,2,residential,50,,False,True,58.749,"LINESTRING (7.8503205 51.0316015, 7.850097 51.0310922)",,Rochusstraße,,,,
