osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width,lanes,ref
25033645,Bismarckstraße,residential,30,False,False,51.153000000000006,"LINESTRING (7.2925261 51.2868063, 7.2920244 51.2867001, 7.2918296 51.2866584)",,,
25033645,Bismarckstraße,residential,30,False,True,38.719,"LINESTRING (7.2925261 51.2868063, 7.2926927 51.2868369, 7.292859 51.2868684, 7.2930614 51.2869019)",,,
"[681472018, 10508181, 25033550]","['Römerstraße', 'Neumarkt']",residential,30,False,False,364.7749999999999,"LINESTRING (7.2937606 51.2856644, 7.2938243 51.2855425, 7.294081 51.2852524, 7.2944485 51.2849083, 7.2945094 51.284893, 7.2945745 51.2848931, 7.2946375 51.2849211, 7.2946758 51.2849672, 7.2948792 51.2854023, 7.2948855 51.2854108, 7.2949772 51.2855324, 7.2954021 51.2860958, 7.2957086 51.286549, 7.295853 51.2867438, 7.2960968 51.2869998)",7,,
24730550,Neumarkt,residential,30,True,False,141.658,"LINESTRING (7.2937606 51.2856644, 7.2938306 51.2858649, 7.2938642 51.2861316, 7.2938828 51.2862831, 7.2939082 51.2864493, 7.2939275 51.2866071, 7.2939319 51.2866229, 7.2939477 51.286766, 7.2939729 51.2869298)",,,
"[475369806, 814079422, 24730406]",Untermauerstraße,primary,50,False,False,29.709,"LINESTRING (7.2914225 51.2841291, 7.2914169 51.284117, 7.2914068 51.2840928, 7.2913739 51.2840665, 7.291278 51.284025, 7.2911455 51.2839727, 7.291111 51.2839596)",,2,B 483
25034462,Bahnhofstraße,living_street,,False,False,16.288,"LINESTRING (7.2914225 51.2841291, 7.2915452 51.284118, 7.2916543 51.2841082)",,,
"[430116121, 475369805, 302750311]",Bahnhofstraße,primary,50,False,True,79.989,"LINESTRING (7.2914225 51.2841291, 7.2914135 51.2841737, 7.291397 51.2842085, 7.2913514 51.2842599, 7.2912352 51.28437, 7.2909986 51.2845885, 7.2908408 51.2847432)",,2,B 483
217809953,Moltkestraße,residential,30,False,False,29.763,"LINESTRING (7.2965234 51.2870212, 7.2960968 51.2869998)",,,
92848967,Moltkestraße,residential,,False,True,85.163,"LINESTRING (7.2965234 51.2870212, 7.296678 51.2870102, 7.2967981 51.2870157, 7.2968881 51.2870401, 7.2975833 51.2873465)",,,
"[578189169, 25034039]",Wilhelmstraße,residential,50,False,True,225.40699999999998,"LINESTRING (7.2965234 51.2870212, 7.296516 51.2869108, 7.2965947 51.2862823, 7.2966063 51.2859977, 7.2966153 51.285941, 7.2966255 51.2858769, 7.2966406 51.285782, 7.2966535 51.285701, 7.2966661 51.2856221, 7.2967085 51.2854008, 7.296769 51.2852185, 7.2967897 51.2851381, 7.2968091 51.2850881, 7.2968357 51.2850077)",,,
475433679,Bahnhofstraße,primary,50,False,False,8.414,"LINESTRING (7.2904715 51.2863822, 7.2904768 51.2863066)",,2,B 483
"[302749632, 302749635, 475433673, 475433674, 475433679]",Bahnhofstraße,primary,50,False,True,231.406,"LINESTRING (7.2904715 51.2863822, 7.2904708 51.2864017, 7.290455 51.2865762, 7.2904177 51.2867397, 7.2903147 51.2871141, 7.2902358 51.287353, 7.2901326 51.2876563, 7.2900026 51.2879563, 7.2899712 51.2880275, 7.2898721 51.288266, 7.2898139 51.2884183)",,"['2', '3']",B 483
10507912,Kaiserstraße,secondary,50,False,False,40.445,"LINESTRING (7.2898139 51.2884183, 7.2900085 51.2884289, 7.2903899 51.2884671)",,3,L 726
"[24730992, 475435136, 475607469]",Viktoriastraße,secondary,50,False,False,241.33200000000002,"LINESTRING (7.2898139 51.2884183, 7.2896274 51.2884004, 7.2890756 51.2883062, 7.2885583 51.2882217, 7.2872312 51.2880096, 7.2865227 51.2878913, 7.2864532 51.2878797)",,"['2', '3']",L 726
"[302749632, 302749635, 475433673, 475433674, 475433679]",Bahnhofstraße,primary,50,False,False,231.406,"LINESTRING (7.2898139 51.2884183, 7.2898721 51.288266, 7.2899712 51.2880275, 7.2900026 51.2879563, 7.2901326 51.2876563, 7.2902358 51.287353, 7.2903147 51.2871141, 7.2904177 51.2867397, 7.290455 51.2865762, 7.2904708 51.2864017, 7.2904715 51.2863822)",,"['2', '3']",B 483
24730515,Schulstraße,residential,30,False,False,224.93,"LINESTRING (7.2918296 51.2866584, 7.2913185 51.2873688, 7.2908654 51.2879686, 7.2903899 51.2884671)",,,
"[24730515, 550887239]",Schulstraße,residential,30,False,True,240.26100000000002,"LINESTRING (7.2918296 51.2866584, 7.2919887 51.2864466, 7.292186 51.2862218, 7.2924083 51.2860003, 7.2926348 51.285771, 7.2926401 51.285765, 7.2928758 51.2854967, 7.2930284 51.2852783, 7.293168 51.2850552, 7.2932121 51.2849292, 7.2932896 51.2847153)",,,
25033645,Bismarckstraße,residential,30,False,True,51.153000000000006,"LINESTRING (7.2918296 51.2866584, 7.2920244 51.2867001, 7.2925261 51.2868063)",,,
"[24730520, 475433681, 475433677]",Bismarckstraße,residential,30,True,False,99.36699999999999,"LINESTRING (7.2918296 51.2866584, 7.2908902 51.2864637, 7.2908108 51.2864493, 7.2906012 51.2864034, 7.2905434 51.2863907, 7.2904715 51.2863822)",,2,
10507949,Neumarkt,residential,30,True,False,147.678,"LINESTRING (7.2930614 51.2869019, 7.2931298 51.2867509, 7.2932016 51.2865923, 7.2932687 51.2864442, 7.2932746 51.2864312, 7.2933438 51.2862783, 7.2933847 51.2861881, 7.2934108 51.2861305, 7.2935174 51.2858951, 7.293615 51.2857531, 7.2937606 51.2856644)",,,
25033645,Bismarckstraße,residential,30,False,False,38.718999999999994,"LINESTRING (7.2930614 51.2869019, 7.292859 51.2868684, 7.2926927 51.2868369, 7.2925261 51.2868063)",,,
"[44908938, 25033645]","['Neumarkt', 'Bismarckstraße']",residential,30,False,True,63.534,"LINESTRING (7.2930614 51.2869019, 7.2931949 51.2869155, 7.2939729 51.2869298)",,,
25029619,Hauptstraße,residential,50,False,False,57.914,"LINESTRING (7.2986213 51.2858502, 7.2990641 51.2862913)",,,
"[578189168, 82237484]",Hauptstraße,residential,50,False,False,160.02,"LINESTRING (7.2986213 51.2858502, 7.2984362 51.2856831, 7.298254 51.28552, 7.2981703 51.2854588, 7.2980906 51.2854088, 7.298036 51.2853776, 7.2978955 51.2853148, 7.2977791 51.285272, 7.2977491 51.285261, 7.2977071 51.2852482, 7.2971964 51.2851177, 7.296986 51.2850524, 7.2968357 51.2850077)",,,
217809953,Moltkestraße,residential,30,False,False,147.909,"LINESTRING (7.2960968 51.2869998, 7.2939729 51.2869298)",,,
217809953,Moltkestraße,residential,30,False,True,29.763,"LINESTRING (7.2960968 51.2869998, 7.2965234 51.2870212)",,,
"[681472018, 10508181, 25033550]","['Neumarkt', 'Römerstraße']",residential,30,False,True,364.775,"LINESTRING (7.2960968 51.2869998, 7.295853 51.2867438, 7.2957086 51.286549, 7.2954021 51.2860958, 7.2949772 51.2855324, 7.2948855 51.2854108, 7.2948792 51.2854023, 7.2946758 51.2849672, 7.2946375 51.2849211, 7.2945745 51.2848931, 7.2945094 51.284893, 7.2944485 51.2849083, 7.294081 51.2852524, 7.2938243 51.2855425, 7.2937606 51.2856644)",7,,
44908819,Untermauerstraße,living_street,,False,False,137.19400000000002,"LINESTRING (7.2932896 51.2847153, 7.2931061 51.2846601, 7.2929247 51.2846165, 7.2926492 51.2845398, 7.2923579 51.2844402, 7.2922762 51.2844247, 7.2922151 51.2844175, 7.2920987 51.2843865, 7.2919808 51.2843301, 7.2918727 51.2842891, 7.291679 51.2842046, 7.2916543 51.2841082)",,,
"[45189554, 44908819]","['Untermauerstraße', 'Schulstraße']",living_street,,False,True,37.071,"LINESTRING (7.2932896 51.2847153, 7.2933189 51.2846302, 7.2933354 51.28458, 7.2933981 51.2843889)",5,,
"[24730515, 550887239]",Schulstraße,residential,30,False,False,240.26100000000002,"LINESTRING (7.2932896 51.2847153, 7.2932121 51.2849292, 7.293168 51.2850552, 7.2930284 51.2852783, 7.2928758 51.2854967, 7.2926401 51.285765, 7.2926348 51.285771, 7.2924083 51.2860003, 7.292186 51.2862218, 7.2919887 51.2864466, 7.2918296 51.2866584)",,,
"[94531603, 25034117]","['Hauptstraße', 'Drosselstraße']",residential,,False,"[False, True]",166.32100000000003,"LINESTRING (7.2973758 51.2837594, 7.2970408 51.2841661, 7.2969702 51.2842503, 7.2969353 51.2842949, 7.2968468 51.2844041, 7.2966962 51.2845992, 7.2964899 51.2848499, 7.2965036 51.2848703, 7.2965749 51.2849105, 7.2966407 51.2849332, 7.2967069 51.2849525, 7.2968357 51.2850077)",,,
207744758,Westfalendamm,residential,30,False,False,92.81299999999999,"LINESTRING (7.2973758 51.2837594, 7.2984259 51.2839506, 7.2986583 51.2839901)",,,
207744758,Westfalendamm,residential,30,False,True,90.55199999999999,"LINESTRING (7.2973758 51.2837594, 7.297251 51.283637, 7.2970497 51.2835849, 7.2966647 51.2835339, 7.2962366 51.2834312)",,,
25034190,Sternenburgstraße,residential,,False,True,85.57300000000001,"LINESTRING (7.2986583 51.2839901, 7.2989166 51.2837465, 7.2993693 51.2833623)",,,
207744758,Westfalendamm,residential,30,False,True,92.81299999999999,"LINESTRING (7.2986583 51.2839901, 7.2984259 51.2839506, 7.2973758 51.2837594)",,,
25034190,Sternenburgstraße,residential,,False,False,85.57300000000001,"LINESTRING (7.2993693 51.2833623, 7.2989166 51.2837465, 7.2986583 51.2839901)",,,
25034462,Bahnhofstraße,living_street,,False,True,16.288,"LINESTRING (7.2916543 51.2841082, 7.2915452 51.284118, 7.2914225 51.2841291)",,,
"[43601521, 681244062]","['Bahnhofstraße', 'Altmarkt']",living_street,,False,False,123.624,"LINESTRING (7.2916543 51.2841082, 7.2916332 51.2840259, 7.2918665 51.2838037, 7.2919129 51.2837594, 7.2920518 51.2836029, 7.2922507 51.2833916, 7.2923186 51.2833207, 7.2923539 51.2832874, 7.2924747 51.2832603, 7.292605 51.2832735)","['4', '5']",,
44908819,Untermauerstraße,living_street,,False,True,137.194,"LINESTRING (7.2916543 51.2841082, 7.291679 51.2842046, 7.2918727 51.2842891, 7.2919808 51.2843301, 7.2920987 51.2843865, 7.2922151 51.2844175, 7.2922762 51.2844247, 7.2923579 51.2844402, 7.2926492 51.2845398, 7.2929247 51.2846165, 7.2931061 51.2846601, 7.2932896 51.2847153)",,,
"[25034475, 44908939, 43153277, 45189348]","['Kirchstraße', 'Südstraße', 'Altmarkt', 'Kirchplatz']","['living_street', 'residential']",,False,False,197.626,"LINESTRING (7.292605 51.2832735, 7.2927091 51.28329, 7.2928755 51.2833181, 7.2930905 51.2833595, 7.2934174 51.2834705, 7.2936252 51.2835603, 7.2938139 51.2836283, 7.2940383 51.2835635, 7.2945506 51.2834113, 7.2949164 51.2833338, 7.2949741 51.2833216, 7.2951964 51.2832778)","['4', '3.4', '3.7']",,
"[43601521, 681244062]","['Bahnhofstraße', 'Altmarkt']",living_street,,False,True,123.624,"LINESTRING (7.292605 51.2832735, 7.2924747 51.2832603, 7.2923539 51.2832874, 7.2923186 51.2833207, 7.2922507 51.2833916, 7.2920518 51.2836029, 7.2919129 51.2837594, 7.2918665 51.2838037, 7.2916332 51.2840259, 7.2916543 51.2841082)","['4', '5']",,
"[681475057, 25299458]",Kölner Straße,residential,,False,True,93.048,"LINESTRING (7.292605 51.2832735, 7.2926871 51.2830897, 7.2926941 51.2830663, 7.292787 51.2827563, 7.2927289 51.2824517)",,,
25034562,Max-Klein-Straße,residential,30,False,False,135.311,"LINESTRING (7.2962366 51.2834312, 7.2963942 51.2833019, 7.2967117 51.2830395, 7.2967505 51.2829742, 7.2967636 51.2829377, 7.2967484 51.2827667, 7.296726 51.2824339, 7.2966968 51.2823216)",,,
45189500,Westfalendamm,residential,30,False,True,66.896,"LINESTRING (7.2962366 51.2834312, 7.2958381 51.2833107, 7.2957096 51.2832718, 7.2957042 51.2832702, 7.2956882 51.2832661, 7.29554 51.2832232, 7.2955322 51.2832213, 7.2953657 51.2831761)",,,
207744758,Westfalendamm,residential,30,False,False,90.55199999999999,"LINESTRING (7.2962366 51.2834312, 7.2966647 51.2835339, 7.2970497 51.2835849, 7.297251 51.283637, 7.2973758 51.2837594)",,,
25029619,Hauptstraße,residential,50,False,True,57.914,"LINESTRING (7.2990641 51.2862913, 7.2986213 51.2858502)",,,
