osmid,lanes,name,highway,oneway,reversed,length,access,geometry,ref,maxspeed,width,junction,bridge
"[23723667, 23494132]",2,Schläferweg,"['residential', 'unclassified']",False,False,42.37799999999999,no,"LINESTRING (8.0118946 50.3705223, 8.0119742 50.3703963, 8.0120225 50.3703253, 8.0120659 50.370273, 8.0121053 50.3702263, 8.0121446 50.3701766)",,,,,
23494132,2,Schläferweg,residential,False,True,54.022999999999996,,"LINESTRING (8.0118946 50.3705223, 8.0117675 50.3707182, 8.0117073 50.3707929, 8.0116615 50.3708374, 8.011604 50.3708771, 8.0115528 50.370908, 8.0115038 50.3709289)",,,,,
788602552,1,Schläferweg,residential,False,False,75.98299999999999,,"LINESTRING (8.0118946 50.3705223, 8.0118288 50.370512, 8.0117608 50.370516, 8.0113752 50.3706118, 8.0113616 50.3706309, 8.0114847 50.3708764, 8.0115038 50.3709289)",,,,,
367863946,2,,primary,False,True,167.124,,"LINESTRING (8.0154259 50.3699588, 8.0152881 50.3699524, 8.0147966 50.3699416, 8.0138813 50.369943, 8.0136976 50.3699481, 8.0134764 50.3699574, 8.0133398 50.3699704, 8.0132451 50.369982, 8.0131669 50.3699939, 8.0130816 50.3700135)",B 417,,,,
403758900,1,,primary,True,False,27.906000000000002,,"LINESTRING (8.0154259 50.3699588, 8.0156043 50.3699665, 8.0156979 50.3699802, 8.0158066 50.3700105)",B 417,,,,
23693796,,Bahnhofstraße,residential,False,False,193.816,,"LINESTRING (8.0168707 50.3699859, 8.0169362 50.3700163, 8.0170297 50.3700425, 8.019141 50.3704139, 8.0194885 50.3704727)",,50,,,
403758912,2,Wilhelmstraße,primary,False,True,36.414,,"LINESTRING (8.0168707 50.3699859, 8.0167483 50.3700363, 8.0166476 50.3700639, 8.0166357 50.3700672, 8.016519 50.3700912, 8.0163992 50.3701077)",B 417,50,,,
403758915,2,Wilhelmstraße,primary,False,False,49.976,,"LINESTRING (8.0168707 50.3699859, 8.0169989 50.3699297, 8.0170448 50.3699096, 8.0172645 50.369793, 8.0173598 50.3697408, 8.0174124 50.3697007)",B 417,50,,,
25449988,,Limburger Straße,primary,False,False,19.304,,"LINESTRING (8.0240165 50.3700706, 8.024277 50.3701209)",B 417,50,,,
649106803,,Limburger Straße,primary,False,True,10.029,,"LINESTRING (8.0240165 50.3700706, 8.0238774 50.3700544)",B 417,50,,,
"[23649633, 1016597670]",,Rudolf-Dietz-Straße,tertiary,False,False,26.324,,"LINESTRING (8.0240165 50.3700706, 8.0240352 50.370022, 8.024062 50.3699718, 8.02411 50.3699276, 8.0241721 50.369892, 8.0242089 50.3698794)",,50,,,
23693804,,Hainstraße,residential,False,True,66.319,,"LINESTRING (8.0139521 50.373319, 8.0137574 50.3728244, 8.013703 50.3727452)",,50,7,,
