osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,ref,width,bridge
688047197,2,Chemnitzer Straße,tertiary,False,True,9.098,,"LINESTRING (12.9271296 51.1565683, 12.9271101 51.1566492)",,,
1217760952,,Chemnitzer Straße,tertiary,False,False,4.43,50,"LINESTRING (12.9271296 51.1565683, 12.9271409 51.1565291)",,,
259044620,,Johannistalstraße,tertiary,True,False,43.02,50,"LINESTRING (12.9271296 51.1565683, 12.927217 51.156583, 12.9272819 51.1565846, 12.9274528 51.1565548, 12.9275827 51.1565187, 12.9277091 51.1564782)",,,
274814122,2,Bergstraße,tertiary,False,False,10.361,50,"LINESTRING (12.9284043 51.1627978, 12.9284575 51.1627108)",K 7515,,
"[899398049, 1169533422]","['2', '1']",An der Muldenwiese,residential,True,False,81.06099999999999,,"LINESTRING (12.9295384 51.1629112, 12.9294156 51.162925, 12.9292597 51.1629249, 12.9290058 51.1629074, 12.928559 51.1628277, 12.9284043 51.1627978)",,"['6.0', '6.5']",
27746637,,Breite Gasse,residential,False,False,55.479,,"LINESTRING (12.9226286 51.1585265, 12.9218345 51.1584966)",,,
27746656,,Ziegelgasse,residential,False,False,57.641999999999996,,"LINESTRING (12.9226286 51.1585265, 12.9229168 51.1583991, 12.922999 51.1583222, 12.9230555 51.1582497, 12.9230706 51.1581968, 12.9230923 51.1581279)",,,
27746825,,Webergasse,residential,False,True,200.334,,"LINESTRING (12.9226286 51.1585265, 12.9226753 51.1586297, 12.9227695 51.1587038, 12.9228601 51.1587931, 12.9228827 51.158927, 12.9229376 51.159063, 12.9229958 51.1591502, 12.9230545 51.1592228, 12.9231975 51.1595079, 12.9232629 51.1596442, 12.9234259 51.1598972, 12.9236086 51.1602054)",,,
27746637,,Breite Gasse,residential,False,True,55.479,,"LINESTRING (12.9218345 51.1584966, 12.9226286 51.1585265)",,,
27746637,,Breite Gasse,residential,False,False,53.958,,"LINESTRING (12.9218345 51.1584966, 12.9216375 51.1585177, 12.9213607 51.1585822, 12.9211204 51.1586706)",,,
37710989,,Quergasse,residential,True,False,44.392,,"LINESTRING (12.9218345 51.1584966, 12.9218542 51.1582914, 12.9218528 51.1581695, 12.921892 51.1581021)",,,
37704684,,Eulenbergstraße,residential,False,False,101.584,,"LINESTRING (12.921892 51.1581021, 12.922521 51.1572781)",,,
1042230879,,Brösener Gasse,residential,True,False,83.756,,"LINESTRING (12.921892 51.1581021, 12.9230923 51.1581279)",,,
"[259974438, 1042230878]",,"['Kleine Viehweide', 'Brösener Gasse']",residential,False,"[False, True]",158.184,,"LINESTRING (12.921892 51.1581021, 12.9213514 51.1579938, 12.9210856 51.1579305, 12.9208652 51.1578668, 12.9207157 51.1578497, 12.9205649 51.1578649, 12.9201589 51.1583468)",,,
"[37689232, 37689234]",2,Turnerstraße,residential,False,False,85.50999999999999,,"LINESTRING (12.924773 51.1589741, 12.924725 51.1590205, 12.9247237 51.1590978, 12.9247346 51.1592632, 12.9254819 51.1593085)",,,
37705232,2,Chemnitzer Straße,residential,False,False,34.938,30,"LINESTRING (12.9265414 51.1588105, 12.926607 51.158499)",,,
37705232,2,Chemnitzer Straße,residential,False,True,13.203,30,"LINESTRING (12.9265414 51.1588105, 12.926519 51.1589284)",,,
1083266612,2,Lindenplatz,residential,False,True,38.954,30,"LINESTRING (12.9265414 51.1588105, 12.9270907 51.1588741)",,,
