osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,tunnel,bridge,access,junction
62079010,L 278,Marktstraße,secondary,False,True,46.344,"LINESTRING (7.7340905 50.7833663, 7.7339355 50.7837714)",,,,,,
"[62079010, 500761682]",L 278,Marktstraße,secondary,False,False,39.903,"LINESTRING (7.7340905 50.7833663, 7.7342117 50.7830888, 7.7342416 50.7830204)",,,,,,
168585896,,Bogenstraße,residential,False,False,45.025,"LINESTRING (7.7340905 50.7833663, 7.7345549 50.7834482, 7.7346392 50.7834746, 7.7346741 50.7835087)",,,,,,
28028921,,Im Buschkamp,residential,False,False,50.55799999999999,"LINESTRING (7.7342416 50.7830204, 7.734308 50.7828767, 7.7343365 50.7827748, 7.7343401 50.7827061, 7.7343106 50.782647, 7.7342495 50.7825877)",,,,,,
"[776490104, 74497147]",B 62,Bahnhofstraße,primary,False,False,275.55100000000004,"LINESTRING (7.7342416 50.7830204, 7.7339175 50.7829701, 7.7330521 50.7828215, 7.7323714 50.7827013, 7.731997 50.7826253, 7.7312029 50.7824471, 7.7304996 50.7822892)",50,,,,,
"[500761682, 62079010]",L 278,Marktstraße,secondary,False,True,39.903,"LINESTRING (7.7342416 50.7830204, 7.7342117 50.7830888, 7.7340905 50.7833663)",,,,,,
"[356594865, 419919867, 223614621, 506893215]",B 62,,primary,False,True,246.052,"LINESTRING (7.7342416 50.7830204, 7.7343884 50.7830443, 7.7349902 50.7831422, 7.7352835 50.7831856, 7.7355095 50.7832064, 7.7357279 50.7832126, 7.7359396 50.7832102, 7.7361262 50.783194, 7.7363607 50.7831659, 7.7366838 50.7831272, 7.7370688 50.7830941, 7.7372647 50.7830843, 7.7374427 50.7830771, 7.737689 50.7830612)",,"['2', '3']",,,,
62079010,L 278,Marktstraße,secondary,False,False,46.344,"LINESTRING (7.7339355 50.7837714, 7.7340905 50.7833663)",,,,,,
62079010,L 278,Marktstraße,secondary,False,True,23.8,"LINESTRING (7.7339355 50.7837714, 7.733895 50.783886, 7.7338924 50.7839826)",,,,,,
168585906,,Im Schmittchen,residential,False,False,150.934,"LINESTRING (7.7339355 50.7837714, 7.7338308 50.7837199, 7.7336776 50.7836024, 7.7334948 50.7834933, 7.7328609 50.7831899, 7.7327047 50.7831293, 7.7325317 50.7830971, 7.7321709 50.7830699)",,,,,,
"[29284800, 29284801, 25851573]",K 66,Güterbahnhof,tertiary,False,False,49.783,"LINESTRING (7.7274332 50.781903, 7.7274891 50.7818009, 7.7275817 50.7816535, 7.7276437 50.7815547, 7.7276844 50.7814845)",,,yes,,,
"[151358086, 356718942, 24525119]",K 66,Güterbahnhof,tertiary,False,True,66.47800000000001,"LINESTRING (7.7274332 50.781903, 7.7274046 50.7820018, 7.7274066 50.7820467, 7.7274187 50.7821136, 7.7274518 50.7821776, 7.7275166 50.7822654, 7.727585 50.7823273, 7.7276915 50.7823857, 7.7277724 50.7824092)",,,,,,
24525119,K 66,Güterbahnhof,tertiary,False,False,4.648,"LINESTRING (7.7281552 50.7825667, 7.7281002 50.7825435)",,,,,,
24525119,K 66,Güterbahnhof,tertiary,False,True,16.108,"LINESTRING (7.7281552 50.7825667, 7.7283517 50.7826412)",,,,,,
"[24525029, 24525030, 25851567]",L 278,Marktstraße,secondary,False,False,139.589,"LINESTRING (7.7319813 50.7850719, 7.732122 50.7850316, 7.732265 50.7849762, 7.7324741 50.7848737, 7.7332705 50.7844317, 7.7333844 50.784365, 7.7335056 50.7842776)",,,,yes,,
"[52387347, 52387348, 52387349, 500804342]",L 278,Morsbacher Straße,secondary,False,True,119.86500000000001,"LINESTRING (7.7319813 50.7850719, 7.7318158 50.7851137, 7.7315373 50.7851881, 7.7314309 50.7852197, 7.7312765 50.7852726, 7.7309812 50.7854447, 7.7306535 50.7857078)",,,,yes,,
54151189,K 71,Birkener Straße,tertiary,False,True,38.228,"LINESTRING (7.7319813 50.7850719, 7.7320854 50.7852358, 7.7320955 50.785333, 7.7320722 50.7854012)",,,,,,
95801222,K 71,Birkener Straße,tertiary,False,True,20.111,"LINESTRING (7.7320722 50.7854012, 7.7319112 50.7855507)",,,,,,
