osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,access,width,est_width
"[10690752, 157030983]","['2', '3']","['K 21', 'K 7']",Kreuzstraße,secondary,30,False,False,101.911,"LINESTRING (6.9116716 51.2244417, 6.9117041 51.2243156, 6.9117358 51.2242724, 6.9119904 51.2238984, 6.9120293 51.2238413, 6.912148 51.2236292, 6.9121689 51.2235832)",,,,,
"[354355641, 354355625, 157031011]","['2', '3']",L 357,Neanderstraße,secondary,50,False,True,184.369,"LINESTRING (6.9116716 51.2244417, 6.9114183 51.224415, 6.9113715 51.2244101, 6.9112812 51.2244006, 6.9109898 51.2243759, 6.9107115 51.2243702, 6.9102149 51.2243767, 6.9099456 51.2243893, 6.9096322 51.2244147, 6.9090418 51.2244674)",,,,,
"[354355616, 354355619, 25017031, 30880744, 1030971598]","['2', '3']",L 357,Neanderstraße,secondary,50,False,False,216.33800000000002,"LINESTRING (6.9060752 51.2250004, 6.9062496 51.2249338, 6.9062996 51.2249148, 6.9067773 51.2247847, 6.9071053 51.224727, 6.9073723 51.2246801, 6.9076582 51.2246298, 6.9081458 51.2245645, 6.9085751 51.2245208, 6.9087389 51.2245017, 6.9090418 51.2244674)",yes,,,,
"[157030977, 354355564]","['2', '3']",,Bismarckstraße,residential,50,False,True,108.972,"LINESTRING (6.9060752 51.2250004, 6.9059927 51.2248865, 6.9059724 51.2248584, 6.9057866 51.224649, 6.9057555 51.2246139, 6.9056532 51.2244924, 6.9054634 51.2242625, 6.9053586 51.2241296)",,,,,
"[354355628, 354355639]","['2', '3']",L 357,Neanderstraße,secondary,50,False,True,99.471,"LINESTRING (6.9060752 51.2250004, 6.9058618 51.2250787, 6.9058222 51.2250952, 6.9054762 51.2252254, 6.9054442 51.2252375, 6.9048728 51.2254825)",,,,,
23892441,1,,,tertiary,50,True,False,18.656,"LINESTRING (6.9068627 51.219067, 6.9069441 51.2190884, 6.90698 51.2191105, 6.9070078 51.2191469, 6.9070076 51.2191875)",,roundabout,,,
354355653,2,,Schlüterstraße,tertiary,50,False,True,30.52,"LINESTRING (6.9068627 51.219067, 6.9069116 51.2189771, 6.9070415 51.2188171)",,,,,
"[25017033, 157030996, 23211069]",2,,Bismarckstraße,residential,50,False,False,187.30300000000003,"LINESTRING (6.9053459 51.2206206, 6.90534 51.2206655, 6.9053023 51.2208446, 6.9050666 51.2218719, 6.9050509 51.2219409, 6.905013 51.2221456, 6.9050064 51.2221754, 6.9049841 51.2222896)",,,,,
"[330912454, 27455510, 608954360, 27455513, 38858872]",2,,"['Morper Allee', 'Bahnstraße']",tertiary,50,False,False,269.825,"LINESTRING (6.9053459 51.2206206, 6.9043638 51.2206347, 6.9041921 51.2206574, 6.9036356 51.2208113, 6.903531 51.2208402, 6.9034069 51.2208725, 6.9032942 51.2208999, 6.9031544 51.2209358, 6.9029562 51.2209822, 6.9027253 51.2210194, 6.9023425 51.221056, 6.9018498 51.221103, 6.9016648 51.2211342, 6.9016067 51.2211443)",,,,,
"[172561225, 157030956, 730260133, 937949494]",2,,"['Schlüterstraße', 'Bahnstraße']",tertiary,50,False,True,183.93399999999997,"LINESTRING (6.9053459 51.2206206, 6.9055137 51.2206199, 6.9058859 51.2206275, 6.9060851 51.2206441, 6.9064046 51.220694, 6.9068285 51.2207658, 6.9069268 51.2207702, 6.9070017 51.2207565, 6.907054 51.2207134, 6.9070775 51.2206786, 6.9070796 51.2206578, 6.9070811 51.2206422, 6.9070473 51.2203936, 6.907022 51.2202072, 6.9070175 51.2201742)",,,,,
"[157030977, 354355564]","['2', '3']",,Bismarckstraße,residential,50,False,False,108.972,"LINESTRING (6.9053586 51.2241296, 6.9054634 51.2242625, 6.9056532 51.2244924, 6.9057555 51.2246139, 6.9057866 51.224649, 6.9059724 51.2248584, 6.9059927 51.2248865, 6.9060752 51.2250004)",,,,,
"[157030977, 25017034]",2,,Bismarckstraße,residential,50,False,True,116.35300000000001,"LINESTRING (6.9053586 51.2241296, 6.9050132 51.2236667, 6.9049281 51.2234925, 6.9048757 51.2233184, 6.9048334 51.2231443)",,,,,
"[1150910920, 301431249, 301431253]",,,"['Alte Papierfabrik', 'Bernsauplatz']",residential,,False,"[False, True]",138.124,"LINESTRING (6.9053586 51.2241296, 6.9054778 51.2240939, 6.9057188 51.2239958, 6.9058255 51.2239524, 6.9061845 51.2237962, 6.9062832 51.2241161, 6.9063514 51.2244132)",,,,,
