osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,ref,width,bridge
26482086,1,Am Wolfsbaum,residential,False,False,209.77999999999997,"LINESTRING (8.8087506 52.6845154, 8.8087526 52.6844721, 8.8087789 52.6838867, 8.8087941 52.6833538, 8.8088113 52.6826292)",,,,
26482086,1,Am Wolfsbaum,residential,False,True,185.232,"LINESTRING (8.8087506 52.6845154, 8.8087497 52.6845597, 8.8087473 52.6846802, 8.8088568 52.6850044, 8.8088763 52.6851122, 8.8088805 52.6851352, 8.8088825 52.6854211, 8.8088836 52.6855954, 8.8088876 52.6861737)",,,,
"[157080484, 1150802189]",2,Schmelingstraße,residential,False,False,95.57000000000001,"LINESTRING (8.8087506 52.6845154, 8.8079305 52.684494, 8.8078023 52.684483, 8.8073439 52.6844275)",30,,,
157080484,2,Schmelingstraße,residential,False,False,56.732,"LINESTRING (8.8051415 52.6841551, 8.804321 52.6840415)",30,,,
157080383,1,Amselweg,residential,True,False,160.86399999999998,"LINESTRING (8.8051415 52.6841551, 8.8051269 52.6841925, 8.8049825 52.684562, 8.8049455 52.6846636, 8.8049757 52.6847466, 8.8050661 52.684818, 8.8059774 52.6853245)",30,,,
157080484,2,Schmelingstraße,residential,False,True,151.706,"LINESTRING (8.8051415 52.6841551, 8.8060637 52.6842818, 8.8061562 52.6842801, 8.806271 52.6842918, 8.8066039 52.6843352, 8.8067329 52.6843533, 8.8073439 52.6844275)",30,,,
157080484,2,Schmelingstraße,residential,False,True,56.732,"LINESTRING (8.804321 52.6840415, 8.8051415 52.6841551)",30,,,
"[9888798, 84475167]",1,Postweg,residential,False,False,108.30200000000002,"LINESTRING (8.804321 52.6840415, 8.8043467 52.6839804, 8.8044561 52.6837203, 8.8045232 52.6835523, 8.804554 52.6834108, 8.8046792 52.6830928)",30,,,
157080484,2,Schmelingstraße,residential,False,False,82.797,"LINESTRING (8.804321 52.6840415, 8.8033757 52.6839048, 8.8031201 52.6838919)",30,,,
157080400,2,Galtener Straße,secondary,False,False,229.672,"LINESTRING (8.8017137 52.68033, 8.8018698 52.6800826, 8.8018848 52.6800573, 8.8020271 52.6798333, 8.8020399 52.6798132, 8.8021305 52.679666, 8.8023826 52.6792562, 8.8024612 52.6791285, 8.8026097 52.6789223, 8.8027348 52.6787712, 8.8030678 52.6784407)",50,L 202,,
409456089,2,Galtener Straße,secondary,False,True,99.98400000000001,"LINESTRING (8.8017137 52.68033, 8.801608 52.6805112, 8.8015244 52.6806546, 8.8015151 52.6806705, 8.8014732 52.6807798, 8.8014641 52.6808159, 8.8014045 52.6812035)",50,L 202,,
"[760175842, 722611463]",1,Südstraße,residential,False,False,162.929,"LINESTRING (8.8017137 52.68033, 8.8021666 52.680437, 8.8023615 52.680484, 8.8026707 52.6805587, 8.8029423 52.6806179, 8.8039945 52.6808115)",30,,,
409456088,2,Lindenstraße,secondary,False,True,55.264,"LINESTRING (8.8011795 52.6837697, 8.8011811 52.6832727)",50,L 202,,
51857546,,Meierdamm,residential,False,True,116.137,"LINESTRING (8.8011795 52.6837697, 8.8010965 52.6837698, 8.7994567 52.6837589)",,,,
"[760175840, 157080484]",2,Schmelingstraße,residential,False,True,131.553,"LINESTRING (8.8011795 52.6837697, 8.8015785 52.683786, 8.8017427 52.6837927, 8.8028423 52.6838744, 8.8031201 52.6838919)",30,,,
25808323,2,Lange Straße,tertiary,False,True,341.88399999999996,"LINESTRING (8.8088113 52.6826292, 8.8080195 52.6825803, 8.8075434 52.682555, 8.8068672 52.6825158, 8.8065417 52.6825012, 8.806398 52.6824947, 8.8059548 52.6824702, 8.8059116 52.6824679, 8.8048912 52.6824135, 8.8043466 52.6823844, 8.8038255 52.6823306, 8.8037663 52.6823245)",20,,,
26482086,1,Am Wolfsbaum,residential,False,True,209.78,"LINESTRING (8.8088113 52.6826292, 8.8087941 52.6833538, 8.8087789 52.6838867, 8.8087526 52.6844721, 8.8087506 52.6845154)",,,,
26687468,1,Hohe Straße,residential,False,False,21.673,"LINESTRING (8.8037663 52.6823245, 8.8038167 52.682132)",,,5,
973279848,2,Lange Straße,tertiary,False,True,60.386,"LINESTRING (8.8037663 52.6823245, 8.8028783 52.682253)",20,,,
25808323,2,Lange Straße,tertiary,False,False,341.884,"LINESTRING (8.8037663 52.6823245, 8.8038255 52.6823306, 8.8043466 52.6823844, 8.8048912 52.6824135, 8.8059116 52.6824679, 8.8059548 52.6824702, 8.806398 52.6824947, 8.8065417 52.6825012, 8.8068672 52.6825158, 8.8075434 52.682555, 8.8080195 52.6825803, 8.8088113 52.6826292)",20,,,
26687468,1,Hohe Straße,residential,False,True,180.84,"LINESTRING (8.8037663 52.6823245, 8.8036172 52.6827893, 8.8034786 52.6832102, 8.8033755 52.6834228, 8.8031167 52.6837803, 8.8031201 52.6838919)",,,5,
26687468,1,Hohe Straße,residential,False,False,180.83999999999997,"LINESTRING (8.8031201 52.6838919, 8.8031167 52.6837803, 8.8033755 52.6834228, 8.8034786 52.6832102, 8.8036172 52.6827893, 8.8037663 52.6823245)",,,5,
