osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width,bridge,access
4812089,False,2,L 123,Neumagenstraße,secondary,30,True,173.043,"LINESTRING (7.729188 47.8821172, 7.7290704 47.8822368, 7.7288001 47.8825119, 7.7282814 47.8830398, 7.7282585 47.8830611, 7.7282344 47.8830834, 7.7278951 47.8834093)",,,
"[927979458, 25370373, 25454493]",False,2,L 123,"['Wettelbrunner Straße', 'Münstertäler Straße']",secondary,30,False,206.77200000000002,"LINESTRING (7.729188 47.8821172, 7.7292875 47.8820174, 7.7298287 47.8814271, 7.7299038 47.8813228, 7.7299854 47.8811422, 7.729996 47.8810947, 7.7300465 47.8807781, 7.7300577 47.8806749, 7.7300791 47.8804032)",,,
"[25613092, 319906494]",False,"['2', '3']",,Wettelbrunner Straße,tertiary,50,False,179.64899999999997,"LINESTRING (7.729188 47.8821172, 7.7290667 47.8820527, 7.7290267 47.8820319, 7.7289226 47.8819778, 7.7288556 47.8819568, 7.7287612 47.8819272, 7.7286216 47.8819034, 7.7284515 47.8818925, 7.7282513 47.8818931, 7.7279589 47.8818938, 7.7278544 47.8818946, 7.7272782 47.8818949, 7.7272079 47.8818941, 7.7271639 47.8818951, 7.7268728 47.8818986)",,,
"[927979456, 4812092]",False,2,L 125,Grunerner Straße,tertiary,30,True,255.936,"LINESTRING (7.7300791 47.8804032, 7.7299996 47.8803774, 7.7298159 47.8803177, 7.7297213 47.8802692, 7.7293774 47.8800795, 7.7292694 47.8800272, 7.7290969 47.8799507, 7.7281151 47.8795669, 7.7278313 47.8794573, 7.7271795 47.8791809)",,,
"[239452904, 319902920]",False,"['2', '3']",L 123,Münstertäler Straße,secondary,50,False,157.47700000000003,"LINESTRING (7.7300791 47.8804032, 7.7301149 47.8796893, 7.7301408 47.8795528, 7.7301532 47.8794886, 7.7301701 47.879374, 7.7301666 47.879172, 7.7301444 47.8789902)",,,
"[927979458, 25370373, 25454493]",False,2,L 123,"['Wettelbrunner Straße', 'Münstertäler Straße']",secondary,30,True,206.772,"LINESTRING (7.7300791 47.8804032, 7.7300577 47.8806749, 7.7300465 47.8807781, 7.729996 47.8810947, 7.7299854 47.8811422, 7.7299038 47.8813228, 7.7298287 47.8814271, 7.7292875 47.8820174, 7.729188 47.8821172)",,,
4812089,False,2,L 123,Neumagenstraße,secondary,30,False,177.428,"LINESTRING (7.7265167 47.8847099, 7.7269424 47.8843088, 7.7271234 47.8841362, 7.7276379 47.8836515, 7.7278951 47.8834093)",,,
"[25613092, 319906494]",False,"['2', '3']",,Wettelbrunner Straße,tertiary,50,True,179.64899999999997,"LINESTRING (7.7268728 47.8818986, 7.7271639 47.8818951, 7.7272079 47.8818941, 7.7272782 47.8818949, 7.7278544 47.8818946, 7.7279589 47.8818938, 7.7282513 47.8818931, 7.7284515 47.8818925, 7.7286216 47.8819034, 7.7287612 47.8819272, 7.7288556 47.8819568, 7.7289226 47.8819778, 7.7290267 47.8820319, 7.7290667 47.8820527, 7.729188 47.8821172)",,,
293033384,False,,,Hauptstraße,residential,30,False,51.377,"LINESTRING (7.7305986 47.8840537, 7.7303614 47.8844875)",,,
926938188,False,,,Hauptstraße,residential,30,True,82.087,"LINESTRING (7.7305986 47.8840537, 7.7310015 47.8833667)",,,
"[25370361, 1135448531]",False,,,Auf dem Graben,living_street,,True,130.797,"LINESTRING (7.7305986 47.8840537, 7.7304911 47.8840085, 7.7304282 47.8839821, 7.730073 47.8837289, 7.730026 47.8836908, 7.7299528 47.8836252, 7.7298738 47.8835088, 7.7298709 47.8834436, 7.7298887 47.8833705, 7.730017 47.8830881)",,,
293033384,False,,,Hauptstraße,residential,30,True,51.377,"LINESTRING (7.7303614 47.8844875, 7.7305986 47.8840537)",,,
"[27549666, 27154283]",False,,,"['Schloßgasse', 'Sixtgasse']","['unclassified', 'residential']",,True,383.565,"LINESTRING (7.7303614 47.8844875, 7.730459 47.8845389, 7.7308195 47.8847806, 7.7309089 47.8847714, 7.7311668 47.8846555, 7.7313086 47.884623, 7.7315941 47.8845786, 7.7318155 47.8845629, 7.7335041 47.8847476, 7.733504 47.8846846, 7.7333945 47.8845624, 7.7332401 47.8843914, 7.7330716 47.884197, 7.7328373 47.8839994, 7.7326382 47.8837544)",,,
27314065,False,,,Bahnhofstraße,residential,30,False,110.642,"LINESTRING (7.7303614 47.8844875, 7.7301894 47.8844679, 7.7299894 47.8845104, 7.7294867 47.8846388, 7.7289492 47.8847478)",,,
"[30198469, 27549662]",False,,,Krozinger Straße,unclassified,"['30', '40']",False,307.399,"LINESTRING (7.7303614 47.8844875, 7.7302236 47.8846908, 7.730073 47.8849107, 7.7297661 47.8853062, 7.729599 47.8855158, 7.7295589 47.8855893, 7.7293909 47.8860097, 7.7293635 47.8861204, 7.7291606 47.8867194, 7.7289874 47.8870767)",,,
926938188,False,,,Hauptstraße,residential,30,False,82.087,"LINESTRING (7.7310015 47.8833667, 7.7305986 47.8840537)",,,
27154284,False,,,Auf dem Rempart,residential,30,False,131.86899999999997,"LINESTRING (7.7310015 47.8833667, 7.7321404 47.8837204, 7.7323831 47.883773, 7.732537 47.8837713, 7.7326382 47.8837544)",,,
"[27549668, 27549669]",False,,,Frickstraße,"['residential', 'living_street']",30,True,79.727,"LINESTRING (7.7310015 47.8833667, 7.730767 47.8833048, 7.7305365 47.8832474, 7.730017 47.8830881)",,,
"[145108419, 1263664318, 33473243]",False,,,Hauptstraße,"['residential', 'living_street']",30,True,117.048,"LINESTRING (7.7310015 47.8833667, 7.7310895 47.883222, 7.7311899 47.8830434, 7.7312162 47.8829742, 7.7312341 47.8828252, 7.7312221 47.8827239, 7.731084 47.8823523)",5.7,,
27314065,False,,,Bahnhofstraße,residential,30,True,11.012,"LINESTRING (7.728811 47.8847827, 7.7289492 47.8847478)",,,
"[744943560, 30198459, 549812983]",False,,,Grünmatten,residential,30,False,144.964,"LINESTRING (7.728811 47.8847827, 7.7286682 47.8847653, 7.7285539 47.8847334, 7.7284821 47.884726, 7.7284382 47.884725, 7.7284128 47.8847345, 7.7283861 47.8847594, 7.7283439 47.8848111, 7.7282208 47.8849941, 7.7280499 47.8852395, 7.7278992 47.885456, 7.7278047 47.8855996, 7.7277586 47.8856608)",,,
"[897343196, 27311559]",False,,,Bahnhofstraße,residential,30,False,324.554,"LINESTRING (7.728811 47.8847827, 7.7288126 47.8848441, 7.7287737 47.884932, 7.7286764 47.8850793, 7.7286679 47.8850922, 7.7286541 47.8851139, 7.7285123 47.8853377, 7.7284646 47.8854063, 7.7283543 47.8855193, 7.7280725 47.8859733, 7.7277473 47.8864905, 7.7277405 47.8865291, 7.7277505 47.8865737, 7.7277946 47.8866193, 7.7280832 47.8867386, 7.7289874 47.8870767)",,,
25370361,False,,,Auf dem Graben,living_street,,False,99.897,"LINESTRING (7.7304013 47.8822275, 7.7301147 47.8828588, 7.730017 47.8830881)",,,
