osmid,bridge,highway,oneway,reversed,length,ref,name,geometry
822914325,yes,primary,False,False,70.945,,,"LINESTRING (81.7231829 16.5162444, 81.722769 16.516744)"
1269264149,,primary,False,False,60.193,SH,Palakol Narsapuram Canal Road,"LINESTRING (81.7231829 16.5162444, 81.7236715 16.5165157)"
103406579,,primary,False,True,373.16700000000003,,,"LINESTRING (81.7231829 16.5162444, 81.722503 16.5158201, 81.7218133 16.5153061, 81.7215255 16.515012, 81.7212639 16.5146318, 81.7208051 16.5138674)"
572132349,,primary,False,False,71.99,SH,Palakollu - Doddipatla Road,"LINESTRING (81.727775 16.5170114, 81.727653 16.5170654, 81.7271762 16.5173103)"
821512504,,residential,False,False,56.397999999999996,,,"LINESTRING (81.727775 16.5170114, 81.7278704 16.5172744, 81.7279123 16.5174996)"
22831270,,primary,False,True,7.038,SH,Palakol Narsapuram Canal Road,"LINESTRING (81.7253267 16.5179946, 81.725308 16.5179339)"
572132349,,primary,False,True,56.797,SH,Palakollu - Doddipatla Road,"LINESTRING (81.7253267 16.5179946, 81.7258438 16.5178716)"
22831270,,primary,False,False,93.72200000000001,SH,Palakol Narsapuram Canal Road,"LINESTRING (81.7253267 16.5179946, 81.7253846 16.5184627, 81.7253694 16.5188339)"
822914325,yes,primary,False,True,70.945,,,"LINESTRING (81.722769 16.516744, 81.7231829 16.5162444)"
822914323,,tertiary,False,True,167.583,,,"LINESTRING (81.722769 16.516744, 81.7225775 16.5165308, 81.7223627 16.5163114, 81.7222413 16.5162039, 81.7216622 16.5156756)"
822914324,,primary,False,False,40.914,,,"LINESTRING (81.722769 16.516744, 81.7224944 16.5169306, 81.722451 16.5169484)"
22831270,,primary,False,False,83.679,SH,Palakol Narsapuram Canal Road,"LINESTRING (81.7250821 16.5172132, 81.7251961 16.5175705, 81.725308 16.5179339)"
824285372,,residential,False,False,63.11,,,"LINESTRING (81.7250821 16.5172132, 81.7253449 16.5171651, 81.7255175 16.5171592, 81.7256654 16.5171267)"
1269264149,,primary,False,True,55.159000000000006,SH,Palakol Narsapuram Canal Road,"LINESTRING (81.7250821 16.5172132, 81.7248354 16.5170847, 81.7246246 16.5169816)"
1269264151,,tertiary,False,False,92.361,,,"LINESTRING (81.7250821 16.5172132, 81.7254576 16.5165343, 81.725514 16.5165036)"
748806535,,residential,False,False,61.08,,,"LINESTRING (81.7272238 16.5148809, 81.7269787 16.5143844)"
572132330,,residential,False,False,158.128,,,"LINESTRING (81.7272238 16.5148809, 81.7266579 16.515156, 81.7259214 16.5155605)"
1269264154,,residential,False,False,16.908,,,"LINESTRING (81.7259214 16.5155605, 81.7260204 16.5156793)"
572132330,,residential,False,True,158.128,,,"LINESTRING (81.7259214 16.5155605, 81.7266579 16.515156, 81.7272238 16.5148809)"
