osmid,lanes,highway,oneway,reversed,length,geometry,name,junction
26775702,1,secondary,False,False,98.056,"LINESTRING (92.7379129 11.6684471, 92.737971 11.6675671)",,
26775641,,primary,False,False,173.817,"LINESTRING (92.7379129 11.6684471, 92.7386545 11.6687372, 92.738897 11.6688333, 92.7393945 11.6690286)",,
26805174,1,primary,False,True,151.359,"LINESTRING (92.7379129 11.6684471, 92.7376473 11.6684235, 92.7372772 11.6684156, 92.7369124 11.6684734, 92.736545 11.6685811)",MG Road,
26775677,,primary,False,True,100.985,"LINESTRING (92.7420047 11.6665525, 92.7422343 11.6674324)",,
26775317,,primary,False,False,86.32900000000001,"LINESTRING (92.7420047 11.6665525, 92.7423653 11.6661529, 92.7424689 11.665932)",RTG Road,
26775677,,primary,False,False,150.637,"LINESTRING (92.7420047 11.6665525, 92.7417944 11.6664825, 92.7408173 11.6658681)",,
266258293,,primary,True,False,35.808,"LINESTRING (92.7391672 11.6649031, 92.7392878 11.6649433, 92.7393817 11.6650218, 92.7394282 11.6650831)",,
266258297,,primary,False,False,285.538,"LINESTRING (92.7391672 11.6649031, 92.7386271 11.6649301, 92.7381428 11.6649783, 92.7374252 11.6648414, 92.73703 11.6646, 92.7367094 11.6643697)",,
26775702,1,secondary,False,True,222.796,"LINESTRING (92.7393395 11.6653438, 92.73845 11.66679, 92.7382624 11.6670463)",,
266258295,,secondary,True,False,31.224,"LINESTRING (92.7393395 11.6653438, 92.7394702 11.6652501, 92.7395837 11.6651994)",,
266258294,,secondary,True,False,43.971000000000004,"LINESTRING (92.7402649 11.6650037, 92.7401379 11.6650213, 92.7400266 11.6650318, 92.739863 11.6650371)",,
1150381109,,secondary,False,False,102.913,"LINESTRING (92.7402649 11.6650037, 92.7402796 11.6649935, 92.7403246 11.664962, 92.7403691 11.6649308, 92.741034 11.6644659)",,
26775504,,residential,False,False,175.06,"LINESTRING (92.741034 11.6644659, 92.7424483 11.6637175)",,
26775527,,residential,False,False,236.63799999999998,"LINESTRING (92.741034 11.6644659, 92.74169 11.66549, 92.742401 11.6657819, 92.7424689 11.665932)",Kamaraj Road,
266258305,,secondary,False,False,139.285,"LINESTRING (92.741034 11.6644659, 92.7407328 11.6639159, 92.7406212 11.6638321, 92.7404566 11.6637955, 92.7402984 11.6638416, 92.7401611 11.6639352)",VIP Road,
1150381109,,secondary,False,True,102.913,"LINESTRING (92.741034 11.6644659, 92.7403691 11.6649308, 92.7403246 11.664962, 92.7402796 11.6649935, 92.7402649 11.6650037)",,
26775317,,primary,False,True,120.608,"LINESTRING (92.743188 11.6651318, 92.7429678 11.6655129, 92.742815 11.6656751, 92.7426057 11.6658146, 92.7424689 11.665932)",RTG Road,
26775614,,tertiary,False,False,19.853,"LINESTRING (92.7423597 11.6673028, 92.7422343 11.6674324)",,
26775614,,tertiary,False,True,49.165,"LINESTRING (92.7423597 11.6673028, 92.7427198 11.6670361)",,
26775614,,tertiary,False,False,49.165,"LINESTRING (92.7427198 11.6670361, 92.7423597 11.6673028)",,
26775637,,residential,False,False,90.534,"LINESTRING (92.7427198 11.6670361, 92.7432015 11.6676997)",,
26775614,,tertiary,False,True,65.941,"LINESTRING (92.7427198 11.6670361, 92.7428778 11.6669337, 92.7430642 11.6667714, 92.7431351 11.6666237)",,
26775637,,residential,False,True,90.534,"LINESTRING (92.7432015 11.6676997, 92.7427198 11.6670361)",,
