osmid,highway,oneway,reversed,length,geometry,ref,name,junction,tunnel
282291848,unclassified,False,True,22.751,"LINESTRING (81.5237269 16.5418508, 81.5237038 16.5420542)",,,,
360623206,unclassified,False,False,76.534,"LINESTRING (81.5237269 16.5418508, 81.5237437 16.5411627)",,,,
360623206,unclassified,False,True,159.902,"LINESTRING (81.5260287 16.541056, 81.5245302 16.5411226)",,,,
282291867,unclassified,False,True,211.003,"LINESTRING (81.5260287 16.541056, 81.5266402 16.5410415, 81.5280075 16.5410053)",,,,
285876091,primary,False,False,79.138,"LINESTRING (81.5260287 16.541056, 81.5260141 16.5408087, 81.5259928 16.5403893, 81.5259801 16.5403469)",SH302,Kalipatnam - Bhimavaram Road,,
285876091,primary,False,True,65.452,"LINESTRING (81.5260287 16.541056, 81.5260391 16.5413656, 81.526049 16.5416443)",SH302,Kalipatnam - Bhimavaram Road,,
697100816,trunk,True,False,22.025,"LINESTRING (81.5232955 16.544715, 81.523494 16.54466)",NH165,,,
849672526,residential,False,False,79.019,"LINESTRING (81.5232955 16.544715, 81.5236107 16.5452537, 81.5236737 16.5453244)",,,,
285876091,primary,False,True,6.172,"LINESTRING (81.5260005 16.544859, 81.5259871 16.544913)",SH302,Kalipatnam - Bhimavaram Road,,
240960516,trunk,True,False,90.979,"LINESTRING (81.5260005 16.544859, 81.5254909 16.5447279, 81.5251717 16.5446649)",NH165,,,
285876091,primary,False,False,60.75,"LINESTRING (81.5260005 16.544859, 81.5260575 16.5445107, 81.5260897 16.5443194)",SH302,Kalipatnam - Bhimavaram Road,,
240960516,trunk,True,False,50.894000000000005,"LINESTRING (81.5264645 16.5449555, 81.5263666 16.5449182, 81.5262258 16.5448835, 81.5260005 16.544859)",NH165,,,
849672520,residential,False,True,118.668,"LINESTRING (81.5264645 16.5449555, 81.5265182 16.5444412, 81.5265664 16.5438928)",,,,
240960516,trunk,True,False,35.741,"LINESTRING (81.5265222 16.5453025, 81.5265276 16.5451579, 81.5265148 16.5450628, 81.5264806 16.5449889)",NH165,,,
240960516,trunk,True,False,4.934,"LINESTRING (81.5265007 16.5453418, 81.5265222 16.5453025)",NH165,,,
850430713,trunk,False,True,97.963,"LINESTRING (81.5265007 16.5453418, 81.5265027 16.5453771, 81.5265289 16.5454337, 81.5265852 16.5454748, 81.5266737 16.5455005, 81.5273203 16.5455967)",NH165,,,
850430713,trunk,False,False,95.086,"LINESTRING (81.5294144 16.545894, 81.5285302 16.5457807)",NH165,,,
