osmid,highway,oneway,reversed,length,ref,geometry,name
992406615,residential,False,False,34.260000000000005,,"LINESTRING (73.8871624 25.0594383, 73.887117 25.0593104, 73.8870806 25.0591398)",
992406616,residential,False,False,73.243,,"LINESTRING (73.8871624 25.0594383, 73.8867956 25.0595632, 73.8866401 25.0595924, 73.8864738 25.0596459)",
992406616,residential,False,True,73.243,,"LINESTRING (73.8864738 25.0596459, 73.8866401 25.0595924, 73.8867956 25.0595632, 73.8871624 25.0594383)",
992406617,residential,False,False,137.3,,"LINESTRING (73.8884087 25.0586597, 73.888464 25.0593835, 73.8884908 25.0597965, 73.8884747 25.0598909)",
992406618,residential,False,False,44.12,,"LINESTRING (73.8884087 25.0586597, 73.888216 25.05871, 73.8881324 25.0587343, 73.8880584 25.0587556, 73.8879921 25.0587811)",
992406618,residential,False,True,47.989000000000004,,"LINESTRING (73.8884087 25.0586597, 73.8886945 25.0585428, 73.8886463 25.0584019)",
895030566,residential,False,True,14.42,,"LINESTRING (73.8884747 25.0598909, 73.8883319 25.0598817)",
895030566,residential,False,False,142.11700000000002,,"LINESTRING (73.8884747 25.0598909, 73.8885596 25.0598963, 73.8888211 25.0598977, 73.8892398 25.0597034, 73.8894867 25.0595836, 73.8896057 25.0595237, 73.8896938 25.0596634)",
992406617,residential,False,True,137.3,,"LINESTRING (73.8884747 25.0598909, 73.8884908 25.0597965, 73.888464 25.0593835, 73.8884087 25.0586597)",
992406619,residential,False,True,54.19,,"LINESTRING (73.8886463 25.0584019, 73.8881313 25.0585428)",
992406618,residential,False,False,47.989000000000004,,"LINESTRING (73.8886463 25.0584019, 73.8886945 25.0585428, 73.8884087 25.0586597)",
"[992406618, 992406621]",residential,False,"[False, True]",73.853,,"LINESTRING (73.8886463 25.0584019, 73.8885926 25.0582318, 73.8880777 25.0583727)",
992406618,residential,False,True,44.120000000000005,,"LINESTRING (73.8879921 25.0587811, 73.8880584 25.0587556, 73.8881324 25.0587343, 73.888216 25.05871, 73.8884087 25.0586597)",
992406619,residential,False,False,54.19,,"LINESTRING (73.8881313 25.0585428, 73.8886463 25.0584019)",
992406620,residential,False,False,49.052,,"LINESTRING (73.8881313 25.0585428, 73.8876824 25.0587138)",
992406623,residential,False,True,19.67,,"LINESTRING (73.8881313 25.0585428, 73.8880777 25.0583727)",
895030566,residential,False,False,23.807,,"LINESTRING (73.8876824 25.0587138, 73.8878102 25.0588939)",
895030566,residential,False,True,24.056,,"LINESTRING (73.8876824 25.0587138, 73.8875188 25.0585562)",
992406620,residential,False,True,49.052,,"LINESTRING (73.8876824 25.0587138, 73.8881313 25.0585428)",
992406621,residential,False,False,59.881,,"LINESTRING (73.8880777 25.0583727, 73.8875188 25.0585562)",
992406622,residential,False,False,59.073,,"LINESTRING (73.8880777 25.0583727, 73.8878792 25.0578728)",
992406623,residential,False,False,19.67,,"LINESTRING (73.8880777 25.0583727, 73.8881313 25.0585428)",
"[992406618, 992406621]",residential,False,"[False, True]",73.853,,"LINESTRING (73.8880777 25.0583727, 73.8885926 25.0582318, 73.8886463 25.0584019)",
894928325,primary,False,False,44.464,SH12,"LINESTRING (73.8878792 25.0578728, 73.8882985 25.0577478)",
992406622,residential,False,True,59.073,,"LINESTRING (73.8878792 25.0578728, 73.8880777 25.0583727)",
894928325,primary,False,True,42.285,SH12,"LINESTRING (73.8878792 25.0578728, 73.8876268 25.0579481, 73.8874823 25.0579965)",
992406624,residential,False,False,206.78,,"LINESTRING (73.8868332 25.0562347, 73.8868493 25.0563416, 73.8871711 25.0571337, 73.8874823 25.0579965)",
894928325,primary,False,True,41.735,SH12,"LINESTRING (73.8874823 25.0579965, 73.8870937 25.0581267)",
992406624,residential,False,False,46.045,,"LINESTRING (73.8874823 25.0579965, 73.8876611 25.0583776)",
894928325,primary,False,False,42.285,SH12,"LINESTRING (73.8874823 25.0579965, 73.8876268 25.0579481, 73.8878792 25.0578728)",
992406624,residential,False,True,206.78000000000003,,"LINESTRING (73.8874823 25.0579965, 73.8871711 25.0571337, 73.8868493 25.0563416, 73.8868332 25.0562347)",
992406624,residential,False,True,46.045,,"LINESTRING (73.8876611 25.0583776, 73.8874823 25.0579965)",
