osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction,access
244459116,Police Station Road,residential,False,False,223.13299999999998,"LINESTRING (76.2714337 10.7626883, 76.2711881 10.7625795, 76.2708287 10.7625426, 76.2703864 10.7625904, 76.2702439 10.7626058, 76.2698631 10.7625479, 76.2694387 10.7624408)",,,,,
244459117,Police Station Road,unclassified,False,False,511.22200000000004,"LINESTRING (76.2714337 10.7626883, 76.2714042 10.7629018, 76.2713812 10.763117, 76.271559 10.7639373, 76.2718702 10.7651283, 76.2718747 10.765283, 76.2717889 10.7655149, 76.2717889 10.7658522, 76.2717728 10.7665056, 76.2718018 10.76721)",,,,,
"[363347668, 363347733]",Mudaliar Street,unclassified,False,False,411.8230000000001,"LINESTRING (76.2714337 10.7626883, 76.2715734 10.7627173, 76.2717397 10.7627146, 76.2719274 10.762712, 76.2720347 10.7626857, 76.2720776 10.7626171, 76.2721152 10.7624933, 76.2721152 10.7623853, 76.2721045 10.7620085, 76.2721045 10.7616764, 76.2721071 10.7614973, 76.272103 10.7614634, 76.2720964 10.7614077, 76.2720615 10.7613154, 76.27204 10.761277, 76.2720025 10.76121, 76.2719194 10.7610229, 76.2718604 10.7609044, 76.2718121 10.7606936, 76.271788 10.7605328, 76.2717343 10.7603642, 76.2717242 10.760302, 76.2717155 10.7602482, 76.2717129 10.7601718, 76.2717263 10.7601297, 76.2717531 10.7600374, 76.2717772 10.7599795, 76.2718309 10.7599347, 76.2718845 10.7598741, 76.2719006 10.7598108, 76.2719121 10.7597221)",,,,,
289066219,Shornur - Perinthalmanna Road,secondary,False,False,21.871,"LINESTRING (76.2719713 10.7681657, 76.2717784 10.768113)",2,SH23,80,,
244459117,Police Station Road,unclassified,False,True,109.32300000000001,"LINESTRING (76.2719713 10.7681657, 76.2718326 10.7678318, 76.2718018 10.76721)",,,,,
244459114,Post Office Road,tertiary,False,True,127.86599999999999,"LINESTRING (76.2698779 10.764679, 76.2692998 10.7648825, 76.2687856 10.7650914)",,,,,
289066219,Shornur - Perinthalmanna Road,secondary,False,False,253.95600000000002,"LINESTRING (76.2698779 10.764679, 76.2697963 10.7644584, 76.2697426 10.7642555, 76.2696917 10.764021, 76.2696535 10.7637679, 76.2696359 10.7636516, 76.269555 10.7631153, 76.2695317 10.7629612, 76.2694387 10.7624408)",2,SH23,80,,
289066219,Shornur - Perinthalmanna Road,secondary,False,True,108.256,"LINESTRING (76.2698779 10.764679, 76.2700699 10.7652252, 76.2701967 10.7656008)",2,SH23,80,,
244459115,,residential,False,True,268.996,"LINESTRING (76.2693369 10.7611415, 76.2696888 10.7611431, 76.2703405 10.761146, 76.2704379 10.7612127, 76.2704754 10.7613181, 76.2705559 10.7617555, 76.2706355 10.7618153, 76.2712317 10.7617208, 76.2713007 10.7617099)",,,,,
289066219,Shornur - Perinthalmanna Road,secondary,False,False,379.641,"LINESTRING (76.2693369 10.7611415, 76.2694646 10.7604237, 76.2694851 10.7602766, 76.2695254 10.7601792, 76.2695853 10.7601207, 76.2696648 10.760079, 76.270263 10.7599657, 76.2710471 10.7597517, 76.2712885 10.7596938, 76.2714065 10.7596701, 76.271529 10.7596732, 76.2718884 10.759718, 76.2719121 10.7597221)",2,SH23,80,,
