osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,access
664779757,NH216E,Amalapuram - Bobbarlanka Road,trunk,False,False,102.35900000000001,"LINESTRING (82.0017573 16.5779226, 82.0014811 16.5779136, 82.0012423 16.5779149, 82.0011337 16.5779354, 82.0009956 16.577992, 82.0008325 16.5780745)",,
273898423,,,residential,False,False,296.867,"LINESTRING (81.9999455 16.578591, 82.0000245 16.5787117, 82.0001103 16.5788557, 82.0001908 16.5790485, 82.0002793 16.5792387, 82.0003571 16.5794212, 82.0004456 16.5795883, 82.0004805 16.5796732, 82.0005332 16.5797408, 82.0006119 16.5797683, 82.0006951 16.5797888, 82.0008023 16.5798068, 82.0009821 16.5798814, 82.0013334 16.5800613, 82.0018243 16.5803441)",,
664779757,NH216E,Amalapuram - Bobbarlanka Road,trunk,False,False,146.855,"LINESTRING (81.9999455 16.578591, 81.9996491 16.5787375, 81.9991998 16.5789573, 81.9987251 16.5792041)",,
664779757,NH216E,Amalapuram - Bobbarlanka Road,trunk,False,True,110.62800000000001,"LINESTRING (81.9999455 16.578591, 82.0003867 16.57833, 82.0007542 16.5781141, 82.0008325 16.5780745)",,
273898423,,,residential,False,True,296.867,"LINESTRING (82.0018243 16.5803441, 82.0013334 16.5800613, 82.0009821 16.5798814, 82.0008023 16.5798068, 82.0006951 16.5797888, 82.0006119 16.5797683, 82.0005332 16.5797408, 82.0004805 16.5796732, 82.0004456 16.5795883, 82.0003571 16.5794212, 82.0002793 16.5792387, 82.0001908 16.5790485, 82.0001103 16.5788557, 82.0000245 16.5787117, 81.9999455 16.578591)",,
274258206,,,residential,False,False,40.342,"LINESTRING (81.9999199 16.5756372, 82.0001461 16.5759281)",,
274258207,,,residential,False,True,136.47199999999998,"LINESTRING (81.9999199 16.5756372, 81.9998314 16.5756295, 81.9995471 16.5756783, 81.9993191 16.5757349, 81.9992064 16.575758, 81.9990918 16.5757047, 81.9989892 16.5756218, 81.9988899 16.5755601, 81.9987592 16.5754527)",,
274258206,,,residential,False,True,50.051,"LINESTRING (82.0004134 16.5762979, 82.000333 16.5761925, 82.0002183 16.5760209, 82.0001461 16.5759281)",,
315676801,,,residential,False,False,55.428,"LINESTRING (82.0004134 16.5762979, 82.0005752 16.5764622, 82.0008118 16.5766134)",,
315676802,,,residential,False,False,174.708,"LINESTRING (82.0004134 16.5762979, 82.0005348 16.5762085, 82.0006816 16.5761205, 82.0009452 16.5759772, 82.0013019 16.5757998, 82.0015379 16.5756944, 82.0018531 16.5755535)",,
680514533,,,residential,False,True,25.71,"LINESTRING (81.9974604 16.575141, 81.9976545 16.5752783)",,
