osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,bridge,geometry,width,access
"[288812489, 288800443]",False,2,SH17,Northern Outlet Road,primary,"['45', '50']",True,72.234,viaduct,"LINESTRING (77.0596929 10.0891695, 77.0596179 10.0890578, 77.0594625 10.0885653)",,
77338455,False,,,,unclassified,,False,424.42299999999994,,"LINESTRING (77.064545 10.0842597, 77.0644901 10.0842437, 77.064417 10.0842495, 77.0643537 10.0842709, 77.0642885 10.0842962, 77.0641955 10.0843118, 77.0640967 10.0843001, 77.0639899 10.0842748, 77.0639089 10.0842846, 77.0637961 10.0842913, 77.0636736 10.0842924, 77.0636391 10.0842804, 77.0635451 10.0842476, 77.0634204 10.0842433, 77.0631629 10.0842961, 77.0629821 10.0843094, 77.0626586 10.0843331, 77.0624517 10.0843099, 77.0623252 10.0843001, 77.0622204 10.0842748, 77.0621462 10.0842398, 77.0621302 10.0841616, 77.062191 10.0840215, 77.0622978 10.0839025, 77.0624551 10.0836719, 77.0627285 10.0834721, 77.0628276 10.0830949, 77.0628444 10.0830889)",,
798451990,False,2,NH85,Kochi - Dhanushkodi Road,trunk,60,False,189.73000000000002,,"LINESTRING (77.064545 10.0842597, 77.0642087 10.0843748, 77.0640735 10.0844, 77.0636618 10.084432, 77.0629229 10.084527, 77.0628486 10.0845594)",,
44133206,False,2,SH18,Munnar-Top Station Highway,primary,50,False,195.638,,"LINESTRING (77.0608771 10.0861427, 77.060678 10.0863213, 77.0606333 10.086421, 77.0606074 10.0865152, 77.0605995 10.0866301, 77.0606065 10.0868091, 77.060632 10.0869058, 77.0606721 10.0869729, 77.0607105 10.0870066, 77.0607695 10.0870341, 77.0608664 10.08709, 77.0609825 10.0871268, 77.061093 10.0871497, 77.061183 10.0871642, 77.0613341 10.0871774, 77.0614541 10.0871967)",,
279038323,False,2,,Munnar-Devikulam Road,primary,70,True,156.637,,"LINESTRING (77.0608771 10.0861427, 77.0609162 10.0861424, 77.0609564 10.0861721, 77.0610188 10.0862469, 77.0610461 10.0862788, 77.0610918 10.0863067, 77.0611376 10.0863073, 77.061191 10.0862996, 77.061264 10.0862768, 77.0613494 10.0862192, 77.0614023 10.0861595, 77.0614896 10.0860701, 77.0618362 10.0857975, 77.0619015 10.0857205, 77.061949 10.0856172)",,
"[930963944, 930963942, 930963943]",False,,,,primary,,True,72.10300000000001,yes,"LINESTRING (77.0608771 10.0861427, 77.0608564 10.0860981, 77.0608421 10.0860655, 77.060802 10.0859925, 77.0607195 10.0856202, 77.0607007 10.0855221)",,
"[930963945, 930963946, 930963947]",False,,,,primary,,False,77.203,yes,"LINESTRING (77.0608771 10.0861427, 77.0608858 10.0861113, 77.060898 10.0860559, 77.0609041 10.0860282, 77.0608245 10.0855754, 77.0607953 10.0855022, 77.0607867 10.0854646)",,
288800447,False,2,SH17,Northern Outlet Road,primary,50,True,13.698,,"LINESTRING (77.0601128 10.0874146, 77.0600762 10.0872968)",,
101573362,False,,,,residential,,False,166.33999999999997,,"LINESTRING (77.0601128 10.0874146, 77.0599964 10.0875157, 77.0598836 10.0874799, 77.0598944 10.0876108, 77.0598569 10.0876874, 77.0598085 10.087707, 77.0596906 10.0876953, 77.0596155 10.0877296, 77.0595563 10.0877889, 77.0590548 10.087876, 77.0589342 10.0878854, 77.0588771 10.0878777)",2,
288800447,False,2,SH17,Northern Outlet Road,primary,50,False,231.69899999999998,,"LINESTRING (77.0601128 10.0874146, 77.060168 10.0874682, 77.0602378 10.0875051, 77.0604408 10.087574, 77.0604679 10.0875818, 77.0605166 10.0876054, 77.0605533 10.0876386, 77.0605489 10.0877204, 77.0604561 10.0880062, 77.0603352 10.0882824, 77.0601712 10.0883462, 77.0594625 10.0885653)",,
