osmid,highway,oneway,reversed,length,geometry,name,maxspeed,bridge,lanes
676861478,residential,False,False,154.96,"LINESTRING (93.7048577 24.3423897, 93.7063548 24.3426753)",,,,
387917682,residential,False,False,212.87099999999998,"LINESTRING (93.7048577 24.3423897, 93.7049783 24.3421131, 93.7052696 24.3414449, 93.7060037 24.340846)",,,,
387917682,residential,False,True,124.82400000000001,"LINESTRING (93.7048577 24.3423897, 93.7048172 24.3428977, 93.7046022 24.3434788)",,,,
676861478,residential,False,True,71.93299999999999,"LINESTRING (93.7048577 24.3423897, 93.7043515 24.3422931, 93.7042151 24.3421689)",,,,
387917668,residential,False,True,118.697,"LINESTRING (93.7002144 24.3424138, 93.7002668 24.3434802)",,,,
387917670,residential,False,False,104.991,"LINESTRING (93.7002144 24.3424138, 93.7012499 24.3424517)",,,,
387917668,residential,False,False,102.686,"LINESTRING (93.7002144 24.3424138, 93.7002116 24.3419855, 93.7002455 24.3414913)",,,,
387917670,residential,False,True,104.991,"LINESTRING (93.7012499 24.3424517, 93.7002144 24.3424138)",,,,
387917670,residential,False,False,166.839,"LINESTRING (93.7012499 24.3424517, 93.7025107 24.3425328, 93.7028726 24.3426467)",,,,
693882032,living_street,False,False,106.154,"LINESTRING (93.7012499 24.3424517, 93.7012666 24.3422215, 93.7012936 24.341849, 93.7013189 24.3414991)",,,,
387917651,primary,False,False,131.326,"LINESTRING (93.7028726 24.3426467, 93.7036121 24.3416767)",Rengkai Rd,40,,
387917651,primary,False,True,157.529,"LINESTRING (93.7028726 24.3426467, 93.7019968 24.3438173)",Rengkai Rd,40,,
387917670,residential,False,True,166.839,"LINESTRING (93.7028726 24.3426467, 93.7025107 24.3425328, 93.7012499 24.3424517)",,,,
676861478,residential,False,True,154.96,"LINESTRING (93.7063548 24.3426753, 93.7048577 24.3423897)",,,,
387917678,residential,False,True,47.916,"LINESTRING (93.7011831 24.343445, 93.7007114 24.3434766)",,,,
387917678,residential,False,False,47.916,"LINESTRING (93.7007114 24.3434766, 93.7011831 24.343445)",,,,
387917678,residential,False,True,45.044,"LINESTRING (93.7007114 24.3434766, 93.7002668 24.3434802)",,,,
387917675,residential,False,True,213.588,"LINESTRING (93.7007114 24.3434766, 93.7006195 24.3442964, 93.7006417 24.3445667, 93.7005157 24.3449248, 93.7009429 24.34515)",,,,
387917682,residential,False,False,124.82400000000001,"LINESTRING (93.7046022 24.3434788, 93.7048172 24.3428977, 93.7048577 24.3423897)",,,,
387917698,residential,False,False,155.173,"LINESTRING (93.7046022 24.3434788, 93.7047876 24.3435937, 93.7046837 24.3439586, 93.7043203 24.3445802, 93.7042388 24.3446613)",,,,
387917698,residential,False,True,170.17899999999997,"LINESTRING (93.7046022 24.3434788, 93.7042833 24.3433842, 93.7042981 24.3424652, 93.7042151 24.3421689)",,,,
387917668,residential,False,False,118.697,"LINESTRING (93.7002668 24.3434802, 93.7002144 24.3424138)",,,,
387917678,residential,False,False,45.044,"LINESTRING (93.7002668 24.3434802, 93.7007114 24.3434766)",,,,
387917651,primary,False,False,157.529,"LINESTRING (93.7019968 24.3438173, 93.7028726 24.3426467)",Rengkai Rd,40,,
387917651,primary,False,True,182.646,"LINESTRING (93.7019968 24.3438173, 93.7009429 24.34515)",Rengkai Rd,40,,
387917639,residential,False,False,164.87,"LINESTRING (93.7019968 24.3438173, 93.7033513 24.3442859, 93.7032662 24.3444289)",,,,
387917680,residential,False,False,96.45,"LINESTRING (93.7093747 24.3445311, 93.7092583 24.344561, 93.7086832 24.3447742, 93.7084922 24.3448542)",,,,
