osmid,highway,oneway,reversed,length,name,geometry,ref,access,lanes
280196000,tertiary,False,False,9.283,,"LINESTRING (83.0041789 17.689372, 83.004193 17.6892896)",,,
314068808,secondary,True,False,51.286,Anakapalli Main Road,"LINESTRING (83.0041789 17.689372, 83.0044033 17.6893306, 83.0046581 17.689312)",,,
314068821,unclassified,False,True,10.172,,"LINESTRING (83.0072399 17.6881951, 83.0072044 17.6881101)",,,
280196077,primary,True,False,120.85,Anakapalle - Pudimadaka Road,"LINESTRING (83.0017004 17.6847817, 83.0017701 17.6858665)",SH,,
280196084,secondary,False,True,10.274,,"LINESTRING (83.0017004 17.6847817, 83.0017969 17.6847725)",,,
280196000,tertiary,False,True,270.043,,"LINESTRING (83.0056116 17.6848936, 83.0055121 17.6852168, 83.005303 17.6855467, 83.0049805 17.6858844, 83.0048555 17.6861663, 83.0048555 17.6867647, 83.0047367 17.687091)",,,
280196047,secondary,False,False,163.95499999999998,,"LINESTRING (83.0056116 17.6848936, 83.0061883 17.6849032, 83.0070897 17.6852467)",,,
280196084,secondary,False,False,289.119,,"LINESTRING (83.0056116 17.6848936, 83.0031526 17.684862, 83.0030361 17.6848302, 83.0029422 17.6847204)",,,
280196017,unclassified,False,False,12.038,,"LINESTRING (83.0076202 17.6854739, 83.0076762 17.6855681)",,,
280196047,secondary,False,True,61.69,,"LINESTRING (83.0076202 17.6854739, 83.0073958 17.6853633, 83.0070897 17.6852467)",,,
280196053,unclassified,False,False,253.13199999999998,,"LINESTRING (83.0018981 17.6868744, 83.001084 17.6869549, 83.0004028 17.6870134, 82.9999256 17.6871226, 82.9995793 17.687306)",,,
280196077,primary,True,False,160.138,Anakapalle - Pudimadaka Road,"LINESTRING (83.0018981 17.6868744, 83.0019417 17.6873549, 83.0021239 17.6882969)",SH,,
280196051,unclassified,False,False,231.81099999999998,,"LINESTRING (83.0021239 17.6882969, 83.0016083 17.6882404, 83.0014505 17.6881771, 83.0011518 17.6881407, 83.0007643 17.6881711, 82.9999911 17.6883946)",,,
280196077,primary,True,False,147.083,Anakapalle - Pudimadaka Road,"LINESTRING (83.0021239 17.6882969, 83.002269 17.6891438, 83.0023087 17.6896069)",SH,,
