osmid,ref,highway,oneway,reversed,length,geometry,lanes,name,access
155130690,SH31,primary,False,True,119.09200000000001,"LINESTRING (74.5100766 15.6442818, 74.5097226 15.6441708, 74.5094061 15.6440752, 74.5090022 15.6440182)",,,
555841858,,residential,False,True,67.762,"LINESTRING (74.5100766 15.6442818, 74.5101437 15.6440778, 74.5101222 15.6438815, 74.5101169 15.6437136, 74.5101308 15.6436867)",,,
109804995,,tertiary,False,False,41.495,"LINESTRING (74.5114462 15.6438295, 74.5115197 15.6434631)",,,
109804995,,tertiary,False,True,39.324,"LINESTRING (74.5114462 15.6438295, 74.5115785 15.6441594)",,,
555841838,,residential,False,False,70.529,"LINESTRING (74.5114462 15.6438295, 74.5113614 15.6438402, 74.5112729 15.6438402, 74.5110637 15.6438092, 74.5109913 15.6438118, 74.5108706 15.6437808, 74.5108357 15.6437162)",,,
109805003,,tertiary,False,False,27.308,"LINESTRING (74.5102444 15.6403601, 74.5104992 15.6403705)",,,
109805003,,tertiary,False,True,109.217,"LINESTRING (74.5102444 15.6403601, 74.5101661 15.6403083, 74.5100896 15.6402513, 74.5100882 15.6402231, 74.510089 15.6402051, 74.5100961 15.6401883, 74.5100913 15.6401677, 74.5100814 15.640152, 74.5100509 15.6401312, 74.5099874 15.6401036, 74.5098774 15.6400455, 74.5097576 15.6399553, 74.5096584 15.6398902, 74.5096331 15.6398548, 74.5096148 15.6398059, 74.5095949 15.6397546, 74.5095608 15.6397067)",,,
555841820,,residential,False,False,50.869,"LINESTRING (74.5102444 15.6403601, 74.5103024 15.6404418, 74.510369 15.640547, 74.5104066 15.6407795)",,,
109804995,,tertiary,False,True,25.836,"LINESTRING (74.5115572 15.6405263, 74.5115343 15.6407576)",,,
109805003,,tertiary,False,False,8.372,"LINESTRING (74.5115572 15.6405263, 74.511629 15.6405561)",,,
109805003,,tertiary,False,True,35.957,"LINESTRING (74.5115572 15.6405263, 74.5113829 15.6404592, 74.5112352 15.6404489)",,,
