osmid,highway,oneway,reversed,length,name,geometry,lanes,maxspeed,junction
1041910275,primary,False,False,8.804,,"LINESTRING (74.8422166 12.8678332, 74.8421595 12.8677769)",,,
"[26203913, 991185881]",primary,True,False,192.18999999999997,Light House Hill Road,"LINESTRING (74.8422166 12.8678332, 74.8426197 12.8682873, 74.8427697 12.8684463, 74.8429012 12.8685813, 74.8430065 12.8686881, 74.8432511 12.86891, 74.843343 12.8690143, 74.8434122 12.8691066)",,,
1041910284,tertiary,True,False,14.851,Bibi Alabi Road,"LINESTRING (74.8400006 12.8654578, 74.8401376 12.8654578)",4,,
1085486380,unclassified,False,True,7.747,,"LINESTRING (74.8420138 12.8694692, 74.8419439 12.8694547)",,,
155838462,primary,True,False,184.12,Karnad Sadashiva Rao Road,"LINESTRING (74.8420138 12.8694692, 74.8420292 12.8691492, 74.8420807 12.868322, 74.842116 12.8681645, 74.8421912 12.8679227, 74.8422166 12.8678332)",2,40,
305943995,primary,True,False,32.298,Balmatta Cross Road,"LINESTRING (74.8437223 12.8691228, 74.8434735 12.868963)",2,40,
131992230,primary_link,True,False,32.400000000000006,,"LINESTRING (74.8437223 12.8691228, 74.8436362 12.8690963, 74.8435771 12.8691092, 74.8435305 12.8691372, 74.8435114 12.8691787, 74.8435035 12.8692235)",,,
26209728,tertiary,False,False,372.254,,"LINESTRING (74.8470448 12.8711786, 74.8473463 12.8705498, 74.8474933 12.8702177, 74.8475458 12.8700004, 74.8475177 12.8697476, 74.8473398 12.8692957, 74.8473007 12.869092, 74.8473344 12.8686623, 74.847376 12.868465, 74.8474614 12.8681779, 74.8475006 12.8679899)",,,
305943995,primary,True,False,193.67300000000003,Balmatta Cross Road,"LINESTRING (74.8470448 12.8711786, 74.8467789 12.8709446, 74.8467026 12.8708608, 74.8466634 12.8708177, 74.8464219 12.8705202, 74.8461145 12.870207, 74.846061 12.8701631, 74.8459843 12.8701178, 74.8457445 12.8700174)",2,40,
26209724,secondary,True,False,3.915,,"LINESTRING (74.8474945 12.8679552, 74.8475006 12.8679899)",,,roundabout
26299198,secondary,False,False,146.71800000000002,Mother Teresa Road,"LINESTRING (74.8474945 12.8679552, 74.8466526 12.867868, 74.8461464 12.8678437)",4,,
26299198,secondary,False,True,69.082,Mother Teresa Road,"LINESTRING (74.8455099 12.8678132, 74.8461464 12.8678437)",4,,
26299198,secondary,False,False,125.54399999999998,Mother Teresa Road,"LINESTRING (74.8455099 12.8678132, 74.8447694 12.8677857, 74.8444133 12.867818, 74.8443541 12.8678234)",4,,
1090244042,residential,False,True,85.761,,"LINESTRING (74.8455099 12.8678132, 74.8455294 12.8676294, 74.8455562 12.8670435)",,,
"[200101184, 26299198]","['secondary', 'tertiary']",False,"[False, True]",306.566,Mother Teresa Road,"LINESTRING (74.8431719 12.8677021, 74.8427492 12.8677284, 74.8426874 12.8677244, 74.8427005 12.8677075, 74.8431039 12.8663854, 74.8430889 12.8659828, 74.8430786 12.8655026)",4,,
26299198,secondary,False,True,129.12099999999998,Mother Teresa Road,"LINESTRING (74.8431719 12.8677021, 74.8433353 12.8677331, 74.8435103 12.8677662, 74.8441502 12.8678224, 74.8443541 12.8678234)",4,,
26514954,tertiary,True,False,215.973,,"LINESTRING (74.8431719 12.8677021, 74.8433396 12.8675437, 74.8435976 12.867346, 74.8438138 12.8671947, 74.8440978 12.8670244, 74.8442812 12.8669072, 74.8444277 12.8667548, 74.8445288 12.8664463, 74.8445328 12.8663827)",,,
26209727,tertiary,False,True,177.559,Sturrock Road,"LINESTRING (74.8474552 12.8662934, 74.8473985 12.8668655, 74.8474719 12.8671157, 74.8475454 12.8674007, 74.847518 12.8675929, 74.8475433 12.8678657)",2,,
132071725,residential,False,True,199.314,,"LINESTRING (74.8474552 12.8662934, 74.8472391 12.8662698, 74.8464865 12.8662162, 74.8458355 12.866228, 74.8456223 12.8661976)",,,
26514959,tertiary,False,True,145.651,Nandigudda Road,"LINESTRING (74.8430786 12.8655026, 74.8444163 12.86538)",2,,
"[200101184, 26299198]","['secondary', 'tertiary']",False,"[False, True]",306.56600000000003,Mother Teresa Road,"LINESTRING (74.8430786 12.8655026, 74.8430889 12.8659828, 74.8431039 12.8663854, 74.8427005 12.8677075, 74.8426874 12.8677244, 74.8427492 12.8677284, 74.8431719 12.8677021)",4,,
26514959,tertiary,False,False,145.651,Nandigudda Road,"LINESTRING (74.8444163 12.86538, 74.8430786 12.8655026)",2,,
117011796,residential,False,True,114.481,,"LINESTRING (74.8386199 12.8658108, 74.8388243 12.8659403, 74.8391177 12.8661144, 74.8393692 12.8663345, 74.8394543 12.8664314)",,,
27189535,tertiary,False,True,134.998,,"LINESTRING (74.8384948 12.8687964, 74.8384917 12.8683183, 74.8384914 12.8682301, 74.83849 12.8677812, 74.8384622 12.8675842)",,,
