osmid,oneway,highway,reversed,length,geometry,tunnel,bridge
260118157,True,residential,False,23.045,"LINESTRING (72.8790144 21.0774231, 72.8790453 21.0774415, 72.879228 21.0774712)",,
937018710,False,residential,True,70.783,"LINESTRING (72.8790144 21.0774231, 72.8787953 21.0774675, 72.8787717 21.077478, 72.8787669 21.0774961, 72.8787637 21.0778804)",,
936566310,False,residential,False,38.941,"LINESTRING (72.879228 21.0774712, 72.8792189 21.0778213)",,
936566310,False,residential,True,8.286,"LINESTRING (72.879228 21.0774712, 72.8792296 21.0773967)",,
260121407,False,residential,True,2.662,"LINESTRING (72.8754823 21.0785487, 72.8754872 21.0785252)",,
260121407,False,residential,False,57.156,"LINESTRING (72.8754823 21.0785487, 72.8754286 21.0787965, 72.8754581 21.0788816, 72.8754308 21.0789392, 72.8754066 21.0790067, 72.8754068 21.0790443)",,
260121424,False,residential,True,46.519999999999996,"LINESTRING (72.8754823 21.0785487, 72.8758712 21.0786188, 72.8759207 21.0786345)",,
260121425,False,residential,False,12.521,"LINESTRING (72.876155 21.0802831, 72.8760348 21.0802731)",,
260121425,False,residential,True,21.647,"LINESTRING (72.876155 21.0802831, 72.8763628 21.0803005)",,
260121426,False,residential,False,81.38100000000001,"LINESTRING (72.876155 21.0802831, 72.8760825 21.0805785, 72.8760214 21.0808512, 72.8759919 21.0809989)",,
260121403,False,residential,False,12.223,"LINESTRING (72.87681 21.0772648, 72.8766984 21.0772296)",,
260121403,False,residential,True,22.022,"LINESTRING (72.87681 21.0772648, 72.87701 21.0773311)",,
260121410,False,residential,False,66.383,"LINESTRING (72.87681 21.0772648, 72.8766021 21.0778294)",,
260121410,False,residential,True,58.884,"LINESTRING (72.87681 21.0772648, 72.876928 21.076932, 72.877011 21.0767706)",,
260121409,False,residential,True,24.928,"LINESTRING (72.8753884 21.0774525, 72.8753565 21.0776747)",,
260121410,False,residential,False,22.555,"LINESTRING (72.8763648 21.0785617, 72.8762771 21.0787473)",,
260121410,False,residential,True,15.245,"LINESTRING (72.8763648 21.0785617, 72.8764049 21.0784298)",,
260121420,False,residential,False,151.687,"LINESTRING (72.8763648 21.0785617, 72.8765069 21.0785613, 72.8778238 21.0784787)",,
603453857,True,unclassified,False,8.431,"LINESTRING (72.8767868 21.0766296, 72.876865 21.076609)",,
936623239,False,residential,False,7.019,"LINESTRING (72.8767868 21.0766296, 72.8768006 21.0765678)",,
260121424,False,residential,False,14.229,"LINESTRING (72.8779403 21.0789907, 72.8778034 21.0789983)",,
260121409,False,residential,False,24.928,"LINESTRING (72.8753565 21.0776747, 72.8753884 21.0774525)",,
260121409,False,residential,True,117.394,"LINESTRING (72.8753565 21.0776747, 72.8753267 21.077883, 72.8752341 21.0784824, 72.8754872 21.0785252)",,
260121421,False,residential,False,32.658,"LINESTRING (72.8753565 21.0776747, 72.875493 21.0776903, 72.8756673 21.0777203)",,
260121397,False,residential,False,131.23,"LINESTRING (72.87773 21.0781333, 72.8764674 21.078203)",,
260121397,False,residential,True,131.23,"LINESTRING (72.8764674 21.078203, 72.87773 21.0781333)",,
260121410,False,residential,False,26.039,"LINESTRING (72.8764674 21.078203, 72.8764049 21.0784298)",,
260121410,False,residential,True,25.442,"LINESTRING (72.8764674 21.078203, 72.8765224 21.0780457, 72.8765445 21.0779858)",,
260121403,False,residential,True,95.915,"LINESTRING (72.8758226 21.0769535, 72.8764753 21.0771593, 72.8766984 21.0772296)",,
260121420,False,residential,True,151.687,"LINESTRING (72.8778238 21.0784787, 72.8765069 21.0785613, 72.8763648 21.0785617)",,
603453857,True,unclassified,False,10.01,"LINESTRING (72.8752954 21.0765147, 72.8753914 21.0765058)",,
"[260121400, 603453858]",False,unclassified,True,87.223,"LINESTRING (72.8752954 21.0765147, 72.8745725 21.0763743, 72.874527 21.0763563, 72.8744842 21.0763274)",yes,
138964943,True,secondary,False,36.014,"LINESTRING (72.8785808 21.0814616, 72.8783416 21.0812269)",,
915527011,False,unclassified,False,113.042,"LINESTRING (72.8785808 21.0814616, 72.8785502 21.0813604, 72.8785124 21.0813071, 72.878218 21.0810389, 72.877868 21.0807098)",,
937018699,False,unclassified,False,23.22,"LINESTRING (72.877011 21.0767706, 72.877153 21.076932)",,
937018699,False,unclassified,True,15.166,"LINESTRING (72.877011 21.0767706, 72.8769279 21.0766584)",,
260121410,False,residential,False,58.884,"LINESTRING (72.877011 21.0767706, 72.876928 21.076932, 72.87681 21.0772648)",,
260121392,False,residential,False,29.012,"LINESTRING (72.8765946 21.0819508, 72.876871 21.0819903)",,
260121392,False,residential,True,15.717,"LINESTRING (72.8765946 21.0819508, 72.8764459 21.0819238)",,
948912755,False,residential,False,95.107,"LINESTRING (72.8765946 21.0819508, 72.8767317 21.0811051)",,
260121425,False,residential,True,10.941,"LINESTRING (72.8757076 21.0803657, 72.875721 21.0802681)",,
940249770,False,unclassified,False,11.378,"LINESTRING (72.878996 21.0769604, 72.8791056 21.0769571)",,
940249770,False,unclassified,True,31.172,"LINESTRING (72.878996 21.0769604, 72.8786957 21.0769688)",,
260118157,True,residential,False,51.573,"LINESTRING (72.878996 21.0769604, 72.8790061 21.0773937, 72.8790144 21.0774231)",,
260121410,False,residential,True,18.389,"LINESTRING (72.8765445 21.0779858, 72.8766021 21.0778294)",,
260121407,False,residential,False,95.78999999999999,"LINESTRING (72.8765445 21.0779858, 72.8762279 21.0778705, 72.8759034 21.0777779, 72.8756673 21.0777203)",,
260121410,False,residential,False,25.442,"LINESTRING (72.8765445 21.0779858, 72.8765224 21.0780457, 72.8764674 21.078203)",,
936566291,False,residential,True,67.832,"LINESTRING (72.8769279 21.0766584, 72.8766984 21.0772296)",,
937018699,False,unclassified,False,15.166,"LINESTRING (72.8769279 21.0766584, 72.877011 21.0767706)",,
937018699,False,unclassified,True,5.627,"LINESTRING (72.8769279 21.0766584, 72.8769015 21.0766142)",,
260121410,False,residential,True,22.555,"LINESTRING (72.8762771 21.0787473, 72.8763648 21.0785617)",,
260121424,False,residential,False,39.048,"LINESTRING (72.8762771 21.0787473, 72.8759207 21.0786345)",,
260121424,False,residential,True,6.601,"LINESTRING (72.8762771 21.0787473, 72.8763352 21.0787715)",,
260121413,False,residential,False,108.366,"LINESTRING (72.8776441 21.0777629, 72.8766021 21.0778294)",,
260121408,False,residential,True,20.196,"LINESTRING (72.8792484 21.0795954, 72.879148 21.0794398)",,
260121423,False,residential,True,37.198,"LINESTRING (72.8792484 21.0795954, 72.8791564 21.0796474, 72.8789402 21.0797663)",,
260121388,False,residential,False,17.726,"LINESTRING (72.8757794 21.0797624, 72.8759417 21.0798122)",,
260121399,False,residential,True,53.622,"LINESTRING (72.8757794 21.0797624, 72.8752865 21.0796174)",,
260121388,False,residential,True,56.818999999999996,"LINESTRING (72.8757794 21.0797624, 72.8757451 21.0798702, 72.875721 21.0802681)",,
260121410,False,residential,False,18.389,"LINESTRING (72.8766021 21.0778294, 72.8765445 21.0779858)",,
260121410,False,residential,True,66.383,"LINESTRING (72.8766021 21.0778294, 72.87681 21.0772648)",,
260121413,False,residential,True,108.366,"LINESTRING (72.8766021 21.0778294, 72.8776441 21.0777629)",,
260121426,False,residential,True,85.349,"LINESTRING (72.8756486 21.0815996, 72.8757156 21.0809664, 72.8758552 21.0809828)",,
260121395,False,residential,True,45.376999999999995,"LINESTRING (72.8790303 21.0823378, 72.8788345 21.0823103, 72.8785975 21.0822791)",,
260121411,False,residential,True,29.191000000000003,"LINESTRING (72.8790303 21.0823378, 72.8790845 21.0821827, 72.87916 21.0821126)",,
260121404,False,residential,True,89.09400000000001,"LINESTRING (72.8776141 21.077002, 72.8776039 21.0768118, 72.8775873 21.0764314, 72.8775807 21.0762014)",,
