osmid,highway,oneway,reversed,length,geometry,ref,lanes,maxspeed
172993052,secondary,False,True,29.976,"LINESTRING (76.8317367 28.1086563, 76.8316097 28.1084111)",,,
172993052,secondary,False,False,335.663,"LINESTRING (76.8317367 28.1086563, 76.8319101 28.1088014, 76.8321235 28.1089269, 76.8325413 28.1091347, 76.8328525 28.1092758, 76.8330259 28.1094209, 76.8332348 28.109664, 76.8336667 28.1109425)",,,
1090329160,unclassified,False,False,528.7090000000001,"LINESTRING (76.8317367 28.1086563, 76.8311101 28.1088821, 76.8312952 28.1092938, 76.8314239 28.1093742, 76.8315607 28.1093719, 76.8316868 28.1096155, 76.8307427 28.1101124, 76.830461 28.1101881, 76.8295518 28.1103324, 76.8292943 28.1103229, 76.8291736 28.1102543, 76.8286505 28.11011, 76.8283042 28.110118)",,,
172993052,secondary,False,True,335.663,"LINESTRING (76.8336667 28.1109425, 76.8332348 28.109664, 76.8330259 28.1094209, 76.8328525 28.1092758, 76.8325413 28.1091347, 76.8321235 28.1089269, 76.8319101 28.1088014, 76.8317367 28.1086563)",,,
179310194,primary,False,False,146.02100000000002,"LINESTRING (76.8336667 28.1109425, 76.8339861 28.1118558, 76.8339816 28.112142, 76.8339226 28.1121906)",SH108,,
1120043956,primary,False,True,188.621,"LINESTRING (76.8336667 28.1109425, 76.8341802 28.1108593, 76.8350037 28.1106652, 76.8354187 28.1106541, 76.8355452 28.1106917)",SH108,,
410063510,primary,False,True,11.198,"LINESTRING (76.8281172 28.1093524, 76.8280138 28.1093951)",,2,
1120043956,primary,False,False,188.62099999999998,"LINESTRING (76.8355452 28.1106917, 76.8354187 28.1106541, 76.8350037 28.1106652, 76.8341802 28.1108593, 76.8336667 28.1109425)",SH108,,
179310194,primary,False,False,304.745,"LINESTRING (76.8324833 28.1129069, 76.831879 28.1131536, 76.8311455 28.1134712, 76.8307632 28.1137025, 76.8302298 28.1142162, 76.8300812 28.1145159)",SH108,,
179310194,primary,False,True,162.92000000000002,"LINESTRING (76.8324833 28.1129069, 76.8332526 28.1125929, 76.8337816 28.1123067, 76.8339226 28.1121906)",SH108,,
410063510,primary,False,False,11.198,"LINESTRING (76.8280138 28.1093951, 76.8281172 28.1093524)",,2,
410063510,primary,False,True,36.583,"LINESTRING (76.8280138 28.1093951, 76.8276658 28.1095135)",,2,
410064888,primary,True,False,87.14,"LINESTRING (76.8283042 28.110118, 76.8282696 28.1099587, 76.8281836 28.1095649, 76.8281172 28.1093524)",SH25,2,40
1090329160,unclassified,False,True,528.7090000000001,"LINESTRING (76.8283042 28.110118, 76.8286505 28.11011, 76.8291736 28.1102543, 76.8292943 28.1103229, 76.8295518 28.1103324, 76.830461 28.1101881, 76.8307427 28.1101124, 76.8316868 28.1096155, 76.8315607 28.1093719, 76.8314239 28.1093742, 76.8312952 28.1092938, 76.8311101 28.1088821, 76.8317367 28.1086563)",,,
172993052,secondary,False,False,29.976,"LINESTRING (76.8316097 28.1084111, 76.8317367 28.1086563)",,,
179310194,primary,False,False,162.92000000000002,"LINESTRING (76.8339226 28.1121906, 76.8337816 28.1123067, 76.8332526 28.1125929, 76.8324833 28.1129069)",SH108,,
179310194,primary,False,True,146.02100000000002,"LINESTRING (76.8339226 28.1121906, 76.8339816 28.112142, 76.8339861 28.1118558, 76.8336667 28.1109425)",SH108,,
410063510,primary,False,False,36.583,"LINESTRING (76.8276658 28.1095135, 76.8280138 28.1093951)",,2,
179310194,primary,False,True,304.745,"LINESTRING (76.8300812 28.1145159, 76.8302298 28.1142162, 76.8307632 28.1137025, 76.8311455 28.1134712, 76.831879 28.1131536, 76.8324833 28.1129069)",SH108,,
