osmid,oneway,highway,access,reversed,length,geometry,ref
692848976,False,residential,,False,198.13799999999998,"LINESTRING (72.776499 25.3704129, 72.7766599 25.370356, 72.7777419 25.3702163, 72.7784342 25.3700898)",
181576577,False,unclassified,yes,True,4.514,"LINESTRING (72.7801407 25.3684503, 72.7801208 25.3684139)",
181576577,False,unclassified,yes,False,54.349000000000004,"LINESTRING (72.7801407 25.3684503, 72.7801652 25.3684951, 72.7804359 25.3688594)",
692848979,False,residential,,False,277.06300000000005,"LINESTRING (72.7801407 25.3684503, 72.7802916 25.3683947, 72.7804589 25.3683191, 72.7807935 25.3680949, 72.7813399 25.3676289, 72.7814124 25.3674248, 72.7814598 25.3673013, 72.7814487 25.3668529, 72.7814738 25.3667723, 72.7815797 25.3667219, 72.7817219 25.3666816)",
692848979,False,residential,,False,25.141,"LINESTRING (72.7817219 25.3666816, 72.7819645 25.366737)",
692848979,False,residential,,True,277.063,"LINESTRING (72.7817219 25.3666816, 72.7815797 25.3667219, 72.7814738 25.3667723, 72.7814487 25.3668529, 72.7814598 25.3673013, 72.7814124 25.3674248, 72.7813399 25.3676289, 72.7807935 25.3680949, 72.7804589 25.3683191, 72.7802916 25.3683947, 72.7801407 25.3684503)",
692848987,False,residential,,False,172.276,"LINESTRING (72.7817219 25.3666816, 72.7816455 25.3663425, 72.7815597 25.3660357, 72.7814132 25.3656254, 72.7812229 25.3652034)",
692848979,False,residential,,True,25.141,"LINESTRING (72.7819645 25.366737, 72.7817219 25.3666816)",
692848979,False,residential,,False,74.957,"LINESTRING (72.7819645 25.366737, 72.7820091 25.3667924, 72.7822489 25.366795, 72.7823994 25.3668579, 72.7825779 25.3668983, 72.7826576 25.3669089)",
692848981,False,residential,,True,291.581,"LINESTRING (72.7819645 25.366737, 72.781949 25.3671149, 72.7819652 25.3673234, 72.7820907 25.3676635, 72.7821474 25.3679708, 72.7821555 25.3682378, 72.7820502 25.3683255, 72.7815564 25.3684828, 72.7810743 25.3687188)",
692848979,False,residential,,True,44.405,"LINESTRING (72.7838046 25.3663365, 72.78359 25.3666085, 72.7835367 25.3666526)",
692848985,False,residential,,False,189.37,"LINESTRING (72.7838046 25.3663365, 72.7836875 25.3659474, 72.7834877 25.3654323, 72.7832938 25.3649544, 72.7832146 25.3647201)",
692848980,False,residential,,False,38.944,"LINESTRING (72.7836526 25.3683087, 72.783433 25.3680201)",
692848980,False,residential,,True,266.066,"LINESTRING (72.7836526 25.3683087, 72.7830737 25.3685432, 72.782375 25.3686635, 72.7817828 25.3686755, 72.7810743 25.3687188)",
692848983,False,residential,,False,71.776,"LINESTRING (72.7836526 25.3683087, 72.7838151 25.3685121, 72.7840519 25.3688437)",
692848980,False,residential,,True,38.944,"LINESTRING (72.783433 25.3680201, 72.7836526 25.3683087)",
692848980,False,residential,,False,155.95799999999997,"LINESTRING (72.783433 25.3680201, 72.7835728 25.3677917, 72.7835661 25.3673407, 72.7835195 25.3668237, 72.7835367 25.3666526)",
692848982,False,residential,,False,146.80999999999997,"LINESTRING (72.783433 25.3680201, 72.7832241 25.3678135, 72.7829934 25.367488, 72.7828193 25.3672027, 72.7826576 25.3669089)",
692848979,False,residential,,True,8.126,"LINESTRING (72.7835367 25.3666526, 72.783477 25.3667019)",
692848979,False,residential,,False,44.405,"LINESTRING (72.7835367 25.3666526, 72.78359 25.3666085, 72.7838046 25.3663365)",
692848980,False,residential,,True,155.958,"LINESTRING (72.7835367 25.3666526, 72.7835195 25.3668237, 72.7835661 25.3673407, 72.7835728 25.3677917, 72.783433 25.3680201)",
692848980,False,residential,,False,266.066,"LINESTRING (72.7810743 25.3687188, 72.7817828 25.3686755, 72.782375 25.3686635, 72.7830737 25.3685432, 72.7836526 25.3683087)",
692848980,False,residential,,True,66.375,"LINESTRING (72.7810743 25.3687188, 72.7808978 25.3687296, 72.7804359 25.3688594)",
692848981,False,residential,,False,291.58099999999996,"LINESTRING (72.7810743 25.3687188, 72.7815564 25.3684828, 72.7820502 25.3683255, 72.7821555 25.3682378, 72.7821474 25.3679708, 72.7820907 25.3676635, 72.7819652 25.3673234, 72.781949 25.3671149, 72.7819645 25.366737)",
692848979,False,residential,,False,87.80099999999999,"LINESTRING (72.7826576 25.3669089, 72.7828037 25.3669285, 72.7830546 25.3668781, 72.7834255 25.3667446, 72.783477 25.3667019)",
692848979,False,residential,,True,74.957,"LINESTRING (72.7826576 25.3669089, 72.7825779 25.3668983, 72.7823994 25.3668579, 72.7822489 25.366795, 72.7820091 25.3667924, 72.7819645 25.366737)",
692848982,False,residential,,True,146.80999999999997,"LINESTRING (72.7826576 25.3669089, 72.7828193 25.3672027, 72.7829934 25.367488, 72.7832241 25.3678135, 72.783433 25.3680201)",
31926411,False,trunk,,True,272.317,"LINESTRING (72.7859656 25.3709628, 72.7855147 25.3709021, 72.7851671 25.3708694, 72.7849979 25.3709166, 72.784895 25.3709662, 72.784703 25.3710798, 72.7842823 25.3713807, 72.7836123 25.3718464)",NH325
692848983,False,residential,,True,304.822,"LINESTRING (72.7859656 25.3709628, 72.785673 25.3705822, 72.785082 25.3698653, 72.7844991 25.3693313, 72.7841024 25.3689144, 72.7840519 25.3688437)",
181576577,False,unclassified,yes,True,20.076,"LINESTRING (72.7785391 25.3643799, 72.7785606 25.3642004)",
181576577,False,unclassified,yes,False,156.25400000000002,"LINESTRING (72.7785391 25.3643799, 72.7785143 25.3645864, 72.7785026 25.3648044, 72.7784055 25.3650118, 72.7783495 25.3651714, 72.7783084 25.3653868, 72.7782848 25.3657059, 72.7782901 25.3657539)",
692848984,False,residential,,False,315.89300000000003,"LINESTRING (72.7785391 25.3643799, 72.7788839 25.3643538, 72.7792057 25.3643577, 72.7795188 25.3643223, 72.7798059 25.3643223, 72.7800929 25.3644442, 72.7806148 25.3649118, 72.7808258 25.3649452, 72.7808953 25.3649786, 72.7810302 25.3652498, 72.7812229 25.3652034)",
692848984,False,residential,,True,26.171,"LINESTRING (72.7832146 25.3647201, 72.7831091 25.3647291, 72.7829698 25.3646687)",
692848985,False,residential,,True,189.37,"LINESTRING (72.7832146 25.3647201, 72.7832938 25.3649544, 72.7834877 25.3654323, 72.7836875 25.3659474, 72.7838046 25.3663365)",
692848979,False,residential,,False,8.126,"LINESTRING (72.783477 25.3667019, 72.7835367 25.3666526)",
692848979,False,residential,,True,87.801,"LINESTRING (72.783477 25.3667019, 72.7834255 25.3667446, 72.7830546 25.3668781, 72.7828037 25.3669285, 72.7826576 25.3669089)",
