osmid,ref,highway,oneway,reversed,length,geometry,tunnel,name
178614763,SH45,primary,False,False,180.585,"LINESTRING (77.2926512 26.9020642, 77.2928584 26.9022387, 77.2932884 26.902626, 77.2939288 26.9032212)",,
178614763,SH45,primary,False,True,398.94,"LINESTRING (77.2926512 26.9020642, 77.292427 26.9020324, 77.2918039 26.9019934, 77.2912451 26.9019976, 77.29018 26.9018956, 77.288678 26.9015867)",,
"[934332776, 934332777, 193140160]",,tertiary,False,False,319.972,"LINESTRING (77.2926512 26.9020642, 77.2927471 26.9017643, 77.2929093 26.9015918, 77.2932668 26.9013913, 77.2937367 26.9012187, 77.2940653 26.9011236, 77.2943285 26.9010351, 77.2946141 26.9008775, 77.2949547 26.9014548)",yes,
178614763,SH45,primary,False,False,113.028,"LINESTRING (77.2967076 26.9044687, 77.2969019 26.9045925, 77.2970392 26.9047164, 77.2971713 26.9049141, 77.2972205 26.9050733, 77.2972352 26.9052539, 77.2972388 26.9053068)",,
178614763,SH45,primary,False,True,316.476,"LINESTRING (77.2967076 26.9044687, 77.2964511 26.9043988, 77.2962012 26.904358, 77.2960994 26.9043396, 77.2960402 26.9043289, 77.2957435 26.9042751, 77.2954089 26.9041978, 77.2950806 26.904071, 77.2947555 26.903886, 77.2942005 26.9034377, 77.2939288 26.9032212)",,
934332779,,residential,False,True,175.278,"LINESTRING (77.2967076 26.9044687, 77.296666 26.9043282, 77.296393 26.9037995, 77.2964271 26.9029511)",,
170014675,SH1;SH45,primary,False,False,73.366,"LINESTRING (77.2894405 26.9083324, 77.2893018 26.9089805)",,
170014675,SH1;SH45,primary,False,True,509.23,"LINESTRING (77.2894405 26.9083324, 77.2895614 26.907642, 77.2895677 26.9069817, 77.2895583 26.9066122, 77.2895504 26.9063005, 77.2894878 26.9057895, 77.2894491 26.9054731, 77.2894067 26.9046748, 77.2893844 26.9042562, 77.2893947 26.9039081, 77.2893822 26.9037682)",,
730842892,,tertiary,False,False,177.626,"LINESTRING (77.2894405 26.9083324, 77.2903166 26.9083061, 77.2911165 26.9080427, 77.2911609 26.908004)",,
178614763,SH45,primary,False,False,316.476,"LINESTRING (77.2939288 26.9032212, 77.2942005 26.9034377, 77.2947555 26.903886, 77.2950806 26.904071, 77.2954089 26.9041978, 77.2957435 26.9042751, 77.2960402 26.9043289, 77.2960994 26.9043396, 77.2962012 26.904358, 77.2964511 26.9043988, 77.2967076 26.9044687)",,
178614763,SH45,primary,False,True,180.58499999999998,"LINESTRING (77.2939288 26.9032212, 77.2932884 26.902626, 77.2928584 26.9022387, 77.2926512 26.9020642)",,
755381504,,tertiary,False,True,483.225,"LINESTRING (77.2939288 26.9032212, 77.2934014 26.9038814, 77.2935819 26.9054206, 77.2934303 26.9059165, 77.2934199 26.9059583, 77.2930994 26.9073602)",,Station Road
730842892,,tertiary,False,False,364.183,"LINESTRING (77.2930994 26.9073602, 77.2933626 26.9073293, 77.2941626 26.9070221, 77.2947595 26.9064843, 77.2950425 26.906177, 77.2955286 26.9060837, 77.2962732 26.9060837)",,
