osmid,ref,highway,oneway,reversed,length,geometry,name,lanes,maxspeed,bridge
97699135,NH48,trunk,False,False,7.124,"LINESTRING (73.4043777 18.7540095, 73.4043103 18.7540151)",,,,
97699135,NH48,trunk,False,True,151.096,"LINESTRING (73.4043777 18.7540095, 73.4048792 18.7540208, 73.4052001 18.7540706, 73.4057933 18.7541977)",,,,
1265052122,,secondary,True,False,81.90899999999999,"LINESTRING (73.4043777 18.7540095, 73.4042545 18.7533806, 73.4041846 18.7533097)",Main Bazar Rd,,,
97699135,NH48,trunk,False,False,151.096,"LINESTRING (73.4057933 18.7541977, 73.4052001 18.7540706, 73.4048792 18.7540208, 73.4043777 18.7540095)",,,,
440334660,,residential,False,False,56.349000000000004,"LINESTRING (73.4057933 18.7541977, 73.405795 18.7539279, 73.4057896 18.753691)",Railway Station Road 2,1,40,
97699135,NH48,trunk,False,False,78.777,"LINESTRING (73.3997027 18.7553082, 73.3990745 18.755693)",,,,
97699135,NH48,trunk,False,True,212.341,"LINESTRING (73.3997027 18.7553082, 73.4011726 18.7544903, 73.4014515 18.7543583)",,,,
1185957242,,residential,False,False,98.48499999999999,"LINESTRING (73.3997027 18.7553082, 73.3999801 18.7556333, 73.4000122 18.7557044, 73.4002322 18.7560346)",,,,
440337821,,residential,False,False,163.513,"LINESTRING (73.3992991 18.7546534, 73.3993032 18.7531829)",,,,
25954039,,residential,False,False,248.066,"LINESTRING (73.3992991 18.7546534, 73.3996907 18.7545062, 73.3999859 18.7544817, 73.4001806 18.7544086, 73.4003636 18.7543211, 73.4005494 18.7541569, 73.4006055 18.7541489, 73.4006705 18.7541508, 73.4007661 18.7541536, 73.4008596 18.7541563, 73.4011946 18.7541805, 73.4012589 18.7541993, 73.4014515 18.7543583)",old khandala Rd,,,
25954039,,residential,False,True,57.979,"LINESTRING (73.3992991 18.7546534, 73.3989157 18.7547251, 73.398781 18.7548066)",old khandala Rd,,,
25954039,,residential,False,True,248.066,"LINESTRING (73.4014515 18.7543583, 73.4012589 18.7541993, 73.4011946 18.7541805, 73.4008596 18.7541563, 73.4007661 18.7541536, 73.4006705 18.7541508, 73.4006055 18.7541489, 73.4005494 18.7541569, 73.4003636 18.7543211, 73.4001806 18.7544086, 73.3999859 18.7544817, 73.3996907 18.7545062, 73.3992991 18.7546534)",old khandala Rd,,,
97699135,NH48,trunk,False,False,212.341,"LINESTRING (73.4014515 18.7543583, 73.4011726 18.7544903, 73.3997027 18.7553082)",,,,
97699135,NH48,trunk,False,True,160.911,"LINESTRING (73.4014515 18.7543583, 73.401716 18.7542897, 73.4025893 18.7542183, 73.4029637 18.7541729)",,,,
"[25954040, 1130861834, 1130861835]",,secondary,False,False,360.36499999999995,"LINESTRING (73.4045193 18.7510594, 73.4042728 18.7512163, 73.4035361 18.7514975, 73.4033616 18.7515847, 73.4032453 18.7517204, 73.4032647 18.7519046, 73.4033907 18.7522051, 73.4036292 18.7525106, 73.4038117 18.752739, 73.4041846 18.7533097)",Main Bazar Rd,,,yes
