osmid,lanes,ref,highway,oneway,reversed,length,geometry
169269093,2,NH709A,trunk,False,True,248.035,"LINESTRING (76.6026298 29.5169036, 76.6051709 29.5171967)"
169269093,2,NH709A,trunk,False,False,248.035,"LINESTRING (76.6051709 29.5171967, 76.6026298 29.5169036)"
169269098,2,NH709A,trunk,False,False,290.497,"LINESTRING (76.6051709 29.5171967, 76.6054509 29.5175647, 76.6054678 29.5175919, 76.6060993 29.5186079, 76.6062097 29.5187854, 76.6066379 29.5194744)"
"[259815518, 546495999]",,,unclassified,False,"[False, True]",405.18,"LINESTRING (76.6051709 29.5171967, 76.6048522 29.5183856, 76.6047379 29.5188113, 76.6048497 29.5187526, 76.6049838 29.5187502, 76.6049999 29.5188949, 76.6050321 29.519084, 76.605048 29.519257, 76.6049999 29.5198472, 76.6052091 29.5204751)"
169269098,2,NH709A,trunk,False,True,35.718,"LINESTRING (76.6079634 29.521608, 76.6077879 29.5213254)"
259992189,,,residential,False,False,171.776,"LINESTRING (76.6084122 29.5194235, 76.6066379 29.5194744)"
259992189,,,residential,False,True,33.788,"LINESTRING (76.6084122 29.5194235, 76.6085871 29.5196865)"
259992189,,,residential,False,True,171.776,"LINESTRING (76.6066379 29.5194744, 76.6084122 29.5194235)"
169269098,2,NH709A,trunk,False,False,233.97500000000002,"LINESTRING (76.6066379 29.5194744, 76.6070792 29.5201843, 76.6077879 29.5213254)"
169269098,2,NH709A,trunk,False,True,290.497,"LINESTRING (76.6066379 29.5194744, 76.6062097 29.5187854, 76.6060993 29.5186079, 76.6054678 29.5175919, 76.6054509 29.5175647, 76.6051709 29.5171967)"
259992189,,,residential,False,False,33.788,"LINESTRING (76.6085871 29.5196865, 76.6084122 29.5194235)"
169269098,2,NH709A,trunk,False,False,35.718,"LINESTRING (76.6077879 29.5213254, 76.6079634 29.521608)"
169269098,2,NH709A,trunk,False,True,233.97500000000002,"LINESTRING (76.6077879 29.5213254, 76.6070792 29.5201843, 76.6066379 29.5194744)"
546495999,,,unclassified,False,True,277.814,"LINESTRING (76.6077879 29.5213254, 76.6076016 29.5213456, 76.6073629 29.521362, 76.6071242 29.5213667, 76.6068748 29.521285, 76.6066334 29.5211566, 76.6063633 29.5210491, 76.6058395 29.5208039, 76.6053358 29.5206369, 76.6052091 29.5204751)"
546495999,,,unclassified,False,False,277.814,"LINESTRING (76.6052091 29.5204751, 76.6053358 29.5206369, 76.6058395 29.5208039, 76.6063633 29.5210491, 76.6066334 29.5211566, 76.6068748 29.521285, 76.6071242 29.5213667, 76.6073629 29.521362, 76.6076016 29.5213456, 76.6077879 29.5213254)"
"[259815518, 546495999]",,,unclassified,False,"[False, True]",405.17999999999995,"LINESTRING (76.6052091 29.5204751, 76.6049999 29.5198472, 76.605048 29.519257, 76.6050321 29.519084, 76.6049999 29.5188949, 76.6049838 29.5187502, 76.6048497 29.5187526, 76.6047379 29.5188113, 76.6048522 29.5183856, 76.6051709 29.5171967)"
546570373,,,unclassified,False,False,344.32800000000003,"LINESTRING (76.6052091 29.5204751, 76.6049731 29.5205754, 76.6047478 29.5206525, 76.6045761 29.5207085, 76.6042972 29.5207598, 76.6040719 29.5209232, 76.6038895 29.5210189, 76.6037124 29.5210446, 76.6035596 29.5210026, 76.6034201 29.5210632, 76.6033235 29.5210889, 76.6031679 29.5210982, 76.6032028 29.521243, 76.6031948 29.521369, 76.6031948 29.521453, 76.6031975 29.5215067, 76.6032605 29.5215102, 76.6033477 29.5214927, 76.6034549 29.5214729, 76.6035435 29.5214495, 76.6036279 29.5214285, 76.6036789 29.5214063, 76.60375 29.5213877, 76.6038452 29.5213597, 76.6039538 29.5213632, 76.6040236 29.521369)"
546570373,,,unclassified,False,True,344.3280000000001,"LINESTRING (76.6040236 29.521369, 76.6039538 29.5213632, 76.6038452 29.5213597, 76.60375 29.5213877, 76.6036789 29.5214063, 76.6036279 29.5214285, 76.6035435 29.5214495, 76.6034549 29.5214729, 76.6033477 29.5214927, 76.6032605 29.5215102, 76.6031975 29.5215067, 76.6031948 29.521453, 76.6031948 29.521369, 76.6032028 29.521243, 76.6031679 29.5210982, 76.6033235 29.5210889, 76.6034201 29.5210632, 76.6035596 29.5210026, 76.6037124 29.5210446, 76.6038895 29.5210189, 76.6040719 29.5209232, 76.6042972 29.5207598, 76.6045761 29.5207085, 76.6047478 29.5206525, 76.6049731 29.5205754, 76.6052091 29.5204751)"
