osmid,oneway,ref,highway,reversed,length,name,geometry,junction,lanes,maxspeed
814923352,True,MDR,secondary,False,12.212,,"LINESTRING (79.5124535 13.6391731, 79.5125659 13.6391845)",,,
"[814923354, 325390611]",True,NH71;NH716,trunk,False,433.566,Tirupati Bypass,"LINESTRING (79.5124535 13.6391731, 79.512563 13.6394825, 79.5128179 13.639889, 79.5131042 13.6401772, 79.5133593 13.6404413, 79.5134843 13.6405707, 79.513748 13.6408991, 79.5139282 13.6412312, 79.5140017 13.6414974, 79.5140153 13.6418462, 79.5139908 13.6420708, 79.5139705 13.6421424, 79.5139243 13.6422745, 79.5138889 13.6423631, 79.5138495 13.6424608, 79.5138135 13.6425538)",,,
82611235,False,,primary,True,310.429,,"LINESTRING (79.5092349 13.6428153, 79.5098957 13.6425672, 79.5099255 13.6425607, 79.5101946 13.6425018, 79.5103761 13.6424621, 79.5108779 13.6424301, 79.5114454 13.6424688, 79.5118606 13.6424965, 79.5120435 13.6425162)",,,
814100256,False,,secondary,True,415.065,,"LINESTRING (79.5092349 13.6428153, 79.509202 13.6425981, 79.5092305 13.6419374, 79.5092201 13.6414166, 79.5092537 13.6392965, 79.5092348 13.6391084, 79.5092369 13.6390868)",,,
253574689,False,MDR,secondary,False,204.124,Tirupati Airport Road,"LINESTRING (79.5143143 13.6394261, 79.5146549 13.6385946, 79.5150172 13.6377222)",,,
363114646,False,MDR,secondary,False,28.772,,"LINESTRING (79.5143143 13.6394261, 79.5144397 13.6394575, 79.5145737 13.6394841)",,,
651790999,False,MDR,secondary,True,177.488,Tirupati Airport Road,"LINESTRING (79.5143143 13.6394261, 79.513415 13.6392927, 79.5127667 13.6391941, 79.5126913 13.639181)",,,
814100256,False,,secondary,False,4.479,,"LINESTRING (79.5092305 13.639047, 79.5092369 13.6390868)",,,
814100256,False,,secondary,True,12.082,,"LINESTRING (79.5092305 13.639047, 79.5092064 13.6389409)",,,
253576103,True,,secondary,False,122.271,,"LINESTRING (79.5092305 13.639047, 79.5093799 13.6389744, 79.5095717 13.6388758, 79.5097867 13.6387921, 79.5101327 13.6388026, 79.5103023 13.6388086)",,,
325390609,True,NH71;NH716,trunk,False,2.055,,"LINESTRING (79.5138135 13.6425538, 79.5138003 13.6425671)",roundabout,,
325390609,True,NH71;NH716,trunk,False,25.197,,"LINESTRING (79.5138003 13.6425671, 79.5137631 13.6426048, 79.5137384 13.6426712, 79.5137436 13.6427417, 79.5137596 13.6427709)",roundabout,,
325390616,True,,primary,False,40.096000000000004,,"LINESTRING (79.5138003 13.6425671, 79.5137488 13.6425716, 79.5135911 13.6426007, 79.5134334 13.6426192)",,,
325390609,True,NH71;NH716,trunk,False,28.801000000000002,,"LINESTRING (79.5140591 13.6425866, 79.514019 13.6425603, 79.5139535 13.6425295, 79.5138809 13.6425272, 79.5138135 13.6425538)",roundabout,,
325390610,True,NH71;NH716,trunk,False,434.78599999999994,,"LINESTRING (79.5140591 13.6425866, 79.5140385 13.6424714, 79.5140626 13.6423255, 79.5141128 13.6420303, 79.5141272 13.6418939, 79.514121 13.6416633, 79.5141025 13.6414298, 79.5140255 13.6411933, 79.5138961 13.6408998, 79.5136619 13.6405854, 79.5134617 13.6404016, 79.513437 13.6403788, 79.5131771 13.6401285, 79.5128977 13.6398279, 79.5126782 13.6395197, 79.5125659 13.6391845)",,,
