osmid,highway,oneway,reversed,length,geometry,ref,name,lanes,maxspeed,junction
812844345,residential,False,True,183.396,"LINESTRING (75.5791862 13.9309102, 75.5788672 13.9313598, 75.5784622 13.9320171, 75.5784461 13.9320587, 75.5784394 13.9320991, 75.578438 13.9321512, 75.5784984 13.9323425)",,,,,
807132919,primary,False,True,9.137,"LINESTRING (75.5781699 13.9305615, 75.5782021 13.9304855)",SH57,Savalanga Road,,,
94691986,primary,True,False,116.423,"LINESTRING (75.5781699 13.9305615, 75.578321 13.9306, 75.578514 13.930664, 75.5789098 13.9308029, 75.5791862 13.9309102)",SH57,,2,50,
807132919,primary,False,False,163.226,"LINESTRING (75.5781699 13.9305615, 75.5780035 13.9310526, 75.5779287 13.931274, 75.5778457 13.9315457, 75.5777027 13.9319575)",SH57,Savalanga Road,,,
54731504,primary,True,False,31.892,"LINESTRING (75.5734995 13.9296718, 75.5732059 13.9297043)",,BH Road,2,50,
318438889,residential,False,False,47.679,"LINESTRING (75.5734995 13.9296718, 75.5734834 13.9292433)",,,,,
168429100,secondary,True,False,6.633,"LINESTRING (75.575297 13.9297363, 75.5753085 13.9296777)",,Gandhi Bazar Road,,,
"[178597385, 178597386, 168429099]",tertiary,False,True,601.9690000000002,"LINESTRING (75.575297 13.9297363, 75.5752784 13.9304017, 75.5754098 13.9317138, 75.5753997 13.9318215, 75.5753355 13.9318646, 75.5752489 13.9318908, 75.5747768 13.9320679, 75.5746135 13.9321288, 75.5744825 13.9322628, 75.5743323 13.9324451, 75.5742362 13.9326937, 75.5740928 13.9334737, 75.5740575 13.9335459, 75.5739587 13.9335934, 75.573406 13.9337508, 75.5732078 13.933799, 75.5731297 13.9338088)",,Food Street,,,
359281198,primary,True,False,323.46900000000005,"LINESTRING (75.575297 13.9297363, 75.57551 13.929806, 75.57566 13.929849, 75.575982 13.929956, 75.576175 13.93002, 75.576276 13.9300478, 75.576411 13.930085, 75.576561 13.930128, 75.5767487 13.9301762, 75.576872 13.9302034, 75.5772851 13.9303131, 75.5781699 13.9305615)",,Bengaluru Honnavara Road,2,50,
168413353,secondary,False,False,51.328,"LINESTRING (75.5728602 13.9339587, 75.5723847 13.9339682)",,JPN Road,,,
170205304,secondary,False,False,35.58,"LINESTRING (75.5728602 13.9339587, 75.5726631 13.9342152)",,Jail Road,,,
170205304,secondary,False,True,17.001,"LINESTRING (75.5728602 13.9339587, 75.5729561 13.9338374)",,Jail Road,,,
168413559,tertiary,False,False,61.074,"LINESTRING (75.5731253 13.9331816, 75.5725795 13.9330365)",,Savarline Road,,,
167745585,primary,True,False,58.937000000000005,"LINESTRING (75.5731253 13.9331816, 75.5729967 13.9335686, 75.5729878 13.9336917)",,Nehru Road,,,
167745585,primary,True,False,70.162,"LINESTRING (75.5737125 13.9312486, 75.5735184 13.9318508)",,Nehru Road,,,
168426351,residential,False,False,115.317,"LINESTRING (75.5737125 13.9312486, 75.5726712 13.9310161)",,"1st Cross Road, Garden Area",,,
94862642,primary,True,False,175.54,"LINESTRING (75.5742447 13.9347027, 75.575518 13.935685)",,Balraj Arasa Road,,,
157351892,unclassified,False,False,64.664,"LINESTRING (75.5742447 13.9347027, 75.573854 13.9351436)",,,,,
94862642,primary,True,False,71.9,"LINESTRING (75.575518 13.935685, 75.5760033 13.936128)",,Balraj Arasa Road,,,
157351893,unclassified,False,False,5.236,"LINESTRING (75.575518 13.935685, 75.5755494 13.9356491)",,,,,
157351893,unclassified,False,True,127.854,"LINESTRING (75.575518 13.935685, 75.5744001 13.9360656)",,,,,
157351893,unclassified,False,False,108.756,"LINESTRING (75.5734492 13.9363894, 75.5744001 13.9360656)",,,,,
168426352,unclassified,False,False,61.558,"LINESTRING (75.5734492 13.9363894, 75.5738943 13.9367356)",,,,,
