osmid,ref,highway,oneway,reversed,length,geometry,lanes
375215079,SH8,primary,False,False,71.56,"LINESTRING (76.0600874 12.762872, 76.0604505 12.7628778, 76.0607472 12.7628793)",
154323478,SH21,primary,False,True,151.032,"LINESTRING (76.0666158 12.7606472, 76.0663259 12.7607933, 76.0652751 12.7609702)",
154323478,SH21,primary,False,False,260.797,"LINESTRING (76.0629411 12.7615037, 76.0631821 12.7613908, 76.0638044 12.7612862, 76.0652751 12.7609702)",
154323478,SH21,primary,False,True,283.27099999999996,"LINESTRING (76.0629411 12.7615037, 76.0626457 12.761642, 76.0621092 12.7620186, 76.0615093 12.7624197, 76.0607472 12.7628793)",
369908510,,secondary,False,False,2.602,"LINESTRING (76.0620758 12.7660034, 76.0620812 12.7660262)",1
369908510,,secondary,False,True,159.575,"LINESTRING (76.0620758 12.7660034, 76.0618461 12.7650905, 76.0617097 12.7646136)",1
376197205,,secondary,False,True,44.382,"LINESTRING (76.0620758 12.7660034, 76.0620265 12.7660124, 76.0616754 12.7660859)",1
369908510,,secondary,False,True,59.484,"LINESTRING (76.0622052 12.7665473, 76.0620812 12.7660262)",1
375215096,,residential,False,True,45.512,"LINESTRING (76.0622052 12.7665473, 76.0617947 12.7666324)",
369908510,,secondary,False,False,76.851,"LINESTRING (76.0622052 12.7665473, 76.0623377 12.7671302, 76.0623584 12.7672221)",1
376197205,,secondary,False,False,23.948,"LINESTRING (76.0579387 12.7664395, 76.0581198 12.7664421, 76.0581595 12.7664415)",1
154323478,SH21,primary,False,False,151.032,"LINESTRING (76.0652751 12.7609702, 76.0663259 12.7607933, 76.0666158 12.7606472)",
154323478,SH21,primary,False,True,260.79699999999997,"LINESTRING (76.0652751 12.7609702, 76.0638044 12.7612862, 76.0631821 12.7613908, 76.0629411 12.7615037)",
369908512,,residential,False,False,370.17699999999996,"LINESTRING (76.0652751 12.7609702, 76.065305 12.7615242, 76.0653224 12.7617499, 76.0653501 12.7619061, 76.0654707 12.7624594, 76.0656802 12.7630165, 76.0660828 12.7640467, 76.0661259 12.7641675)",
369908510,,secondary,False,False,137.691,"LINESTRING (76.0611664 12.7628984, 76.0615523 12.7640781)",1
