osmid,highway,oneway,reversed,length,geometry,ref,name,access,junction
1198941044,residential,False,False,22.535,"LINESTRING (75.5429715 30.3778944, 75.5432064 30.3778921)",,,,
62296120,residential,False,False,113.993,"LINESTRING (75.5429715 30.3778944, 75.5429395 30.3778818, 75.5428982 30.3778798, 75.5417868 30.3779047)",,,,
62296120,residential,False,True,42.76,"LINESTRING (75.5429715 30.3778944, 75.5429738 30.3779427, 75.542984 30.3782788)",,,,
1107372688,tertiary,False,False,20.444,"LINESTRING (75.5421139 30.3803926, 75.5419008 30.3803901)",,,,
62296129,tertiary,True,False,155.861,"LINESTRING (75.5421139 30.3803926, 75.5421961 30.3804295, 75.542292 30.3804389, 75.5424469 30.38042, 75.5426236 30.3803716, 75.5430744 30.380225, 75.5433397 30.3801399, 75.5434577 30.380095, 75.5436344 30.3800142)",,,,
62296120,residential,False,True,113.632,"LINESTRING (75.542984 30.3782788, 75.5417999 30.3783068)",,,,
62296128,residential,False,True,44.667,"LINESTRING (75.542984 30.3782788, 75.5429945 30.3786804)",,,,
62296120,residential,False,False,42.76,"LINESTRING (75.542984 30.3782788, 75.5429738 30.3779427, 75.5429715 30.3778944)",,,,
62296118,unclassified,False,False,45.093,"LINESTRING (75.5418261 30.3787117, 75.5417999 30.3783068)",,,,
62296118,unclassified,False,True,39.47,"LINESTRING (75.5418261 30.3787117, 75.5418471 30.3790662)",,,,
62307165,residential,False,False,38.627,"LINESTRING (75.5418261 30.3787117, 75.5422284 30.3786969)",,,,
62296118,unclassified,False,False,44.729,"LINESTRING (75.5417999 30.3783068, 75.5417868 30.3779047)",,,,
62296118,unclassified,False,True,45.093,"LINESTRING (75.5417999 30.3783068, 75.5418261 30.3787117)",,,,
62296120,residential,False,False,113.632,"LINESTRING (75.5417999 30.3783068, 75.542984 30.3782788)",,,,
1112843398,residential,False,False,28.89,"LINESTRING (75.5417999 30.3783068, 75.5414989 30.3783153)",,,,
62296118,unclassified,False,False,23.041,"LINESTRING (75.5419008 30.3803901, 75.5418978 30.3801829)",,,,
1107372688,tertiary,False,True,20.444,"LINESTRING (75.5419008 30.3803901, 75.5421139 30.3803926)",,,,
"[1107372688, 69914282]",tertiary,False,"[False, True]",67.264,"LINESTRING (75.5419008 30.3803901, 75.5415687 30.380402, 75.5412056 30.3804578)",Patti Road,,,
62296118,unclassified,False,False,6.06,"LINESTRING (75.54176 30.3773991, 75.5417594 30.3773446)",,,,
62296118,unclassified,False,True,56.279,"LINESTRING (75.54176 30.3773991, 75.5417868 30.3779047)",,,,
1107372692,tertiary,True,False,61.334,"LINESTRING (75.54176 30.3773991, 75.5423992 30.3773864)",Bus Stand Road,Bus Stand Road,,
62296118,unclassified,False,False,56.279,"LINESTRING (75.5417868 30.3779047, 75.54176 30.3773991)",,,,
62296118,unclassified,False,True,44.729,"LINESTRING (75.5417868 30.3779047, 75.5417999 30.3783068)",,,,
62296120,residential,False,True,113.993,"LINESTRING (75.5417868 30.3779047, 75.5428982 30.3778798, 75.5429395 30.3778818, 75.5429715 30.3778944)",,,,
62307165,residential,False,False,72.562,"LINESTRING (75.5422448 30.3789302, 75.5430012 30.3789351)",,,,
62307165,residential,False,True,25.989,"LINESTRING (75.5422448 30.3789302, 75.5422284 30.3786969)",,,,
107887492,residential,False,True,34.735,"LINESTRING (75.5422448 30.3789302, 75.5422627 30.3792422)",,,,
62296128,residential,False,False,28.329,"LINESTRING (75.5430012 30.3789351, 75.5429945 30.3786804)",,,,
62296128,residential,False,True,34.435,"LINESTRING (75.5430012 30.3789351, 75.5430093 30.3792447)",,,,
62307165,residential,False,True,72.562,"LINESTRING (75.5430012 30.3789351, 75.5422448 30.3789302)",,,,
62307165,residential,False,False,25.989,"LINESTRING (75.5422284 30.3786969, 75.5422448 30.3789302)",,,,
62307165,residential,False,True,38.627,"LINESTRING (75.5422284 30.3786969, 75.5418261 30.3787117)",,,,
253844346,residential,False,False,73.513,"LINESTRING (75.5422284 30.3786969, 75.5429945 30.3786804)",,,,
