osmid,oneway,ref,highway,reversed,length,geometry
178538459,False,SH31;SH38,primary,True,34.906,"LINESTRING (72.5923952 25.1950966, 72.592407 25.1953177, 72.5924238 25.195409)"
178538459,False,SH31;SH38,primary,False,34.906,"LINESTRING (72.5924238 25.195409, 72.592407 25.1953177, 72.5923952 25.1950966)"
