osmid,name,highway,junction,oneway,reversed,length,geometry,ref
442727046,Suresh Mehta Chok,primary,roundabout,True,False,6.625,"LINESTRING (72.4351526 24.1692495, 72.4351255 24.1692661, 72.4351046 24.169289)",
902688631,,primary,,False,False,137.24,"LINESTRING (72.4351526 24.1692495, 72.4348515 24.1682642, 72.4348032 24.1680575)",SH712
496686011,,tertiary,,False,True,31.814,"LINESTRING (72.4364407 24.1670003, 72.4362886 24.1672505)",
905805874,,primary,,False,False,53.13,"LINESTRING (72.4364407 24.1670003, 72.4361334 24.1666134)",SH712
905805874,,primary,,False,True,95.471,"LINESTRING (72.4364407 24.1670003, 72.4370759 24.1676338)",SH712
307412749,Gurunanak Chowk Road,unclassified,,True,False,70.51,"LINESTRING (72.4322592 24.1715514, 72.4324055 24.1721713)",
307412749,Gurunanak Chowk Road,unclassified,,True,False,56.257,"LINESTRING (72.4324055 24.1721713, 72.4324989 24.17267)",
307412748,Railway Station Road,unclassified,,False,False,134.198,"LINESTRING (72.4343343 24.1739208, 72.4330365 24.1741547)",
361048247,Amir Road,unclassified,,False,False,22.128,"LINESTRING (72.4343343 24.1739208, 72.4343701 24.1737245)",
361048247,Amir Road,unclassified,,False,True,85.99100000000001,"LINESTRING (72.4343343 24.1739208, 72.4342239 24.1744332, 72.4341987 24.1744879, 72.4341334 24.1746702)",
361033857,Railway Station Road,unclassified,,False,True,7.838,"LINESTRING (72.4327506 24.1740309, 72.4328273 24.1740224)",
361033857,Railway Station Road,unclassified,,False,False,24.936,"LINESTRING (72.4327506 24.1740309, 72.4327169 24.1740539, 72.4326642 24.1741081, 72.4326383 24.1741765, 72.432631 24.174217)",
307412748,Railway Station Road,unclassified,,False,True,134.198,"LINESTRING (72.4330365 24.1741547, 72.4343343 24.1739208)",
361033857,Railway Station Road,unclassified,,False,False,28.25,"LINESTRING (72.4330365 24.1741547, 72.4330018 24.1740896, 72.4329424 24.1740416, 72.4328674 24.1740179, 72.4328273 24.1740224)",
361033857,Railway Station Road,unclassified,,False,True,32.193,"LINESTRING (72.4330365 24.1741547, 72.4330412 24.1742269, 72.4330153 24.1742953, 72.4329627 24.1743495, 72.4328913 24.1743812)",
