osmid,oneway,ref,highway,reversed,length,geometry,name,lanes,maxspeed,bridge
1120033218,True,SHU64,primary,False,149.502,"LINESTRING (78.1595882 11.6545803, 78.1596636 11.6545853, 78.1598207 11.6545958, 78.1603242 11.654641, 78.160951 11.6547354)",,,,
208161156,False,,residential,True,84.599,"LINESTRING (78.1571345 11.6554462, 78.1569619 11.6547044)",,,,
1120033233,True,SH218,primary,False,75.11,"LINESTRING (78.1571345 11.6554462, 78.1564648 11.6556077)",Salem - Omalur Road,,,
263175245,False,SHU64,primary,False,35.634,"LINESTRING (78.1604972 11.6520411, 78.1603728 11.6517447)",,,,
263175245,False,SHU64,primary,True,41.596000000000004,"LINESTRING (78.160054 11.6508793, 78.1601403 11.6509682, 78.1602347 11.651202)",,,,
28573218,False,MDR725,secondary,True,23.787,"LINESTRING (78.1613618 11.6595895, 78.1615775 11.6595558)",Town Railway Station Road,,,
28573218,False,MDR725,secondary,False,114.341,"LINESTRING (78.1613618 11.6595895, 78.160569 11.6596595, 78.1603151 11.6596639)",Town Railway Station Road,,,
1066329506,False,,tertiary_link,False,114.777,"LINESTRING (78.1613618 11.6595895, 78.1613768 11.6596139, 78.1614322 11.6597036, 78.1614684 11.6597453, 78.1615054 11.6597812, 78.1615451 11.6598138, 78.1615829 11.6598278, 78.1616257 11.6598386, 78.1616753 11.6598505, 78.1617232 11.6598519, 78.1617728 11.6598425, 78.1618192 11.6598282, 78.1618637 11.6598118, 78.1619004 11.6597916, 78.1619276 11.6597714, 78.1619496 11.6597462, 78.1619755 11.6597013, 78.1619989 11.6596539, 78.1620045 11.6596378, 78.1620147 11.6596085, 78.1620289 11.6595664, 78.1620471 11.6594532)",Salem Town RS Road,,,
1222514028,True,SHU18,primary,False,3.387,"LINESTRING (78.1595664 11.6567563, 78.1595569 11.6567273)",Cherry Road,,,
28586312,False,,residential,False,97.419,"LINESTRING (78.1595664 11.6567563, 78.159786 11.656778, 78.1600169 11.6568284, 78.1602094 11.6568292, 78.1603207 11.6568309, 78.160451 11.6568026)",,,,
28586199,False,,residential,False,39.319,"LINESTRING (78.1605876 11.6522658, 78.1609377 11.6521794)",,,,
1193733642,True,SHU64,primary,False,26.855,"LINESTRING (78.1605876 11.6522658, 78.1604972 11.6520411)",,,,
28586199,False,,residential,True,131.633,"LINESTRING (78.1625988 11.6519682, 78.1615841 11.6520848, 78.1613991 11.6521119)",,,,
948883200,False,,residential,False,67.753,"LINESTRING (78.1625988 11.6519682, 78.1624759 11.6515055, 78.1624342 11.6513808)",,,,
28586226,False,,residential,False,162.442,"LINESTRING (78.1623842 11.6511918, 78.1609556 11.6516119)",,,,
948883200,False,,residential,True,21.71,"LINESTRING (78.1623842 11.6511918, 78.1624342 11.6513808)",,,,
948883200,False,,residential,False,33.009,"LINESTRING (78.1623842 11.6511918, 78.1623625 11.6511017, 78.1622997 11.6509069)",,,,
28586226,False,,residential,True,65.164,"LINESTRING (78.1603728 11.6517447, 78.1609556 11.6516119)",,,,
263175245,False,SHU64,primary,False,62.191,"LINESTRING (78.1603728 11.6517447, 78.1602347 11.651202)",,,,
263175245,False,SHU64,primary,True,35.634,"LINESTRING (78.1603728 11.6517447, 78.1604972 11.6520411)",,,,
28586199,False,,residential,False,50.806,"LINESTRING (78.1609377 11.6521794, 78.1613991 11.6521119)",,,,
28586199,False,,residential,True,39.319,"LINESTRING (78.1609377 11.6521794, 78.1605876 11.6522658)",,,,
28586228,False,,residential,False,63.133,"LINESTRING (78.1609377 11.6521794, 78.1609556 11.6516119)",,,,
28586226,False,,residential,False,65.164,"LINESTRING (78.1609556 11.6516119, 78.1603728 11.6517447)",,,,
28586226,False,,residential,True,162.442,"LINESTRING (78.1609556 11.6516119, 78.1623842 11.6511918)",,,,
28586228,False,,residential,False,58.313,"LINESTRING (78.1609556 11.6516119, 78.1609963 11.651089)",,,,
28586228,False,,residential,True,63.133,"LINESTRING (78.1609556 11.6516119, 78.1609377 11.6521794)",,,,
28586237,False,,residential,False,143.653,"LINESTRING (78.1622997 11.6509069, 78.161743 11.6509451, 78.1609963 11.651089)",,,,
948883200,False,,residential,True,33.009,"LINESTRING (78.1622997 11.6509069, 78.1623625 11.6511017, 78.1623842 11.6511918)",,,,
28586228,False,,residential,True,58.313,"LINESTRING (78.1609963 11.651089, 78.1609556 11.6516119)",,,,
28586237,False,,residential,False,83.888,"LINESTRING (78.1609963 11.651089, 78.1602347 11.651202)",,,,
28586237,False,,residential,True,143.653,"LINESTRING (78.1609963 11.651089, 78.161743 11.6509451, 78.1622997 11.6509069)",,,,
28586237,False,,residential,True,83.888,"LINESTRING (78.1602347 11.651202, 78.1609963 11.651089)",,,,
263175245,False,SHU64,primary,True,62.191,"LINESTRING (78.1602347 11.651202, 78.1603728 11.6517447)",,,,
263175245,False,SHU64,primary,False,41.596000000000004,"LINESTRING (78.1602347 11.651202, 78.1601403 11.6509682, 78.160054 11.6508793)",,,,
28586264,False,,residential,False,75.157,"LINESTRING (78.1617945 11.6516344, 78.1624342 11.6513808)",,,,
28586264,False,,residential,True,75.157,"LINESTRING (78.1624342 11.6513808, 78.1617945 11.6516344)",,,,
948883200,False,,residential,False,21.71,"LINESTRING (78.1624342 11.6513808, 78.1623842 11.6511918)",,,,
948883200,False,,residential,True,67.753,"LINESTRING (78.1624342 11.6513808, 78.1624759 11.6515055, 78.1625988 11.6519682)",,,,
28586272,False,,residential,True,69.538,"LINESTRING (78.1608524 11.6529876, 78.1612709 11.6529794, 78.1614898 11.6529584)",,,,
1193733642,True,SHU64,primary,False,85.411,"LINESTRING (78.1608524 11.6529876, 78.1608339 11.652897, 78.1605876 11.6522658)",,,,
28605320,False,,residential,True,50.726,"LINESTRING (78.160451 11.6568026, 78.1609168 11.656803)",,,,
28586312,False,,residential,False,58.438,"LINESTRING (78.160451 11.6568026, 78.1606093 11.6565041, 78.1606764 11.6563267)",,,,
28586312,False,,residential,True,97.419,"LINESTRING (78.160451 11.6568026, 78.1603207 11.6568309, 78.1602094 11.6568292, 78.1600169 11.6568284, 78.159786 11.656778, 78.1595664 11.6567563)",,,,
28586317,True,,secondary,False,173.103,"LINESTRING (78.160951 11.6547354, 78.1612925 11.6548064, 78.1618717 11.6549044, 78.1623356 11.6550195, 78.1625064 11.6550524)",1st Agraharam,,,
1044148808,False,,residential,True,86.116,"LINESTRING (78.160951 11.6547354, 78.160949 11.6549106, 78.160908 11.6555085)",,,,
1193733643,False,SHU64,primary,False,78.47999999999999,"LINESTRING (78.160951 11.6547354, 78.1609409 11.654384, 78.1609736 11.6540312)",,,,
28586320,True,,primary_link,False,133.88299999999998,"LINESTRING (78.1596895 11.6521918, 78.1596979 11.6522629, 78.159702 11.6522978, 78.1597808 11.6529638, 78.1598088 11.6533898)",V Market Rd,2,30,
1017058837,True,,primary_link,False,89.544,"LINESTRING (78.1596895 11.6521918, 78.1598193 11.6521676, 78.1604972 11.6520411)",,,,
1228229792,True,,primary,False,40.514,"LINESTRING (78.1598863 11.6543057, 78.1596844 11.6544099, 78.1595616 11.6544832)",Bazzar St,,,
131428308,True,,primary_link,False,39.986,"LINESTRING (78.1575068 11.6525654, 78.157873 11.6525393)",,,,yes
434687488,False,,secondary_link,True,76.426,"LINESTRING (78.1575068 11.6525654, 78.1575725 11.6532497)",Anna Salai,,,
1229104104,False,,secondary_link,False,67.846,"LINESTRING (78.1575068 11.6525654, 78.1574768 11.652425, 78.1574253 11.6521559, 78.1573843 11.6519672)",Anna Salai,,,
949586463,False,,residential,False,41.586,"LINESTRING (78.1578972 11.6536672, 78.1575297 11.6537688)",Anna Nagar Block Road,,,
434687488,False,,secondary_link,False,42.576,"LINESTRING (78.1578972 11.6536672, 78.1576826 11.6534413, 78.1576454 11.6533765)",Anna Salai,,,
"[434687488, 1184591633]",False,,secondary_link,True,102.65899999999999,"LINESTRING (78.1578972 11.6536672, 78.1580438 11.6538173, 78.158156 11.6540424, 78.1583226 11.6544035, 78.1583727 11.6544517)",Anna Salai,,,
1025058773,True,,primary_link,False,5.027,"LINESTRING (78.157873 11.6525393, 78.1579175 11.6525273)",,,30,
28605295,False,,tertiary,False,89.799,"LINESTRING (78.160859 11.6589316, 78.1602219 11.6584189)",,,,
28605295,False,,tertiary,True,15.257,"LINESTRING (78.160859 11.6589316, 78.1609587 11.659028)",,,,
28605299,False,,residential,True,83.076,"LINESTRING (78.160859 11.6589316, 78.1608197 11.6584074, 78.1607871 11.6581882)",,,,
28605320,False,,residential,False,50.726,"LINESTRING (78.1609168 11.656803, 78.160451 11.6568026)",,,,
